Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-03,63496,2025090304000710,HPPL,Sani Securities Company Ltd.,Swarna Laxmi Securities Pvt. Ltd.,10,484.0,4840.0,2025-09-03 11:20:36.704124
2025-09-03,62898,2025090304000858,HPPL,Sharepro Securities Private Limited,Linch Stock Market Ltd.,50,482.0,24100.0,2025-09-03 11:22:36.210038
2025-09-03,62762,2025090304000891,HPPL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Linch Stock Market Ltd.,500,480.5,240250.0,2025-09-03 11:23:06.297131
2025-09-03,61818,2025090304001042,HPPL,Linch Stock Market Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,200,482.0,96400.0,2025-09-03 11:26:32.175480
2025-09-03,61408,2025090304001104,HPPL,Global IME Securities Limited,Citizens Share Broker Limited,10,482.1,4821.0,2025-09-03 11:28:16.783221
2025-09-03,61407,2025090304001105,HPPL,Sani Securities Company Ltd.,Citizens Share Broker Limited,20,482.1,9642.0,2025-09-03 11:28:16.783362
2025-09-03,61406,2025090304001106,HPPL,Linch Stock Market Ltd.,Citizens Share Broker Limited,96,482.0,46272.0,2025-09-03 11:28:16.783405
2025-09-03,60848,2025090304001188,HPPL,Premier Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,20,484.0,9680.0,2025-09-03 11:30:13.062677
2025-09-03,59389,2025090304001528,HPPL,Nepal Stock House (PVT) Ltd.,INDEX SECURITIES LIMITED,130,485.1,63063.0,2025-09-03 11:36:25.358926
2025-09-03,55231,2025090304002470,HPPL,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,10,485.1,4851.0,2025-09-03 11:52:21.142690
2025-09-03,55074,2025090304002507,HPPL,Online Securities Pvt. Ltd.,Sundhara Securities Limited,10,487.0,4870.0,2025-09-03 11:52:51.443207
2025-09-03,55073,2025090304002508,HPPL,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,489.0,4890.0,2025-09-03 11:52:51.443336
2025-09-03,55072,2025090304002509,HPPL,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,250,489.0,122250.0,2025-09-03 11:52:51.443382
2025-09-03,54927,2025090304002574,HPPL,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,135,489.9,66136.5,2025-09-03 11:53:11.705962
2025-09-03,54661,2025090304002637,HPPL,Nepal Stock House (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,10,485.1,4851.0,2025-09-03 11:54:15.863102
2025-09-03,54660,2025090304002638,HPPL,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,10,484.0,4840.0,2025-09-03 11:54:15.863219
2025-09-03,51843,2025090304003117,HPPL,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,56,485.1,27165.6,2025-09-03 12:05:45.918880
2025-09-03,51791,2025090304003127,HPPL,Linch Stock Market Ltd.,Pragyan Securities (PVT) Ltd.,100,485.1,48510.0,2025-09-03 12:06:00.236636
2025-09-03,49993,2025090304003494,HPPL,Nagarik Stock Dealer ,INDEX SECURITIES LIMITED,40,485.3,19412.0,2025-09-03 12:13:30.772998
2025-09-03,49992,2025090304003495,HPPL,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,15,485.2,7278.0,2025-09-03 12:13:30.773158
2025-09-03,49991,2025090304003496,HPPL,Linch Stock Market Ltd.,INDEX SECURITIES LIMITED,245,485.1,118849.5,2025-09-03 12:13:30.773210
2025-09-03,48135,2025090304003963,HPPL,Kohinoor Investment & Securities Pvt. Ltd.,Indira securities pvt. ltd,50,485.1,24255.0,2025-09-03 12:20:40.676079
2025-09-03,48134,2025090304003964,HPPL,Aryatara Investment & Securities,Indira securities pvt. ltd,250,485.1,121275.0,2025-09-03 12:20:40.676178
2025-09-03,48133,2025090304003965,HPPL,Sumeru Securities Pvt. Ltd.,Indira securities pvt. ltd,300,485.0,145500.0,2025-09-03 12:20:40.676271
2025-09-03,47938,2025090304004032,HPPL,Sumeru Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,10,485.0,4850.0,2025-09-03 12:21:22.765504
2025-09-03,47937,2025090304004033,HPPL,Nepal Stock House (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,200,485.0,97000.0,2025-09-03 12:21:22.765747
2025-09-03,47936,2025090304004034,HPPL,Trisul Securities & Invt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,50,485.0,24250.0,2025-09-03 12:21:22.765895
2025-09-03,47523,2025090304004131,HPPL,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,70,485.0,33950.0,2025-09-03 12:23:14.694521
2025-09-03,46711,2025090304004305,HPPL,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,56,484.8,27148.8,2025-09-03 12:26:35.101561
2025-09-03,46710,2025090304004306,HPPL,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,50,484.5,24225.0,2025-09-03 12:26:35.101740
2025-09-03,46709,2025090304004307,HPPL,Premier Securities Company Ltd.,Sani Securities Company Ltd.,270,484.0,130680.0,2025-09-03 12:26:35.101795
2025-09-03,46708,2025090304004308,HPPL,Trisul Securities & Invt. Ltd.,Sani Securities Company Ltd.,50,484.0,24200.0,2025-09-03 12:26:35.101859
2025-09-03,45535,2025090304004525,HPPL,Linch Stock Market Ltd.,Sani Securities Company Ltd.,250,482.2,120550.0,2025-09-03 12:32:16.528176
2025-09-03,44477,2025090304004711,HPPL,Aryatara Investment & Securities,Sani Securities Company Ltd.,16,484.0,7744.0,2025-09-03 12:37:05.967392
2025-09-03,43817,2025090304004861,HPPL,Linch Stock Market Ltd.,Sani Securities Company Ltd.,53,484.0,25652.0,2025-09-03 12:40:43.278501
2025-09-03,42970,2025090304005048,HPPL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,30,483.0,14490.0,2025-09-03 12:45:03.117022
2025-09-03,37419,2025090304006235,HPPL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,270,483.0,130410.0,2025-09-03 13:08:40.954092
2025-09-03,37418,2025090304006236,HPPL,KALASH STOCK MARKET PVT. LTD.,Asian Securities Private Ltd.,90,482.4,43416.0,2025-09-03 13:08:40.954390
2025-09-03,37417,2025090304006237,HPPL,Kohinoor Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,500,482.3,241150.0,2025-09-03 13:08:40.954551
2025-09-03,37416,2025090304006238,HPPL,Sani Securities Company Ltd.,Asian Securities Private Ltd.,20,482.1,9642.0,2025-09-03 13:08:40.954700
2025-09-03,37415,2025090304006239,HPPL,Aryatara Investment & Securities,Asian Securities Private Ltd.,50,482.1,24105.0,2025-09-03 13:08:40.954848
2025-09-03,37414,2025090304006240,HPPL,Arun Securities (PVT) Ltd.,Asian Securities Private Ltd.,500,482.1,241050.0,2025-09-03 13:08:40.954991
2025-09-03,37413,2025090304006241,HPPL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,168,482.0,80976.0,2025-09-03 13:08:40.955136
2025-09-03,35083,2025090304006742,HPPL,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,315,482.0,151830.0,2025-09-03 13:17:23.949729
2025-09-03,31466,2025090304007755,HPPL,KALASH STOCK MARKET PVT. LTD.,Asian Securities Private Ltd.,10,482.1,4821.0,2025-09-03 13:30:48.754739
2025-09-03,28919,2025090304008473,HPPL,KALASH STOCK MARKET PVT. LTD.,INDEX SECURITIES LIMITED,80,482.1,38568.0,2025-09-03 13:40:51.223380
2025-09-03,28918,2025090304008474,HPPL,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,17,482.0,8194.0,2025-09-03 13:40:51.223536
2025-09-03,28917,2025090304008475,HPPL,Midas Stock Broking Company Private Limited,INDEX SECURITIES LIMITED,20,482.0,9640.0,2025-09-03 13:40:51.223611
2025-09-03,28916,2025090304008476,HPPL,Investment Management Nepal Pvt. Ltd.,INDEX SECURITIES LIMITED,50,481.5,24075.0,2025-09-03 13:40:51.223666
2025-09-03,28915,2025090304008477,HPPL,Sumeru Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,100,481.3,48130.0,2025-09-03 13:40:51.223718
2025-09-03,28914,2025090304008478,HPPL,Kohinoor Investment & Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,233,481.2,112119.6,2025-09-03 13:40:51.223770
2025-09-03,28863,2025090304008492,HPPL,Kohinoor Investment & Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,267,481.2,128480.4,2025-09-03 13:41:08.264536
2025-09-03,28862,2025090304008493,HPPL,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,233,481.1,112096.3,2025-09-03 13:41:08.264674
2025-09-03,28806,2025090304008507,HPPL,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,500,481.1,240550.0,2025-09-03 13:41:19.292367
2025-09-03,28755,2025090304008522,HPPL,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,267,481.1,128453.7,2025-09-03 13:41:31.325301
2025-09-03,28754,2025090304008523,HPPL,Vision Securities Pvt. Ltd,INDEX SECURITIES LIMITED,233,481.0,112073.0,2025-09-03 13:41:31.325589
2025-09-03,27659,2025090304008792,HPPL,Vision Securities Pvt. Ltd,INDEX SECURITIES LIMITED,267,481.0,128427.0,2025-09-03 13:45:52.760865
2025-09-03,27658,2025090304008793,HPPL,Dynamic Money Managers Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,233,481.0,112073.0,2025-09-03 13:45:52.761113
2025-09-03,26019,2025090304009177,HPPL,Bhrikuti Stock Broking Co. Pvt. Ltd.,Shree Krishna Securities Ltd.,10,482.5,4825.0,2025-09-03 13:52:43.253045
2025-09-03,25531,2025090304009324,HPPL,Agrawal Securities (PVT) Ltd.,Asian Securities Private Ltd.,50,482.4,24120.0,2025-09-03 13:54:55.593871
2025-09-03,25452,2025090304009346,HPPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,481.4,48140.0,2025-09-03 13:55:15.853242
2025-09-03,24588,2025090304009547,HPPL,Trademow Securities Private Limited,Shree Krishna Securities Ltd.,100,482.5,48250.0,2025-09-03 13:59:37.170635
2025-09-03,23787,2025090304009781,HPPL,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,100,482.0,48200.0,2025-09-03 14:03:13.848110
2025-09-03,23786,2025090304009782,HPPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,481.4,4814.0,2025-09-03 14:03:13.848260
2025-09-03,23785,2025090304009783,HPPL,Agrawal Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,150,481.4,72210.0,2025-09-03 14:03:13.848310
2025-09-03,23784,2025090304009784,HPPL,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,481.0,4810.0,2025-09-03 14:03:13.848387
2025-09-03,23782,2025090304009785,HPPL,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,70,481.0,33670.0,2025-09-03 14:03:13.881465
2025-09-03,23596,2025090304009833,HPPL,Dynamic Money Managers Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,160,481.0,76960.0,2025-09-03 14:04:00.708807
