Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-03,68522,2025090301000034,NBL,Sweta Securities Private Limited,Asian Securities Private Ltd.,10,245.7,2457.0,2025-09-03 10:46:00.064271
2025-09-03,68358,2025090301000112,NBL,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,10,250.0,2500.0,2025-09-03 11:01:26.947949
2025-09-03,68132,2025090301000289,NBL,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,10,250.1,2501.0,2025-09-03 11:02:28.588994
2025-09-03,64556,2025090301002662,NBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,119,250.2,29773.8,2025-09-03 11:17:00.225877
2025-09-03,64555,2025090301002663,NBL,Trishakti Securities Public Limited,Deevyaa Securities & Stock House Pvt. Ltd,100,250.1,25010.0,2025-09-03 11:17:00.226009
2025-09-03,64554,2025090301002664,NBL,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,120,250.1,30012.0,2025-09-03 11:17:00.226080
2025-09-03,64553,2025090301002665,NBL,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,31,250.0,7750.0,2025-09-03 11:17:00.226146
2025-09-03,63164,2025090301003355,NBL,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,329,250.0,82250.0,2025-09-03 11:21:40.760729
2025-09-03,63163,2025090301003356,NBL,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,71,250.0,17750.0,2025-09-03 11:21:40.760875
2025-09-03,60651,2025090301004754,NBL,Secured Securities Ltd.,Thrive Brokerage House Pvt. Ltd,100,251.0,25100.0,2025-09-03 11:31:10.440813
2025-09-03,60650,2025090301004755,NBL,Secured Securities Ltd.,Thrive Brokerage House Pvt. Ltd,100,251.0,25100.0,2025-09-03 11:31:10.440990
2025-09-03,60649,2025090301004756,NBL,Secured Securities Ltd.,Online Securities Pvt. Ltd.,10,251.0,2510.0,2025-09-03 11:31:10.441085
2025-09-03,60648,2025090301004757,NBL,Secured Securities Ltd.,Thrive Brokerage House Pvt. Ltd,100,251.0,25100.0,2025-09-03 11:31:10.441159
2025-09-03,60193,2025090301004967,NBL,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,50,251.4,12570.0,2025-09-03 11:33:23.920205
2025-09-03,60192,2025090301004968,NBL,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,50,251.4,12570.0,2025-09-03 11:33:23.920410
2025-09-03,60086,2025090301005011,NBL,Siprabi Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,50,251.4,12570.0,2025-09-03 11:33:46.882013
2025-09-03,60017,2025090301005042,NBL,Siprabi Securities Pvt. Ltd.,Capital Max Securities Ltd,50,251.5,12575.0,2025-09-03 11:34:01.911018
2025-09-03,59815,2025090301005150,NBL,Linch Stock Market Ltd.,Capital Max Securities Ltd,50,251.5,12575.0,2025-09-03 11:34:49.238598
2025-09-03,59153,2025090301005475,NBL,Secured Securities Ltd.,Investment Management Nepal Pvt. Ltd.,53,251.0,13303.0,2025-09-03 11:37:24.206320
2025-09-03,58101,2025090301005954,NBL,KALASH STOCK MARKET PVT. LTD.,Thrive Brokerage House Pvt. Ltd,100,252.0,25200.0,2025-09-03 11:41:23.577539
2025-09-03,56311,2025090301006781,NBL,Secured Securities Ltd.,Global IME Securities Limited,10,251.0,2510.0,2025-09-03 11:47:37.411628
2025-09-03,56210,2025090301006849,NBL,Secured Securities Ltd.,Naasa Securities Co. Ltd.,68,251.0,17068.0,2025-09-03 11:47:58.042299
2025-09-03,55779,2025090301007061,NBL,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,12,251.2,3014.4,2025-09-03 11:49:57.805069
2025-09-03,55722,2025090301007087,NBL,Opal Securities Investment (PVT) Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,200,251.9,50380.0,2025-09-03 11:50:14.862990
2025-09-03,55331,2025090301007279,NBL,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,251.9,25190.0,2025-09-03 11:51:51.117683
2025-09-03,55320,2025090301007284,NBL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,386,251.2,96963.2,2025-09-03 11:51:56.573914
2025-09-03,55319,2025090301007285,NBL,Secured Securities Ltd.,Asian Securities Private Ltd.,1514,251.0,380014.0,2025-09-03 11:51:56.574013
2025-09-03,54284,2025090301007720,NBL,Market Securities & Exchange (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,50,251.7,12585.0,2025-09-03 11:55:50.969237
2025-09-03,53998,2025090301007855,NBL,Market Securities & Exchange (PVT) Ltd.,Garima Securities Limited,100,251.7,25170.0,2025-09-03 11:57:13.627333
2025-09-03,52783,2025090301008432,NBL,Secured Securities Ltd.,Sundhara Securities Limited,45,251.0,11295.0,2025-09-03 12:01:48.076717
2025-09-03,52782,2025090301008433,NBL,Market Securities & Exchange (PVT) Ltd.,Sundhara Securities Limited,87,251.0,21837.0,2025-09-03 12:01:48.076932
2025-09-03,52648,2025090301008506,NBL,Market Securities & Exchange (PVT) Ltd.,Property Wiard Limited,10,251.4,2514.0,2025-09-03 12:02:24.288460
2025-09-03,50827,2025090301009472,NBL,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,50,251.4,12570.0,2025-09-03 12:10:23.514198
2025-09-03,50826,2025090301009473,NBL,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,40,251.4,10056.0,2025-09-03 12:10:23.514622
2025-09-03,50759,2025090301009501,NBL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,330,251.0,82830.0,2025-09-03 12:10:42.851557
2025-09-03,48650,2025090301010245,NBL,Oxford Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,45,250.4,11268.0,2025-09-03 12:18:46.723737
2025-09-03,48343,2025090301010367,NBL,Oxford Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,155,250.4,38812.0,2025-09-03 12:19:49.488233
2025-09-03,48342,2025090301010368,NBL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,250.3,12515.0,2025-09-03 12:19:49.488294
