Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-03,65714,2025090304000359,SPDL,Siprabi Securities Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,50,390.0,19500.0,2025-09-03 11:12:43.734692
2025-09-03,65147,2025090304000413,SPDL,Imperial Securities Company Pvt. Ltd.,Sajilo Broker Limited,200,390.1,78020.0,2025-09-03 11:15:02.889573
2025-09-03,65052,2025090304000432,SPDL,Nepal Investment And Securities Trading Private Limited,Sajilo Broker Limited,200,390.0,78000.0,2025-09-03 11:15:27.924018
2025-09-03,64149,2025090304000575,SPDL,Nepal Investment And Securities Trading Private Limited,Sajilo Broker Limited,100,390.0,39000.0,2025-09-03 11:18:13.176654
2025-09-03,63839,2025090304000624,SPDL,Midas Stock Broking Company Private Limited,Sweta Securities Private Limited,50,392.0,19600.0,2025-09-03 11:19:27.519309
2025-09-03,63311,2025090304000760,SPDL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sweta Securities Private Limited,100,393.0,39300.0,2025-09-03 11:21:10.409777
2025-09-03,62994,2025090304000828,SPDL,Midas Stock Broking Company Private Limited,Sweta Securities Private Limited,167,393.0,65631.0,2025-09-03 11:22:20.439096
2025-09-03,62938,2025090304000837,SPDL,SHUBHAKAMANA SECURITIES PVT. LTD,Sweta Securities Private Limited,200,393.9,78780.0,2025-09-03 11:22:29.456871
2025-09-03,62937,2025090304000838,SPDL,SHUBHAKAMANA SECURITIES PVT. LTD,Asian Securities Private Ltd.,100,393.9,39390.0,2025-09-03 11:22:29.457081
2025-09-03,62936,2025090304000839,SPDL,SHUBHAKAMANA SECURITIES PVT. LTD,Sumeru Securities Pvt. Ltd.,200,394.0,78800.0,2025-09-03 11:22:29.457184
2025-09-03,62893,2025090304000859,SPDL,Premier Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,500,394.0,197000.0,2025-09-03 11:22:37.787181
2025-09-03,62884,2025090304000860,SPDL,Nepal Investment And Securities Trading Private Limited,Sumeru Securities Pvt. Ltd.,100,394.0,39400.0,2025-09-03 11:22:39.174927
2025-09-03,62849,2025090304000863,SPDL,Midas Stock Broking Company Private Limited,Sumeru Securities Pvt. Ltd.,89,394.0,35066.0,2025-09-03 11:22:48.003127
