Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-03,66141,2025090304000307,SSHL,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,130,186.0,24180.0,2025-09-03 11:11:04.958741
2025-09-03,64455,2025090304000507,SSHL,Asian Securities Private Ltd.,Aryatara Investment & Securities,370,186.0,68820.0,2025-09-03 11:17:16.847498
2025-09-03,64454,2025090304000508,SSHL,Asian Securities Private Ltd.,Linch Stock Market Ltd.,130,186.0,24180.0,2025-09-03 11:17:16.847686
2025-09-03,63784,2025090304000631,SSHL,Dakshinkali Investment & Securities Pvt. Ltd.,Linch Stock Market Ltd.,70,186.0,13020.0,2025-09-03 11:19:39.938855
2025-09-03,63783,2025090304000632,SSHL,Dakshinkali Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,100,186.0,18600.0,2025-09-03 11:19:39.938939
2025-09-03,63782,2025090304000633,SSHL,Dakshinkali Investment & Securities Pvt. Ltd.,Arun Securities (PVT) Ltd.,30,186.0,5580.0,2025-09-03 11:19:39.938974
2025-09-03,61340,2025090304001117,SSHL,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,60,185.0,11100.0,2025-09-03 11:28:30.302144
2025-09-03,56768,2025090304002143,SSHL,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,50,185.0,9250.0,2025-09-03 11:45:58.837468
2025-09-03,56767,2025090304002144,SSHL,Imperial Securities Company Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,300,185.0,55500.0,2025-09-03 11:45:58.837582
2025-09-03,56766,2025090304002145,SSHL,Midas Stock Broking Company Private Limited,South Asian Bulls Pvt. Ltd.,100,185.0,18500.0,2025-09-03 11:45:58.837677
2025-09-03,56765,2025090304002146,SSHL,Linch Stock Market Ltd.,South Asian Bulls Pvt. Ltd.,25,185.0,4625.0,2025-09-03 11:45:58.837727
2025-09-03,56764,2025090304002147,SSHL,Kohinoor Investment & Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,10,185.0,1850.0,2025-09-03 11:45:58.837778
2025-09-03,56763,2025090304002148,SSHL,Online Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,15,185.0,2775.0,2025-09-03 11:45:58.837824
2025-09-03,56738,2025090304002152,SSHL,Thrive Brokerage House Pvt. Ltd,Kalika Securities Pvt. Ltd.,20,185.0,3700.0,2025-09-03 11:46:04.879874
2025-09-03,56737,2025090304002153,SSHL,Siprabi Securities Pvt. Ltd.,Kalika Securities Pvt. Ltd.,44,185.0,8140.0,2025-09-03 11:46:04.880017
2025-09-03,56736,2025090304002154,SSHL,Vision Securities Pvt. Ltd,Kalika Securities Pvt. Ltd.,132,185.0,24420.0,2025-09-03 11:46:04.880067
2025-09-03,55825,2025090304002345,SSHL,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,38,185.0,7030.0,2025-09-03 11:49:45.716636
2025-09-03,55759,2025090304002370,SSHL,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,10,185.0,1850.0,2025-09-03 11:50:01.646222
