Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-04,67987,2025090405000179,TPC,Premier Securities Company Ltd.,Sani Securities Company Ltd.,40,339.0,13560.0,2025-09-04T11:06:27.49782
2025-09-04,67986,2025090405000180,TPC,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,170,339.0,57630.0,2025-09-04T11:06:27.497889
2025-09-04,67985,2025090405000181,TPC,Premier Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,55,339.9,18694.5,2025-09-04T11:06:27.497917
2025-09-04,67984,2025090405000182,TPC,Premier Securities Company Ltd.,Sani Securities Company Ltd.,135,340.0,45900.0,2025-09-04T11:06:27.497946
2025-09-04,64646,2025090405001091,TPC,Dynamic Money Managers Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,90,335.0,30150.0,2025-09-04T11:19:15.4984
2025-09-04,63963,2025090405001286,TPC,Linch Stock Market Ltd.,Sri Hari Securities Pvt. Ltd.,85,335.0,28475.0,2025-09-04T11:21:51.251407
2025-09-04,62899,2025090405001608,TPC,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,200,335.0,67000.0,2025-09-04T11:26:28.204538
2025-09-04,62488,2025090405001718,TPC,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,90,335.0,30150.0,2025-09-04T11:28:21.886436
2025-09-04,60482,2025090405002279,TPC,Linch Stock Market Ltd.,BHOLE GANESH SECURITIES LTD,125,335.0,41875.0,2025-09-04T11:36:22.75391
2025-09-04,60481,2025090405002280,TPC,Asian Securities Private Ltd.,BHOLE GANESH SECURITIES LTD,50,335.0,16750.0,2025-09-04T11:36:22.753994
2025-09-04,55540,2025090405003873,TPC,Sumeru Securities Pvt. Ltd.,Trishakti Securities Public Limited,250,333.5,83375.0,2025-09-04T11:59:18.408169
2025-09-04,55539,2025090405003874,TPC,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,50,333.2,16660.0,2025-09-04T11:59:18.408258
2025-09-04,55538,2025090405003875,TPC,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,100,333.2,33320.0,2025-09-04T11:59:18.408349
2025-09-04,52463,2025090405004878,TPC,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,40,333.2,13328.0,2025-09-04T12:11:21.311662
2025-09-04,49952,2025090405005629,TPC,Imperial Securities Company Pvt. Ltd.,R.B.B. Securities Company Ltd,10,333.2,3332.0,2025-09-04T12:22:25.331722
2025-09-04,49951,2025090405005630,TPC,Online Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,63,333.0,20979.0,2025-09-04T12:22:25.331821
2025-09-04,49950,2025090405005631,TPC,Naasa Securities Co. Ltd.,R.B.B. Securities Company Ltd,15,332.0,4980.0,2025-09-04T12:22:25.331894
2025-09-04,49949,2025090405005632,TPC,Naasa Securities Co. Ltd.,R.B.B. Securities Company Ltd,30,332.0,9960.0,2025-09-04T12:22:25.331948
2025-09-04,49948,2025090405005633,TPC,Sani Securities Company Ltd.,R.B.B. Securities Company Ltd,182,331.0,60242.0,2025-09-04T12:22:25.332014
2025-09-04,43869,2025090405007348,TPC,Sani Securities Company Ltd.,R.B.B. Securities Company Ltd,118,331.0,39058.0,2025-09-04T12:45:37.967238
2025-09-04,43868,2025090405007349,TPC,Naasa Securities Co. Ltd.,R.B.B. Securities Company Ltd,40,331.0,13240.0,2025-09-04T12:45:37.967281
2025-09-04,43867,2025090405007350,TPC,Malla & Malla Stock Broking Company Pvt. Limited,R.B.B. Securities Company Ltd,20,330.3,6606.0,2025-09-04T12:45:37.967325
2025-09-04,43866,2025090405007351,TPC,SUN SECURITIES PVT LTD,R.B.B. Securities Company Ltd,18,330.0,5940.0,2025-09-04T12:45:37.967357
2025-09-04,43865,2025090405007352,TPC,Sumeru Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,354,330.0,116820.0,2025-09-04T12:45:37.967388
2025-09-04,43748,2025090405007401,TPC,Sumeru Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,146,330.0,48180.0,2025-09-04T12:45:59.025382
2025-09-04,43747,2025090405007402,TPC,Dynamic Money Managers Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,410,329.0,134890.0,2025-09-04T12:45:59.025445
2025-09-04,43746,2025090405007403,TPC,Opal Securities Investment (PVT) Ltd.,R.B.B. Securities Company Ltd,200,329.0,65800.0,2025-09-04T12:45:59.025582
2025-09-04,43745,2025090405007404,TPC,Sundhara Securities Limited,R.B.B. Securities Company Ltd,50,327.0,16350.0,2025-09-04T12:45:59.025616
2025-09-04,43744,2025090405007405,TPC,Sundhara Securities Limited,R.B.B. Securities Company Ltd,100,327.0,32700.0,2025-09-04T12:45:59.025642
2025-09-04,43743,2025090405007406,TPC,Vision Securities Pvt. Ltd,R.B.B. Securities Company Ltd,10,327.0,3270.0,2025-09-04T12:45:59.025667
2025-09-04,43742,2025090405007407,TPC,Sumeru Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,84,327.0,27468.0,2025-09-04T12:45:59.025696
2025-09-04,43610,2025090405007443,TPC,Sumeru Securities Pvt. Ltd.,R.B.B. Securities Company Ltd,416,327.0,136032.0,2025-09-04T12:46:26.110174
2025-09-04,43609,2025090405007444,TPC,Bhrikuti Stock Broking Co. Pvt. Ltd.,R.B.B. Securities Company Ltd,200,327.0,65400.0,2025-09-04T12:46:26.110213
2025-09-04,43608,2025090405007445,TPC,Primo Securities (PVT) Ltd.,R.B.B. Securities Company Ltd,98,327.0,32046.0,2025-09-04T12:46:26.110236
