Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-04,63961,2025090404001342,UMRH,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,15,585.0,8775.0,2025-09-04T11:21:51.805256
2025-09-04,62494,2025090404001679,UMRH,Premier Securities Company Ltd.,J.F. Securites (PVT) Ltd.,50,587.0,29350.0,2025-09-04T11:28:20.502416
2025-09-04,60397,2025090404002044,UMRH,Premier Securities Company Ltd.,J.F. Securites (PVT) Ltd.,100,589.0,58900.0,2025-09-04T11:36:44.56256
2025-09-04,53474,2025090404003765,UMRH,Dynamic Money Managers Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,587.0,5870.0,2025-09-04T12:06:55.123351
2025-09-04,53318,2025090404003821,UMRH,Trishakti Securities Public Limited,Secured Securities Ltd.,100,586.6,58660.0,2025-09-04T12:07:29.556428
2025-09-04,53168,2025090404003857,UMRH,Nepal Stock House (PVT) Ltd.,ABC Securities Private Limited,145,586.5,85042.5,2025-09-04T12:08:08.5329
2025-09-04,53167,2025090404003858,UMRH,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,80,586.3,46904.0,2025-09-04T12:08:08.53304
2025-09-04,53053,2025090404003892,UMRH,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,400,586.6,234640.0,2025-09-04T12:08:50.742881
2025-09-04,52520,2025090404004041,UMRH,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,10,586.4,5864.0,2025-09-04T12:11:14.058178
2025-09-04,51809,2025090404004229,UMRH,Imperial Securities Company Pvt. Ltd.,Sweta Securities Private Limited,10,586.4,5864.0,2025-09-04T12:13:48.46266
2025-09-04,49170,2025090404004833,UMRH,Imperial Securities Company Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,30,586.4,17592.0,2025-09-04T12:25:58.768166
2025-09-04,49169,2025090404004834,UMRH,Imperial Securities Company Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,20,586.3,11726.0,2025-09-04T12:25:58.768264
