Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-07,57785,2025090703000028,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,100,676.0,67600.0,2025-09-07 11:02:33.266608
2025-09-07,57784,2025090703000029,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,50,677.0,33850.0,2025-09-07 11:02:33.266675
2025-09-07,54280,2025090703000327,MFIL,Primo Securities (PVT) Ltd.,Asian Securities Private Ltd.,500,676.9,338450.0,2025-09-07 11:23:07.282382
2025-09-07,54104,2025090703000343,MFIL,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,59,670.0,39530.0,2025-09-07 11:23:56.437200
2025-09-07,52751,2025090703000427,MFIL,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,41,670.0,27470.0,2025-09-07 11:30:51.759691
2025-09-07,50946,2025090703000587,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,200,671.0,134200.0,2025-09-07 11:39:27.395248
2025-09-07,50945,2025090703000588,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Secured Securities Ltd.,70,677.0,47390.0,2025-09-07 11:39:27.395341
2025-09-07,50592,2025090703000620,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,14,680.0,9520.0,2025-09-07 11:40:50.053463
2025-09-07,50591,2025090703000621,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,240,680.0,163200.0,2025-09-07 11:40:50.053510
2025-09-07,50590,2025090703000622,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Primo Securities (PVT) Ltd.,64,680.0,43520.0,2025-09-07 11:40:50.053546
2025-09-07,50589,2025090703000623,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Aryatara Investment & Securities,30,682.0,20460.0,2025-09-07 11:40:50.053574
2025-09-07,50588,2025090703000624,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,160,682.0,109120.0,2025-09-07 11:40:50.053597
2025-09-07,50587,2025090703000625,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,40,682.0,27280.0,2025-09-07 11:40:50.053620
2025-09-07,50586,2025090703000626,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Secured Securities Ltd.,50,682.0,34100.0,2025-09-07 11:40:50.053641
2025-09-07,50585,2025090703000627,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Infinity Securities Limited,312,683.0,213096.0,2025-09-07 11:40:50.053664
2025-09-07,50584,2025090703000628,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Oxford Securities Pvt. Ltd.,90,683.0,61470.0,2025-09-07 11:40:50.053693
2025-09-07,50499,2025090703000634,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Oxford Securities Pvt. Ltd.,210,683.0,143430.0,2025-09-07 11:41:15.093392
2025-09-07,50498,2025090703000635,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,100,683.4,68340.0,2025-09-07 11:41:15.093516
2025-09-07,50497,2025090703000636,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Agrawal Securities (PVT) Ltd.,50,683.4,34170.0,2025-09-07 11:41:15.093587
2025-09-07,50496,2025090703000637,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,50,683.4,34170.0,2025-09-07 11:41:15.093654
2025-09-07,50495,2025090703000638,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Premier Securities Company Ltd.,100,685.0,68500.0,2025-09-07 11:41:15.093725
2025-09-07,50494,2025090703000639,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Oxford Securities Pvt. Ltd.,172,685.0,117820.0,2025-09-07 11:41:15.093785
2025-09-07,50493,2025090703000640,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,500,686.9,343450.0,2025-09-07 11:41:15.093854
2025-09-07,50492,2025090703000641,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Infinity Securities Limited,500,687.0,343500.0,2025-09-07 11:41:15.093942
2025-09-07,50491,2025090703000642,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,300,687.0,206100.0,2025-09-07 11:41:15.094011
2025-09-07,50490,2025090703000643,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Aryatara Investment & Securities,70,687.0,48090.0,2025-09-07 11:41:15.094100
2025-09-07,50489,2025090703000644,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,133,688.0,91504.0,2025-09-07 11:41:15.094170
2025-09-07,50488,2025090703000645,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,1000,688.8,688800.0,2025-09-07 11:41:15.094238
2025-09-07,50487,2025090703000646,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,500,689.0,344500.0,2025-09-07 11:41:15.094336
2025-09-07,50486,2025090703000647,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Trishakti Securities Public Limited,500,689.0,344500.0,2025-09-07 11:41:15.094403
2025-09-07,50485,2025090703000648,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Aakashbhairab Securities Ltd.,100,689.8,68980.0,2025-09-07 11:41:15.094470
2025-09-07,50484,2025090703000649,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,J.F. Securites (PVT) Ltd.,100,689.9,68990.0,2025-09-07 11:41:15.094537
2025-09-07,50483,2025090703000650,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,615,690.0,424350.0,2025-09-07 11:41:15.094598
2025-09-07,50422,2025090703000653,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,161,690.0,111090.0,2025-09-07 11:41:25.112712
2025-09-07,50421,2025090703000654,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Creative Securities Pvt Ltd,300,690.0,207000.0,2025-09-07 11:41:25.112830
2025-09-07,50420,2025090703000655,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Dakshinkali Investment & Securities Pvt. Ltd.,2250,690.0,1552500.0,2025-09-07 11:41:25.112918
2025-09-07,50419,2025090703000656,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Premier Securities Company Ltd.,15,690.4,10356.0,2025-09-07 11:41:25.113013
2025-09-07,50418,2025090703000657,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Sani Securities Company Ltd.,100,690.4,69040.0,2025-09-07 11:41:25.113121
2025-09-07,50417,2025090703000658,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Primo Securities (PVT) Ltd.,174,690.5,120147.0,2025-09-07 11:41:25.113213
2025-09-07,49649,2025090703000723,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,10,685.0,6850.0,2025-09-07 11:44:12.929437
2025-09-07,48095,2025090703000873,MFIL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,60,677.0,40620.0,2025-09-07 11:51:05.729836
2025-09-07,47967,2025090703000882,MFIL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,200,677.1,135420.0,2025-09-07 11:51:34.387142
2025-09-07,47966,2025090703000883,MFIL,Trishakti Securities Public Limited,Linch Stock Market Ltd.,40,677.0,27080.0,2025-09-07 11:51:34.387216
2025-09-07,47636,2025090703000931,MFIL,Deevyaa Securities & Stock House Pvt. Ltd,Linch Stock Market Ltd.,100,677.0,67700.0,2025-09-07 11:53:08.789525
2025-09-07,45782,2025090703001133,MFIL,Siprabi Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,10,675.2,6752.0,2025-09-07 12:01:18.890777
2025-09-07,45751,2025090703001136,MFIL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,100,675.1,67510.0,2025-09-07 12:01:27.688158
2025-09-07,45750,2025090703001137,MFIL,Siprabi Securities Pvt. Ltd.,Asian Securities Private Ltd.,100,675.0,67500.0,2025-09-07 12:01:27.688333
2025-09-07,45703,2025090703001140,MFIL,Siprabi Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,100,675.0,67500.0,2025-09-07 12:01:41.752751
2025-09-07,45359,2025090703001185,MFIL,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,90,675.2,60768.0,2025-09-07 12:03:27.949569
2025-09-07,45358,2025090703001186,MFIL,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,350,677.0,236950.0,2025-09-07 12:03:27.949657
2025-09-07,41481,2025090703001621,MFIL,ABC Securities Private Limited,J.F. Securites (PVT) Ltd.,1000,677.1,677100.0,2025-09-07 12:20:54.169954
2025-09-07,41480,2025090703001622,MFIL,Dakshinkali Investment & Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,1335,677.0,903795.0,2025-09-07 12:20:54.170065
2025-09-07,40818,2025090703001699,MFIL,Shree Krishna Securities Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,500,677.1,338550.0,2025-09-07 12:23:57.721722
2025-09-07,40704,2025090703001716,MFIL,Asian Securities Private Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,150,677.1,101565.0,2025-09-07 12:24:35.317710
2025-09-07,39161,2025090703001899,MFIL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,60,677.1,40626.0,2025-09-07 12:31:59.678767
2025-09-07,37583,2025090703002077,MFIL,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,50,677.1,33855.0,2025-09-07 12:39:23.320466
2025-09-07,37497,2025090703002084,MFIL,Dakshinkali Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,677.0,67700.0,2025-09-07 12:39:45.273139
2025-09-07,37400,2025090703002098,MFIL,Magnet Securities and Investment Company Private Limited,Vision Securities Pvt. Ltd,50,677.1,33855.0,2025-09-07 12:40:12.125154
2025-09-07,36908,2025090703002178,MFIL,Trishakti Securities Public Limited,Aryatara Investment & Securities,9,670.0,6030.0,2025-09-07 12:42:18.824632
2025-09-07,36794,2025090703002190,MFIL,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,8,670.0,5360.0,2025-09-07 12:42:43.934553
2025-09-07,36716,2025090703002204,MFIL,Midas Stock Broking Company Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,35,677.5,23712.5,2025-09-07 12:43:03.030286
