Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-07,57342,2025090703000057,MPFL,Malla & Malla Stock Broking Company Pvt. Limited,Siprabi Securities Pvt. Ltd.,10,581.4,5814.0,2025-09-07 11:05:39.511279
2025-09-07,57226,2025090703000068,MPFL,Malla & Malla Stock Broking Company Pvt. Limited,Aryatara Investment & Securities,10,593.0,5930.0,2025-09-07 11:06:17.184393
2025-09-07,56910,2025090703000092,MPFL,Premier Securities Company Ltd.,Sajilo Broker Limited,110,561.1,61721.0,2025-09-07 11:08:15.095235
2025-09-07,56909,2025090703000093,MPFL,Primo Securities (PVT) Ltd.,Sajilo Broker Limited,500,561.0,280500.0,2025-09-07 11:08:15.095274
2025-09-07,56908,2025090703000094,MPFL,Naasa Securities Co. Ltd.,Sajilo Broker Limited,45,561.0,25245.0,2025-09-07 11:08:15.095301
2025-09-07,56907,2025090703000095,MPFL,Sani Securities Company Ltd.,Sajilo Broker Limited,100,560.0,56000.0,2025-09-07 11:08:15.095324
2025-09-07,56906,2025090703000096,MPFL,Nepal Stock House (PVT) Ltd.,Sajilo Broker Limited,20,560.0,11200.0,2025-09-07 11:08:15.095348
2025-09-07,56905,2025090703000097,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,Sajilo Broker Limited,125,560.0,70000.0,2025-09-07 11:08:15.095369
2025-09-07,56102,2025090703000155,MPFL,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,20,565.0,11300.0,2025-09-07 11:13:34.859687
2025-09-07,55304,2025090703000234,MPFL,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,50,565.0,28250.0,2025-09-07 11:18:02.515037
2025-09-07,55154,2025090703000246,MPFL,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,30,565.0,16950.0,2025-09-07 11:18:54.623796
2025-09-07,50724,2025090703000612,MPFL,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,600,565.1,339060.0,2025-09-07 11:40:11.751006
2025-09-07,48872,2025090703000793,MPFL,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,568.0,5680.0,2025-09-07 11:47:36.974292
2025-09-07,48618,2025090703000828,MPFL,Kohinoor Investment & Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,44,568.0,24992.0,2025-09-07 11:48:49.653257
2025-09-07,47352,2025090703000964,MPFL,Capital Max Securities Ltd,Sweta Securities Private Limited,70,567.0,39690.0,2025-09-07 11:54:36.633249
2025-09-07,46949,2025090703001004,MPFL,Sajilo Broker Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,46,568.0,26128.0,2025-09-07 11:56:38.455455
2025-09-07,45167,2025090703001208,MPFL,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,150,570.0,85500.0,2025-09-07 12:04:39.074286
2025-09-07,41950,2025090703001577,MPFL,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,150,572.0,85800.0,2025-09-07 12:18:42.000606
2025-09-07,39848,2025090703001821,MPFL,Thrive Brokerage House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,10,572.0,5720.0,2025-09-07 12:28:48.746816
2025-09-07,39780,2025090703001835,MPFL,Siprabi Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,10,570.0,5700.0,2025-09-07 12:29:09.636067
2025-09-07,35516,2025090703002312,MPFL,Aryatara Investment & Securities,Aryatara Investment & Securities,30,575.0,17250.0,2025-09-07 12:47:33.991912
2025-09-07,35079,2025090703002371,MPFL,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,60,575.0,34500.0,2025-09-07 12:48:57.229111
2025-09-07,35040,2025090703002376,MPFL,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,20,575.9,11518.0,2025-09-07 12:49:12.260080
2025-09-07,34986,2025090703002390,MPFL,Sumeru Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,10,576.0,5760.0,2025-09-07 12:49:22.273746
2025-09-07,34837,2025090703002407,MPFL,Sumeru Securities Pvt. Ltd.,Sajilo Broker Limited,50,578.0,28900.0,2025-09-07 12:50:02.341660
2025-09-07,32324,2025090703002754,MPFL,Sani Securities Company Ltd.,ABC Securities Private Limited,10,575.0,5750.0,2025-09-07 13:01:33.880326
2025-09-07,32323,2025090703002755,MPFL,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,190,578.0,109820.0,2025-09-07 13:01:33.880437
2025-09-07,31299,2025090703002855,MPFL,Aryatara Investment & Securities,MILKY WAY SHARE BROKER COMPANY LTD ,200,575.0,115000.0,2025-09-07 13:06:18.246837
2025-09-07,27616,2025090703003319,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,50,573.0,28650.0,2025-09-07 13:22:22.296305
2025-09-07,27615,2025090703003320,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,150,572.5,85875.0,2025-09-07 13:22:22.296456
2025-09-07,26927,2025090703003428,MPFL,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,300,572.7,171810.0,2025-09-07 13:25:56.463192
2025-09-07,26926,2025090703003429,MPFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,50,572.7,28635.0,2025-09-07 13:25:56.463334
2025-09-07,25894,2025090703003547,MPFL,Trisul Securities & Invt. Ltd.,South Asian Bulls Pvt. Ltd.,100,572.6,57260.0,2025-09-07 13:31:41.823534
2025-09-07,25893,2025090703003548,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,South Asian Bulls Pvt. Ltd.,41,572.5,23472.5,2025-09-07 13:31:41.823692
2025-09-07,25830,2025090703003556,MPFL,Linch Stock Market Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,575.0,115000.0,2025-09-07 13:32:04.750143
2025-09-07,25515,2025090703003583,MPFL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,15,577.8,8667.0,2025-09-07 13:33:48.770221
2025-09-07,21299,2025090703004141,MPFL,Midas Stock Broking Company Private Limited,Imperial Securities Company Pvt. Ltd.,160,572.1,91536.0,2025-09-07 13:55:57.575812
2025-09-07,21298,2025090703004142,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,65,572.0,37180.0,2025-09-07 13:55:57.575872
2025-09-07,17474,2025090703004667,MPFL,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,135,572.0,77220.0,2025-09-07 14:14:51.529173
2025-09-07,17473,2025090703004668,MPFL,J.F. Securites (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,165,572.0,94380.0,2025-09-07 14:14:51.529504
2025-09-07,14853,2025090703005038,MPFL,J.F. Securites (PVT) Ltd.,Sewa Securities Pvt. Ltd.,40,575.9,23036.0,2025-09-07 14:25:09.661295
2025-09-07,14229,2025090703005124,MPFL,Sewa Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,10,571.0,5710.0,2025-09-07 14:27:27.884934
2025-09-07,14089,2025090703005147,MPFL,J.F. Securites (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,576.0,5760.0,2025-09-07 14:27:42.537490
2025-09-07,9114,2025090703005981,MPFL,Neev Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,577.3,5773.0,2025-09-07 14:43:56.666617
2025-09-07,7477,2025090703006196,MPFL,Trisul Securities & Invt. Ltd.,Premier Securities Company Ltd.,100,571.1,57110.0,2025-09-07 14:47:25.037733
