Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-07,57207,2025090704000274,PPCL,Premier Securities Company Ltd.,Primo Securities (PVT) Ltd.,200,317.9,63580.0,2025-09-07 11:06:27.741736
2025-09-07,55797,2025090704000556,PPCL,N.I.M.B. Stock Markets Limited,Imperial Securities Company Pvt. Ltd.,10,320.0,3200.0,2025-09-07 11:15:20.799011
2025-09-07,53647,2025090704001153,PPCL,N.I.M.B. Stock Markets Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,15,320.0,4800.0,2025-09-07 11:26:39.680711
2025-09-07,53646,2025090704001154,PPCL,Premier Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,318.0,3180.0,2025-09-07 11:26:39.680760
2025-09-07,52623,2025090704001459,PPCL,Premier Securities Company Ltd.,Vision Securities Pvt. Ltd,30,318.0,9540.0,2025-09-07 11:31:25.190069
2025-09-07,51539,2025090704001755,PPCL,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,50,319.0,15950.0,2025-09-07 11:36:53.813835
2025-09-07,51538,2025090704001756,PPCL,Premier Securities Company Ltd.,Online Securities Pvt. Ltd.,50,318.2,15910.0,2025-09-07 11:36:53.813929
2025-09-07,49080,2025090704002306,PPCL,Capital Max Securities Ltd,Kumari Securities Private Limited,10,318.6,3186.0,2025-09-07 11:46:51.758873
2025-09-07,47979,2025090704002601,PPCL,Sundhara Securities Limited,Nepal Stock House (PVT) Ltd.,200,319.0,63800.0,2025-09-07 11:51:30.459605
2025-09-07,47978,2025090704002602,PPCL,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,110,318.7,35057.0,2025-09-07 11:51:30.459737
2025-09-07,47977,2025090704002603,PPCL,Capital Max Securities Ltd,Nepal Stock House (PVT) Ltd.,190,318.6,60534.0,2025-09-07 11:51:30.459823
2025-09-07,47976,2025090704002604,PPCL,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,500,318.3,159150.0,2025-09-07 11:51:30.459925
2025-09-07,47776,2025090704002647,PPCL,Sani Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,324.0,3240.0,2025-09-07 11:52:31.332845
2025-09-07,46735,2025090704002832,PPCL,South Asian Bulls Pvt. Ltd.,Premier Securities Company Ltd.,30,320.0,9600.0,2025-09-07 11:57:05.322344
2025-09-07,46688,2025090704002838,PPCL,South Asian Bulls Pvt. Ltd.,Arun Securities (PVT) Ltd.,10,320.0,3200.0,2025-09-07 11:57:18.493452
2025-09-07,44669,2025090704003200,PPCL,South Asian Bulls Pvt. Ltd.,Linch Stock Market Ltd.,10,320.0,3200.0,2025-09-07 12:07:04.018956
2025-09-07,44155,2025090704003297,PPCL,South Asian Bulls Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,15,320.0,4800.0,2025-09-07 12:09:28.431995
2025-09-07,43925,2025090704003334,PPCL,South Asian Bulls Pvt. Ltd.,Sundhara Securities Limited,30,320.0,9600.0,2025-09-07 12:10:26.260707
2025-09-07,40023,2025090704004095,PPCL,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,20,321.0,6420.0,2025-09-07 12:27:52.993793
2025-09-07,37750,2025090704004612,PPCL,South Asian Bulls Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,5,320.0,1600.0,2025-09-07 12:38:37.934629
2025-09-07,33879,2025090704005458,PPCL,J.F. Securites (PVT) Ltd.,Himalayan Securities Limited,20,322.0,6440.0,2025-09-07 12:54:18.637747
2025-09-07,33878,2025090704005459,PPCL,J.F. Securites (PVT) Ltd.,Arun Securities (PVT) Ltd.,10,323.0,3230.0,2025-09-07 12:54:18.637794
2025-09-07,33877,2025090704005460,PPCL,J.F. Securites (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,970,324.0,314280.0,2025-09-07 12:54:18.637830
2025-09-07,32899,2025090704005726,PPCL,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,324.0,6480.0,2025-09-07 12:58:54.385465
