Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-07,57678,2025090704000123,SHPC,Nagarik Stock Dealer ,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,551.0,5510.0,2025-09-07 11:03:40.805648
2025-09-07,56336,2025090704000464,SHPC,Sumeru Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,7,543.0,3801.0,2025-09-07 11:12:02.615376
2025-09-07,56335,2025090704000465,SHPC,Dynamic Money Managers Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,30,551.0,16530.0,2025-09-07 11:12:03.578403
2025-09-07,55334,2025090704000641,SHPC,Miyo Securities Pvt Ltd,N.M.B. SECURITIES LIMITED,110,546.0,60060.0,2025-09-07 11:17:53.677758
2025-09-07,55333,2025090704000642,SHPC,J.F. Securites (PVT) Ltd.,N.M.B. SECURITIES LIMITED,426,546.0,232596.0,2025-09-07 11:17:53.677876
2025-09-07,55311,2025090704000653,SHPC,J.F. Securites (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,74,546.0,40404.0,2025-09-07 11:18:01.348966
2025-09-07,55310,2025090704000654,SHPC,Vision Securities Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,80,544.4,43552.0,2025-09-07 11:18:01.349161
2025-09-07,55309,2025090704000655,SHPC,South Asian Bulls Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,21,544.3,11430.3,2025-09-07 11:18:01.349290
2025-09-07,55308,2025090704000656,SHPC,Vision Securities Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,500,544.2,272100.0,2025-09-07 11:18:01.349443
2025-09-07,55307,2025090704000657,SHPC,South Asian Bulls Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,10,544.1,5441.0,2025-09-07 11:18:01.349601
2025-09-07,55275,2025090704000666,SHPC,Capital Max Securities Ltd,Sri Hari Securities Pvt. Ltd.,22,543.2,11950.4,2025-09-07 11:18:16.400341
2025-09-07,54330,2025090704000928,SHPC,Himalayan Brokerage Company Limited,Naasa Securities Co. Ltd.,30,545.0,16350.0,2025-09-07 11:22:53.528498
2025-09-07,53912,2025090704001102,SHPC,Himalayan Brokerage Company Limited,Property Wiard Limited,13,545.0,7085.0,2025-09-07 11:25:10.527764
2025-09-07,53567,2025090704001181,SHPC,Himalayan Brokerage Company Limited,Imperial Securities Company Pvt. Ltd.,157,545.0,85565.0,2025-09-07 11:27:03.413223
2025-09-07,53290,2025090704001232,SHPC,Dynamic Money Managers Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,545.0,54500.0,2025-09-07 11:28:18.216068
