Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-08,59700,2025090801000001,HBL,Trishakti Securities Public Limited,Midas Stock Broking Company Private Limited,10,200.0,2000.0,2025-09-08 10:46:00.014274
2025-09-08,59699,2025090801000002,HBL,Trishakti Securities Public Limited,Himalayan Securities Limited,10,200.0,2000.0,2025-09-08 10:46:00.014316
2025-09-08,59698,2025090801000003,HBL,Trishakti Securities Public Limited,Himalayan Securities Limited,10,200.0,2000.0,2025-09-08 10:46:00.014350
2025-09-08,59697,2025090801000004,HBL,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,10,200.0,2000.0,2025-09-08 10:46:00.014397
2025-09-08,59696,2025090801000005,HBL,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,10,200.0,2000.0,2025-09-08 10:46:00.014429
2025-09-08,59623,2025090801000012,HBL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,10,200.1,2001.0,2025-09-08 11:00:08.017061
2025-09-08,59597,2025090801000013,HBL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,10,200.1,2001.0,2025-09-08 11:00:16.179688
2025-09-08,59588,2025090801000014,HBL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,10,200.1,2001.0,2025-09-08 11:00:20.691357
2025-09-08,59586,2025090801000015,HBL,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,10,200.1,2001.0,2025-09-08 11:00:22.326210
2025-09-08,59576,2025090801000016,HBL,Kumari Securities Private Limited,Vision Securities Pvt. Ltd,10,200.2,2002.0,2025-09-08 11:00:40.102443
2025-09-08,59561,2025090801000019,HBL,Kumari Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,10,200.2,2002.0,2025-09-08 11:00:52.400493
2025-09-08,59552,2025090801000022,HBL,Kumari Securities Private Limited,Online Securities Pvt. Ltd.,10,200.2,2002.0,2025-09-08 11:01:00.510073
2025-09-08,59549,2025090801000024,HBL,Kumari Securities Private Limited,Sundhara Securities Limited,10,200.2,2002.0,2025-09-08 11:01:03.029492
2025-09-08,59545,2025090801000025,HBL,Kumari Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,200.2,2002.0,2025-09-08 11:01:07.610994
2025-09-08,59543,2025090801000026,HBL,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,10,200.2,2002.0,2025-09-08 11:01:09.001429
2025-09-08,59531,2025090801000027,HBL,Kumari Securities Private Limited,Aryatara Investment & Securities,10,200.2,2002.0,2025-09-08 11:01:15.810721
2025-09-08,59529,2025090801000028,HBL,Kumari Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,10,200.2,2002.0,2025-09-08 11:01:17.479427
2025-09-08,59524,2025090801000031,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,10,200.3,2003.0,2025-09-08 11:01:22.139130
2025-09-08,59505,2025090801000040,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,10,200.3,2003.0,2025-09-08 11:01:35.360183
2025-09-08,59490,2025090801000042,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,10,200.3,2003.0,2025-09-08 11:01:44.107644
2025-09-08,59489,2025090801000043,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,S.P.S.A. Securities Limited,10,200.3,2003.0,2025-09-08 11:01:44.352907
2025-09-08,59488,2025090801000044,HBL,Himalayan Securities Limited,SUN SECURITIES PVT LTD,10,201.0,2010.0,2025-09-08 11:01:44.479013
2025-09-08,59477,2025090801000048,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,200.3,2003.0,2025-09-08 11:01:55.091107
2025-09-08,59457,2025090801000055,HBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,200.3,2003.0,2025-09-08 11:02:20.448087
2025-09-08,59438,2025090801000062,HBL,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,10,201.0,2010.0,2025-09-08 11:02:34.591291
