Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-08,59656,2025090803000004,KSBBL,Sagarmatha Securities Private Limited,Sundhara Securities Limited,50,546.3,27315.0,2025-09-08 10:46:00.041685
2025-09-08,59655,2025090803000005,KSBBL,ABC Securities Private Limited,Sundhara Securities Limited,50,546.3,27315.0,2025-09-08 10:46:00.041712
2025-09-08,59627,2025090803000014,KSBBL,Trisul Securities & Invt. Ltd.,Nepal Stock House (PVT) Ltd.,90,540.0,48600.0,2025-09-08 10:46:00.146838
2025-09-08,59601,2025090803000015,KSBBL,Trisul Securities & Invt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,540.0,5400.0,2025-09-08 11:00:15.665255
2025-09-08,59600,2025090803000016,KSBBL,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,540.0,54000.0,2025-09-08 11:00:15.665408
2025-09-08,59599,2025090803000017,KSBBL,Sharepro Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,410,538.0,220580.0,2025-09-08 11:00:15.665507
2025-09-08,59558,2025090803000022,KSBBL,Sharepro Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,90,538.0,48420.0,2025-09-08 11:00:55.733771
2025-09-08,59557,2025090803000023,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,25,538.0,13450.0,2025-09-08 11:00:55.733873
2025-09-08,59515,2025090803000028,KSBBL,Nagarik Stock Dealer ,Deevyaa Securities & Stock House Pvt. Ltd,200,538.0,107600.0,2025-09-08 11:01:25.800003
2025-09-08,59513,2025090803000030,KSBBL,Imperial Securities Company Pvt. Ltd.,K.B.L. Securities Limited ,10,538.0,5380.0,2025-09-08 11:01:26.987497
2025-09-08,59512,2025090803000031,KSBBL,Swarna Laxmi Securities Pvt. Ltd.,K.B.L. Securities Limited ,190,538.0,102220.0,2025-09-08 11:01:26.987617
2025-09-08,59498,2025090803000034,KSBBL,Swarna Laxmi Securities Pvt. Ltd.,K.B.L. Securities Limited ,660,538.0,355080.0,2025-09-08 11:01:36.999340
2025-09-08,59497,2025090803000035,KSBBL,Sweta Securities Private Limited,K.B.L. Securities Limited ,50,538.0,26900.0,2025-09-08 11:01:37.380425
2025-09-08,59476,2025090803000040,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,K.B.L. Securities Limited ,290,540.0,156600.0,2025-09-08 11:01:55.296388
2025-09-08,59475,2025090803000041,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,KALASH STOCK MARKET PVT. LTD.,210,540.9,113589.0,2025-09-08 11:01:55.296446
2025-09-08,59267,2025090803000056,KSBBL,Nagarik Stock Dealer ,Himalayan Brokerage Company Limited,100,538.0,53800.0,2025-09-08 11:04:18.934898
2025-09-08,59177,2025090803000063,KSBBL,South Asian Bulls Pvt. Ltd.,Sundhara Securities Limited,60,536.1,32166.0,2025-09-08 11:05:15.974801
2025-09-08,59176,2025090803000064,KSBBL,Online Securities Pvt. Ltd.,Sundhara Securities Limited,50,536.0,26800.0,2025-09-08 11:05:15.974911
2025-09-08,59175,2025090803000065,KSBBL,Nagarik Stock Dealer ,Sundhara Securities Limited,90,536.0,48240.0,2025-09-08 11:05:15.974953
2025-09-08,59087,2025090803000066,KSBBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,200,537.0,107400.0,2025-09-08 11:06:12.636995
2025-09-08,58884,2025090803000076,KSBBL,South Asian Bulls Pvt. Ltd.,Sundhara Securities Limited,40,536.1,21444.0,2025-09-08 11:07:53.721290
2025-09-08,58883,2025090803000077,KSBBL,Nagarik Stock Dealer ,Sundhara Securities Limited,10,536.0,5360.0,2025-09-08 11:07:53.721434
2025-09-08,58882,2025090803000078,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sundhara Securities Limited,150,536.0,80400.0,2025-09-08 11:07:53.721479
2025-09-08,58860,2025090803000081,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,50,536.0,26800.0,2025-09-08 11:08:00.309220
2025-09-08,58859,2025090803000082,KSBBL,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,50,536.0,26800.0,2025-09-08 11:08:00.309383
2025-09-08,58838,2025090803000085,KSBBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,300,536.0,160800.0,2025-09-08 11:08:12.552149
2025-09-08,58803,2025090803000088,KSBBL,Online Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,535.0,53500.0,2025-09-08 11:08:29.004688
2025-09-08,58685,2025090803000101,KSBBL,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,10,535.0,5350.0,2025-09-08 11:09:14.625899
2025-09-08,58684,2025090803000102,KSBBL,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,535.0,53500.0,2025-09-08 11:09:14.625984
2025-09-08,58683,2025090803000103,KSBBL,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,13,535.0,6955.0,2025-09-08 11:09:14.626034
2025-09-08,58670,2025090803000106,KSBBL,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,535.0,53500.0,2025-09-08 11:09:17.841415
2025-09-08,58562,2025090803000110,KSBBL,South Asian Bulls Pvt. Ltd.,Midas Stock Broking Company Private Limited,90,532.0,47880.0,2025-09-08 11:09:57.967231
2025-09-08,58561,2025090803000111,KSBBL,Stoxkarts Securities Limited,Midas Stock Broking Company Private Limited,50,531.1,26555.0,2025-09-08 11:09:57.967420
2025-09-08,58560,2025090803000112,KSBBL,Secured Securities Ltd.,Midas Stock Broking Company Private Limited,100,531.0,53100.0,2025-09-08 11:09:57.967534
2025-09-08,58559,2025090803000113,KSBBL,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,100,531.0,53100.0,2025-09-08 11:09:57.967659
2025-09-08,58494,2025090803000118,KSBBL,Thrive Brokerage House Pvt. Ltd,Midas Stock Broking Company Private Limited,155,531.0,82305.0,2025-09-08 11:10:24.496122
2025-09-08,58395,2025090803000123,KSBBL,Nagarik Stock Dealer ,BHOLE GANESH SECURITIES LTD,90,532.0,47880.0,2025-09-08 11:10:53.901244
2025-09-08,58394,2025090803000124,KSBBL,Agrawal Securities (PVT) Ltd.,BHOLE GANESH SECURITIES LTD,100,531.0,53100.0,2025-09-08 11:10:53.901329
2025-09-08,58393,2025090803000125,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,BHOLE GANESH SECURITIES LTD,43,530.0,22790.0,2025-09-08 11:10:53.901404
2025-09-08,58392,2025090803000126,KSBBL,ABC Securities Private Limited,BHOLE GANESH SECURITIES LTD,20,530.0,10600.0,2025-09-08 11:10:53.901485
2025-09-08,58391,2025090803000127,KSBBL,South Asian Bulls Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,200,529.2,105840.0,2025-09-08 11:10:53.901557
2025-09-08,58390,2025090803000128,KSBBL,Vision Securities Pvt. Ltd,BHOLE GANESH SECURITIES LTD,547,529.1,289417.7,2025-09-08 11:10:53.901629
2025-09-08,58008,2025090803000147,KSBBL,Asian Securities Private Ltd.,Nabil Stock Dealer Ltd.,300,533.0,159900.0,2025-09-08 11:13:13.807119
2025-09-08,58007,2025090803000148,KSBBL,Asian Securities Private Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,200,534.0,106800.0,2025-09-08 11:13:13.807225
2025-09-08,56389,2025090803000283,KSBBL,Kalika Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,100,533.4,53340.0,2025-09-08 11:22:38.257685
2025-09-08,56174,2025090803000302,KSBBL,South Asian Bulls Pvt. Ltd.,Asian Securities Private Ltd.,40,530.1,21204.0,2025-09-08 11:23:27.531362
2025-09-08,56173,2025090803000303,KSBBL,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,20,530.1,10602.0,2025-09-08 11:23:27.531512
2025-09-08,56172,2025090803000304,KSBBL,Nagarik Stock Dealer ,Asian Securities Private Ltd.,100,530.0,53000.0,2025-09-08 11:23:27.531573
2025-09-08,56171,2025090803000305,KSBBL,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,25,530.0,13250.0,2025-09-08 11:23:27.531626
2025-09-08,56007,2025090803000333,KSBBL,Dakshinkali Investment & Securities Pvt. Ltd.,Asian Securities Private Ltd.,100,529.7,52970.0,2025-09-08 11:24:10.099158
2025-09-08,55992,2025090803000334,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,20,529.7,10594.0,2025-09-08 11:24:13.070793
2025-09-08,55827,2025090803000342,KSBBL,Nagarik Stock Dealer ,Infinity Securities Limited,64,529.6,33894.4,2025-09-08 11:24:55.410678
2025-09-08,55825,2025090803000343,KSBBL,Nagarik Stock Dealer ,Online Securities Pvt. Ltd.,36,529.6,19065.6,2025-09-08 11:24:57.127594
2025-09-08,55824,2025090803000344,KSBBL,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,529.6,26480.0,2025-09-08 11:24:57.127728
2025-09-08,55823,2025090803000345,KSBBL,Kalika Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,529.5,26475.0,2025-09-08 11:24:57.127784
2025-09-08,55822,2025090803000346,KSBBL,Capital Hub P. Ltd,Online Securities Pvt. Ltd.,264,529.4,139761.6,2025-09-08 11:24:57.127840
2025-09-08,55645,2025090803000358,KSBBL,Sri Hari Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,399,529.6,211310.4,2025-09-08 11:25:46.992055
2025-09-08,55644,2025090803000359,KSBBL,Sri Hari Securities Pvt. Ltd.,Asian Securities Private Ltd.,601,529.7,318349.7,2025-09-08 11:25:46.992347
2025-09-08,55605,2025090803000361,KSBBL,Capital Hub P. Ltd,Secured Securities Ltd.,136,529.4,71998.4,2025-09-08 11:25:58.602924
2025-09-08,55604,2025090803000362,KSBBL,Nagarik Stock Dealer ,Secured Securities Ltd.,50,529.3,26465.0,2025-09-08 11:25:58.603076
2025-09-08,55603,2025090803000363,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Secured Securities Ltd.,100,529.3,52930.0,2025-09-08 11:25:58.603135
2025-09-08,55602,2025090803000364,KSBBL,Imperial Securities Company Pvt. Ltd.,Secured Securities Ltd.,10,529.2,5292.0,2025-09-08 11:25:58.603195
2025-09-08,55601,2025090803000365,KSBBL,Ashutosh Brokerage & Securities (PVT) Ltd.,Secured Securities Ltd.,500,529.1,264550.0,2025-09-08 11:25:58.603250
2025-09-08,55600,2025090803000366,KSBBL,Trishakti Securities Public Limited,Secured Securities Ltd.,1000,529.0,529000.0,2025-09-08 11:25:58.603300
2025-09-08,55599,2025090803000367,KSBBL,Trishakti Securities Public Limited,Secured Securities Ltd.,204,529.0,107916.0,2025-09-08 11:25:58.603347
2025-09-08,55547,2025090803000376,KSBBL,Trishakti Securities Public Limited,Infinity Securities Limited,400,529.0,211600.0,2025-09-08 11:26:10.502387
2025-09-08,55520,2025090803000382,KSBBL,Secured Securities Ltd.,Asian Securities Private Ltd.,50,529.7,26485.0,2025-09-08 11:26:18.041519
2025-09-08,55128,2025090803000404,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,529.1,105820.0,2025-09-08 11:28:16.105649
2025-09-08,55127,2025090803000405,KSBBL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,300,529.1,158730.0,2025-09-08 11:28:16.105905
2025-09-08,55126,2025090803000406,KSBBL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,529.1,52910.0,2025-09-08 11:28:16.106085
2025-09-08,54714,2025090803000428,KSBBL,Naasa Securities Co. Ltd.,SUN SECURITIES PVT LTD,14,529.2,7408.8,2025-09-08 11:30:37.162506
2025-09-08,54639,2025090803000433,KSBBL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,26,529.2,13759.2,2025-09-08 11:30:59.772311
2025-09-08,54638,2025090803000434,KSBBL,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,53,529.1,28042.3,2025-09-08 11:30:59.772575
2025-09-08,54637,2025090803000435,KSBBL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,200,529.1,105820.0,2025-09-08 11:30:59.772753
2025-09-08,54615,2025090803000439,KSBBL,Aryatara Investment & Securities,Opal Securities Investment (PVT) Ltd.,20,529.1,10582.0,2025-09-08 11:31:04.910141
2025-09-08,54430,2025090803000459,KSBBL,Trishakti Securities Public Limited,Nabil Stock Dealer Ltd.,126,529.0,66654.0,2025-09-08 11:31:53.010632
2025-09-08,54429,2025090803000460,KSBBL,Kohinoor Investment & Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,20,529.0,10580.0,2025-09-08 11:31:53.010768
2025-09-08,54428,2025090803000461,KSBBL,Kohinoor Investment & Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,900,529.0,476100.0,2025-09-08 11:31:53.010826
2025-09-08,54427,2025090803000462,KSBBL,Kalika Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,50,529.0,26450.0,2025-09-08 11:31:53.010880
2025-09-08,54426,2025090803000463,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Nabil Stock Dealer Ltd.,100,529.0,52900.0,2025-09-08 11:31:53.010936
2025-09-08,54425,2025090803000464,KSBBL,Arun Securities (PVT) Ltd.,Nabil Stock Dealer Ltd.,100,529.0,52900.0,2025-09-08 11:31:53.010990
2025-09-08,54195,2025090803000482,KSBBL,Imperial Securities Company Pvt. Ltd.,Nabil Stock Dealer Ltd.,100,529.0,52900.0,2025-09-08 11:32:56.183211
2025-09-08,54099,2025090803000496,KSBBL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,529.0,5290.0,2025-09-08 11:33:24.901748
2025-09-08,54067,2025090803000498,KSBBL,Sri Hari Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,390,529.0,206310.0,2025-09-08 11:33:38.589419
2025-09-08,54028,2025090803000502,KSBBL,Sri Hari Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,10,529.0,5290.0,2025-09-08 11:33:49.753692
2025-09-08,53809,2025090803000554,KSBBL,Vision Securities Pvt. Ltd,Deevyaa Securities & Stock House Pvt. Ltd,490,529.0,259210.0,2025-09-08 11:34:42.557072
2025-09-08,53495,2025090803000590,KSBBL,Aakashbhairab Securities Ltd.,Asian Securities Private Ltd.,44,529.7,23306.8,2025-09-08 11:36:22.230171
2025-09-08,53494,2025090803000591,KSBBL,Aakashbhairab Securities Ltd.,Imperial Securities Company Pvt. Ltd.,50,530.0,26500.0,2025-09-08 11:36:22.230320
2025-09-08,53308,2025090803000614,KSBBL,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,180,531.0,95580.0,2025-09-08 11:37:33.196665
2025-09-08,52897,2025090803000654,KSBBL,Kalika Securities Pvt. Ltd.,ABC Securities Private Limited,15,531.0,7965.0,2025-09-08 11:39:29.759742
2025-09-08,51409,2025090803000792,KSBBL,Kalika Securities Pvt. Ltd.,Aryatara Investment & Securities,20,530.0,10600.0,2025-09-08 11:47:30.465509
2025-09-08,51408,2025090803000793,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,200,529.8,105960.0,2025-09-08 11:47:30.465667
2025-09-08,51407,2025090803000794,KSBBL,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,200,529.7,105940.0,2025-09-08 11:47:30.465745
2025-09-08,51406,2025090803000795,KSBBL,South Asian Bulls Pvt. Ltd.,Aryatara Investment & Securities,50,529.2,26460.0,2025-09-08 11:47:30.465807
2025-09-08,51405,2025090803000796,KSBBL,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,50,529.2,26460.0,2025-09-08 11:47:30.465867
2025-09-08,51404,2025090803000797,KSBBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,160,529.1,84656.0,2025-09-08 11:47:30.465929
2025-09-08,51403,2025090803000798,KSBBL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,100,529.0,52900.0,2025-09-08 11:47:30.466010
2025-09-08,51402,2025090803000799,KSBBL,Sani Securities Company Ltd.,Aryatara Investment & Securities,10,529.0,5290.0,2025-09-08 11:47:30.466082
2025-09-08,51334,2025090803000816,KSBBL,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,10,528.3,5283.0,2025-09-08 11:47:52.610259
2025-09-08,51333,2025090803000817,KSBBL,South Asian Bulls Pvt. Ltd.,Aryatara Investment & Securities,100,528.2,52820.0,2025-09-08 11:47:52.610697
2025-09-08,51332,2025090803000818,KSBBL,Capital Hub P. Ltd,Aryatara Investment & Securities,200,528.1,105620.0,2025-09-08 11:47:52.610903
2025-09-08,50314,2025090803000903,KSBBL,Dakshinkali Investment & Securities Pvt. Ltd.,ABC Securities Private Limited,100,531.0,53100.0,2025-09-08 11:53:07.682624
2025-09-08,50225,2025090803000908,KSBBL,Dakshinkali Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,531.0,53100.0,2025-09-08 11:53:40.869750
2025-09-08,50064,2025090803000930,KSBBL,Arun Securities (PVT) Ltd.,ABC Securities Private Limited,50,530.0,26500.0,2025-09-08 11:54:28.744679
