Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-08,59422,2025090803000042,NLIC,Opal Securities Investment (PVT) Ltd.,N.I.M.B. Stock Markets Limited,41,770.0,31570.0,2025-09-08 11:02:40.840303
2025-09-08,59028,2025090803000068,NLIC,Nepal Stock House (PVT) Ltd.,N.I.M.B. Stock Markets Limited,20,770.0,15400.0,2025-09-08 11:06:47.912166
2025-09-08,58443,2025090803000120,NLIC,J.F. Securites (PVT) Ltd.,N.I.M.B. Stock Markets Limited,18,770.0,13860.0,2025-09-08 11:10:39.785967
2025-09-08,57246,2025090803000199,NLIC,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,10,769.0,7690.0,2025-09-08 11:18:33.005863
2025-09-08,56710,2025090803000248,NLIC,Asian Securities Private Ltd.,Vision Securities Pvt. Ltd,40,769.0,30760.0,2025-09-08 11:21:26.439114
2025-09-08,56709,2025090803000249,NLIC,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,10,769.0,7690.0,2025-09-08 11:21:26.439270
2025-09-08,56708,2025090803000250,NLIC,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,79,768.5,60711.5,2025-09-08 11:21:26.439382
2025-09-08,56707,2025090803000251,NLIC,Sundhara Securities Limited,Vision Securities Pvt. Ltd,91,768.0,69888.0,2025-09-08 11:21:26.439490
2025-09-08,56221,2025090803000296,NLIC,Sundhara Securities Limited,Sri Hari Securities Pvt. Ltd.,38,768.0,29184.0,2025-09-08 11:23:16.221168
2025-09-08,54194,2025090803000483,NLIC,Linch Stock Market Ltd.,Sani Securities Company Ltd.,100,768.2,76820.0,2025-09-08 11:32:56.484375
2025-09-08,53347,2025090803000602,NLIC,Linch Stock Market Ltd.,Aryatara Investment & Securities,36,768.2,27655.2,2025-09-08 11:37:18.709272
2025-09-08,53323,2025090803000607,NLIC,Opal Securities Investment (PVT) Ltd.,N.I.M.B. Stock Markets Limited,21,770.0,16170.0,2025-09-08 11:37:29.413115
2025-09-08,53322,2025090803000608,NLIC,Opal Securities Investment (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,101,770.0,77770.0,2025-09-08 11:37:29.413306
2025-09-08,53321,2025090803000609,NLIC,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,50,770.0,38500.0,2025-09-08 11:37:29.413428
2025-09-08,53320,2025090803000610,NLIC,Opal Securities Investment (PVT) Ltd.,Online Securities Pvt. Ltd.,66,770.0,50820.0,2025-09-08 11:37:29.413551
2025-09-08,53319,2025090803000611,NLIC,Opal Securities Investment (PVT) Ltd.,Arun Securities (PVT) Ltd.,10,770.0,7700.0,2025-09-08 11:37:29.413670
2025-09-08,53318,2025090803000612,NLIC,Opal Securities Investment (PVT) Ltd.,Aryatara Investment & Securities,20,770.0,15400.0,2025-09-08 11:37:29.413809
2025-09-08,50615,2025090803000885,NLIC,K.B.L. Securities Limited ,Sri Hari Securities Pvt. Ltd.,10,769.0,7690.0,2025-09-08 11:51:53.030778
2025-09-08,50514,2025090803000889,NLIC,K.B.L. Securities Limited ,Sri Hari Securities Pvt. Ltd.,10,769.0,7690.0,2025-09-08 11:52:17.228733
2025-09-08,50336,2025090803000900,NLIC,K.B.L. Securities Limited ,Agrawal Securities (PVT) Ltd.,36,769.0,27684.0,2025-09-08 11:53:02.472200
2025-09-08,49826,2025090803000949,NLIC,K.B.L. Securities Limited ,Kumari Securities Private Limited,14,769.0,10766.0,2025-09-08 11:55:38.877105
2025-09-08,49825,2025090803000950,NLIC,S.P.S.A. Securities Limited,Kumari Securities Private Limited,100,769.0,76900.0,2025-09-08 11:55:38.877348
2025-09-08,49691,2025090803000975,NLIC,Sagarmatha Securities Private Limited,Agrawal Securities (PVT) Ltd.,15,768.8,11532.0,2025-09-08 11:56:20.679183
2025-09-08,49572,2025090803000982,NLIC,Midas Stock Broking Company Private Limited,Kumari Securities Private Limited,50,768.9,38445.0,2025-09-08 11:56:48.622846
2025-09-08,49486,2025090803000993,NLIC,Sagarmatha Securities Private Limited,Premier Securities Company Ltd.,36,768.8,27676.8,2025-09-08 11:57:15.244480
2025-09-08,49473,2025090803000994,NLIC,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,588,768.9,452113.2,2025-09-08 11:57:21.324505
2025-09-08,49087,2025090803001037,NLIC,Opal Securities Investment (PVT) Ltd.,Miyo Securities Pvt Ltd,250,770.0,192500.0,2025-09-08 11:59:09.509412
2025-09-08,49054,2025090803001041,NLIC,Opal Securities Investment (PVT) Ltd.,Trisul Securities & Invt. Ltd.,691,770.0,532070.0,2025-09-08 11:59:14.683164
2025-09-08,48930,2025090803001048,NLIC,Opal Securities Investment (PVT) Ltd.,Premier Securities Company Ltd.,36,770.0,27720.0,2025-09-08 11:59:54.996947
2025-09-08,48679,2025090803001082,NLIC,Online Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,11,772.0,8492.0,2025-09-08 12:01:26.324663
2025-09-08,48678,2025090803001083,NLIC,Online Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,90,772.0,69480.0,2025-09-08 12:01:26.324895
2025-09-08,48677,2025090803001084,NLIC,Online Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,315,772.0,243180.0,2025-09-08 12:01:26.325063
2025-09-08,48676,2025090803001085,NLIC,Online Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,505,772.0,389860.0,2025-09-08 12:01:26.325211
2025-09-08,46584,2025090803001335,NLIC,Nabil Stock Dealer Ltd.,Agrawal Securities (PVT) Ltd.,73,770.2,56224.6,2025-09-08 12:12:47.008343
2025-09-08,46582,2025090803001336,NLIC,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,17,770.2,13093.4,2025-09-08 12:12:49.454396
2025-09-08,46285,2025090803001357,NLIC,Siprabi Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,56,771.0,43176.0,2025-09-08 12:14:30.505780
2025-09-08,46132,2025090803001379,NLIC,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,8,768.0,6144.0,2025-09-08 12:15:18.945059
2025-09-08,45927,2025090803001404,NLIC,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,60,770.2,46212.0,2025-09-08 12:16:29.127980
2025-09-08,45864,2025090803001407,NLIC,Nabil Stock Dealer Ltd.,Primo Securities (PVT) Ltd.,36,770.2,27727.2,2025-09-08 12:16:52.033725
2025-09-08,45508,2025090803001427,NLIC,Sweta Securities Private Limited,Sumeru Securities Pvt. Ltd.,36,771.0,27756.0,2025-09-08 12:18:08.263394
2025-09-08,45507,2025090803001428,NLIC,Sweta Securities Private Limited,Trishakti Securities Public Limited,26,771.0,20046.0,2025-09-08 12:18:08.263528
2025-09-08,45506,2025090803001429,NLIC,Sweta Securities Private Limited,Miyo Securities Pvt Ltd,1000,772.0,772000.0,2025-09-08 12:18:08.263590
2025-09-08,45505,2025090803001430,NLIC,Sweta Securities Private Limited,Nepal Investment And Securities Trading Private Limited,38,772.0,29336.0,2025-09-08 12:18:08.263647
2025-09-08,45437,2025090803001452,NLIC,Pragyan Securities (PVT) Ltd.,Linch Stock Market Ltd.,1,768.0,768.0,2025-09-08 12:18:22.890184
2025-09-08,45393,2025090803001454,NLIC,Nabil Stock Dealer Ltd.,Agrawal Securities (PVT) Ltd.,100,770.2,77020.0,2025-09-08 12:18:33.815221
2025-09-08,44564,2025090803001528,NLIC,Sri Hari Securities Pvt. Ltd.,Premier Securities Company Ltd.,10,773.8,7738.0,2025-09-08 12:22:42.304919
2025-09-08,43051,2025090803001731,NLIC,Linch Stock Market Ltd.,Miyo Securities Pvt Ltd,210,770.3,161763.0,2025-09-08 12:30:25.756054
2025-09-08,43050,2025090803001732,NLIC,Nabil Stock Dealer Ltd.,Miyo Securities Pvt Ltd,1190,770.2,916538.0,2025-09-08 12:30:25.756324
2025-09-08,42909,2025090803001748,NLIC,Nabil Stock Dealer Ltd.,Shree Krishna Securities Ltd.,10,770.2,7702.0,2025-09-08 12:31:10.907130
2025-09-08,42598,2025090803001790,NLIC,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,14,770.2,10782.8,2025-09-08 12:32:34.478594
2025-09-08,42597,2025090803001791,NLIC,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,426,770.0,328020.0,2025-09-08 12:32:34.478745
2025-09-08,41440,2025090803001946,NLIC,Opal Securities Investment (PVT) Ltd.,Kalika Securities Pvt. Ltd.,36,770.0,27720.0,2025-09-08 12:37:33.750727
2025-09-08,40946,2025090803002024,NLIC,Opal Securities Investment (PVT) Ltd.,Vision Securities Pvt. Ltd,65,770.0,50050.0,2025-09-08 12:42:26.723394
2025-09-08,39521,2025090803002273,NLIC,Nabil Stock Dealer Ltd.,Secured Securities Ltd.,36,770.5,27738.0,2025-09-08 12:57:09.662076
2025-09-08,39306,2025090803002305,NLIC,Nabil Stock Dealer Ltd.,K.B.L. Securities Limited ,700,770.5,539350.0,2025-09-08 13:00:06.169083
2025-09-08,39202,2025090803002315,NLIC,Nabil Stock Dealer Ltd.,K.B.L. Securities Limited ,19,770.5,14639.5,2025-09-08 13:01:29.400946
2025-09-08,38998,2025090803002334,NLIC,Nabil Stock Dealer Ltd.,K.B.L. Securities Limited ,500,770.5,385250.0,2025-09-08 13:03:18.762087
2025-09-08,38969,2025090803002335,NLIC,Nabil Stock Dealer Ltd.,S.P.S.A. Securities Limited,700,770.5,539350.0,2025-09-08 13:03:32.445201
2025-09-08,38782,2025090803002379,NLIC,Nabil Stock Dealer Ltd.,Siprabi Securities Pvt. Ltd.,45,770.5,34672.5,2025-09-08 13:04:29.346103
2025-09-08,38781,2025090803002380,NLIC,Opal Securities Investment (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,815,770.0,627550.0,2025-09-08 13:04:29.346248
2025-09-08,38686,2025090803002391,NLIC,Opal Securities Investment (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,12,770.0,9240.0,2025-09-08 13:05:04.462510
2025-09-08,38685,2025090803002392,NLIC,Opal Securities Investment (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,1,770.0,770.0,2025-09-08 13:05:04.462737
2025-09-08,38566,2025090803002408,NLIC,Ashutosh Brokerage & Securities (PVT) Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,20,770.0,15400.0,2025-09-08 13:05:42.099488
2025-09-08,38456,2025090803002425,NLIC,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,50,770.0,38500.0,2025-09-08 13:06:09.498916
2025-09-08,37762,2025090803002507,NLIC,Ashutosh Brokerage & Securities (PVT) Ltd.,Miyo Securities Pvt Ltd,55,770.0,42350.0,2025-09-08 13:09:23.600286
2025-09-08,35808,2025090803002768,NLIC,Sagarmatha Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,300,770.2,231060.0,2025-09-08 13:19:28.073911
2025-09-08,35714,2025090803002781,NLIC,Sagarmatha Securities Private Limited,Midas Stock Broking Company Private Limited,100,770.2,77020.0,2025-09-08 13:19:56.120543
2025-09-08,35693,2025090803002784,NLIC,Sagarmatha Securities Private Limited,Online Securities Pvt. Ltd.,49,770.2,37739.8,2025-09-08 13:20:03.420889
2025-09-08,35692,2025090803002785,NLIC,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,300,770.1,231030.0,2025-09-08 13:20:03.421067
2025-09-08,35691,2025090803002786,NLIC,Sagarmatha Securities Private Limited,Online Securities Pvt. Ltd.,51,770.1,39275.1,2025-09-08 13:20:03.421129
2025-09-08,35656,2025090803002801,NLIC,Sagarmatha Securities Private Limited,Aryatara Investment & Securities,300,770.1,231030.0,2025-09-08 13:20:15.534687
2025-09-08,34971,2025090803002901,NLIC,K.B.L. Securities Limited ,Nagarik Stock Dealer ,30,770.3,23109.0,2025-09-08 13:22:55.375545
2025-09-08,34970,2025090803002902,NLIC,Sagarmatha Securities Private Limited,Nagarik Stock Dealer ,149,770.1,114744.9,2025-09-08 13:22:55.375875
2025-09-08,34969,2025090803002903,NLIC,Ashutosh Brokerage & Securities (PVT) Ltd.,Nagarik Stock Dealer ,15,770.0,11550.0,2025-09-08 13:22:55.376144
2025-09-08,34968,2025090803002904,NLIC,Trishakti Securities Public Limited,Nagarik Stock Dealer ,33,770.0,25410.0,2025-09-08 13:22:55.376397
2025-09-08,34967,2025090803002905,NLIC,Sewa Securities Pvt. Ltd.,Nagarik Stock Dealer ,60,770.0,46200.0,2025-09-08 13:22:55.376647
2025-09-08,34966,2025090803002906,NLIC,Linch Stock Market Ltd.,Nagarik Stock Dealer ,513,770.0,395010.0,2025-09-08 13:22:55.376901
2025-09-08,34801,2025090803002945,NLIC,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,15,770.3,11554.5,2025-09-08 13:23:25.764448
2025-09-08,34490,2025090803003010,NLIC,Linch Stock Market Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,50,770.0,38500.0,2025-09-08 13:24:32.446927
2025-09-08,34445,2025090803003014,NLIC,Trisul Securities & Invt. Ltd.,Vision Securities Pvt. Ltd,18,770.3,13865.4,2025-09-08 13:24:38.192080
2025-09-08,34274,2025090803003044,NLIC,Trisul Securities & Invt. Ltd.,Shree Krishna Securities Ltd.,382,770.3,294254.6,2025-09-08 13:25:20.011140
