Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-18,7254,2025091804000037,BARUN,Nepal Investment And Securities Trading Private Limited,J.F. Securites (PVT) Ltd.,100,309.4,30940.0,2025-09-18 10:46:00.061654
2025-09-18,7253,2025091804000038,BARUN,Online Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,50,309.4,15470.0,2025-09-18 10:46:00.061689
2025-09-18,7252,2025091804000039,BARUN,Linch Stock Market Ltd.,J.F. Securites (PVT) Ltd.,10,309.4,3094.0,2025-09-18 10:46:00.061724
2025-09-18,7251,2025091804000040,BARUN,Nepal Investment And Securities Trading Private Limited,J.F. Securites (PVT) Ltd.,40,309.4,12376.0,2025-09-18 10:46:00.061748
2025-09-18,7250,2025091804000041,BARUN,K.B.L. Securities Limited ,J.F. Securites (PVT) Ltd.,400,309.4,123760.0,2025-09-18 10:46:00.061772
2025-09-18,7249,2025091804000042,BARUN,K.B.L. Securities Limited ,Primo Securities (PVT) Ltd.,200,309.4,61880.0,2025-09-18 10:46:00.061817
2025-09-18,6643,2025091804000219,BARUN,K.B.L. Securities Limited ,Bhrikuti Stock Broking Co. Pvt. Ltd.,400,309.4,123760.0,2025-09-18 11:00:22.640336
2025-09-18,6630,2025091804000226,BARUN,Ashutosh Brokerage & Securities (PVT) Ltd.,Trishakti Securities Public Limited,1640,310.0,508400.0,2025-09-18 11:00:27.201251
2025-09-18,6568,2025091804000256,BARUN,Ashutosh Brokerage & Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,20,310.0,6200.0,2025-09-18 11:00:40.622224
2025-09-18,6533,2025091804000273,BARUN,Ashutosh Brokerage & Securities (PVT) Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,340,310.0,105400.0,2025-09-18 11:00:47.114287
2025-09-18,4606,2025091804000849,BARUN,Sani Securities Company Ltd.,Linch Stock Market Ltd.,35,304.0,10640.0,2025-09-18 11:23:18.273430
2025-09-18,4074,2025091804001023,BARUN,Sani Securities Company Ltd.,Sewa Securities Pvt. Ltd.,15,304.0,4560.0,2025-09-18 12:03:39.204768
2025-09-18,3124,2025091804001314,BARUN,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,100,299.0,29900.0,2025-09-18 12:04:13.339752
2025-09-18,2616,2025091804001483,BARUN,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,350,299.0,104650.0,2025-09-18 12:04:30.820032
2025-09-18,1725,2025091804001780,BARUN,South Asian Bulls Pvt. Ltd.,Elite Stock House Limited,300,299.5,89850.0,2025-09-18 12:05:03.537449
2025-09-18,1724,2025091804001781,BARUN,Vision Securities Pvt. Ltd,Elite Stock House Limited,20,298.0,5960.0,2025-09-18 12:05:03.537534
2025-09-18,1723,2025091804001782,BARUN,Aryatara Investment & Securities,Elite Stock House Limited,125,298.0,37250.0,2025-09-18 12:05:03.537609
2025-09-18,897,2025091804002030,BARUN,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,75,298.0,22350.0,2025-09-18 12:05:33.855916
