Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-18,7403,2025091803000006,NLIC,Cristal Kanchanjanga Securites Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,250,753.8,188450.0,2025-09-18 10:46:00.019097
2025-09-18,7402,2025091803000007,NLIC,K.B.L. Securities Limited ,Sri Hari Securities Pvt. Ltd.,50,753.8,37690.0,2025-09-18 10:46:00.019151
2025-09-18,7401,2025091803000008,NLIC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,29,753.8,21860.2,2025-09-18 10:46:00.019170
2025-09-18,7400,2025091803000009,NLIC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,21,753.8,15829.8,2025-09-18 10:46:00.019197
2025-09-18,6944,2025091803000107,NLIC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sri Hari Securities Pvt. Ltd.,10,753.8,7538.0,2025-09-18 10:46:00.182929
2025-09-18,6940,2025091803000108,NLIC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sipla Securities Private Limited,10,753.8,7538.0,2025-09-18 10:46:00.183110
2025-09-18,6908,2025091803000125,NLIC,Oxford Securities Pvt. Ltd.,Sipla Securities Private Limited,20,753.8,15076.0,2025-09-18 10:46:00.184765
2025-09-18,6887,2025091803000138,NLIC,Premier Securities Company Ltd.,Sipla Securities Private Limited,70,753.8,52766.0,2025-09-18 10:46:00.185769
2025-09-18,6886,2025091803000139,NLIC,Premier Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,200,753.8,150760.0,2025-09-18 10:46:00.185800
2025-09-18,6879,2025091803000146,NLIC,Sani Securities Company Ltd.,Kumari Securities Private Limited,220,753.8,165836.0,2025-09-18 10:46:00.186281
2025-09-18,6878,2025091803000147,NLIC,Sani Securities Company Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,22,753.8,16583.6,2025-09-18 10:46:00.186307
2025-09-18,6877,2025091803000148,NLIC,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,500,754.0,377000.0,2025-09-18 10:46:00.186334
2025-09-18,6876,2025091803000149,NLIC,Sani Securities Company Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,419,755.0,316345.0,2025-09-18 10:46:00.186365
2025-09-18,6875,2025091803000150,NLIC,Sani Securities Company Ltd.,ABC Securities Private Limited,500,755.0,377500.0,2025-09-18 10:46:00.186391
2025-09-18,6874,2025091803000151,NLIC,Sani Securities Company Ltd.,Online Securities Pvt. Ltd.,339,755.0,255945.0,2025-09-18 10:46:00.186415
2025-09-18,6867,2025091803000156,NLIC,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,161,755.0,121555.0,2025-09-18 10:46:00.186903
2025-09-18,6866,2025091803000157,NLIC,J.F. Securites (PVT) Ltd.,ABC Securities Private Limited,339,755.0,255945.0,2025-09-18 10:46:00.186940
