Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-21,108386,2025092101000151,ADBL,Primo Securities (PVT) Ltd.,Kumari Securities Private Limited,1031,293.0,302083.0,2025-09-21 10:46:00.065428
2025-09-21,108385,2025092101000152,ADBL,Primo Securities (PVT) Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,143,293.0,41899.0,2025-09-21 10:46:00.065476
2025-09-21,107270,2025092101000434,ADBL,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,206,294.1,60584.6,2025-09-21 11:01:08.053222
2025-09-21,107143,2025092101000475,ADBL,Cristal Kanchanjanga Securites Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,25,295.0,7375.0,2025-09-21 11:01:14.860053
2025-09-21,107057,2025092101000502,ADBL,Asian Securities Private Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,295.0,29500.0,2025-09-21 11:01:19.874520
2025-09-21,106485,2025092101000674,ADBL,Thrive Brokerage House Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,420,295.0,123900.0,2025-09-21 11:01:48.585156
2025-09-21,106484,2025092101000675,ADBL,Thrive Brokerage House Pvt. Ltd,Kalika Securities Pvt. Ltd.,200,295.0,59000.0,2025-09-21 11:01:48.585207
2025-09-21,106483,2025092101000676,ADBL,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,82,298.0,24436.0,2025-09-21 11:01:48.585237
2025-09-21,106482,2025092101000677,ADBL,Thrive Brokerage House Pvt. Ltd,Kalika Securities Pvt. Ltd.,298,298.7,89012.6,2025-09-21 11:01:48.585262
2025-09-21,106185,2025092101000749,ADBL,Nepal Investment And Securities Trading Private Limited,Ashutosh Brokerage & Securities (PVT) Ltd.,10,298.0,2980.0,2025-09-21 11:02:04.575403
2025-09-21,105899,2025092101000828,ADBL,Linch Stock Market Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,250,298.0,74500.0,2025-09-21 11:02:19.063254
2025-09-21,105234,2025092101000983,ADBL,Sewa Securities Pvt. Ltd.,Ashutosh Brokerage & Securities (PVT) Ltd.,100,298.0,29800.0,2025-09-21 11:02:53.400916
2025-09-21,105042,2025092101001034,ADBL,Capital Max Securities Ltd,Ashutosh Brokerage & Securities (PVT) Ltd.,50,298.0,14900.0,2025-09-21 11:03:04.155308
