Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-21,108502,2025092104000120,DHPL,Vision Securities Pvt. Ltd,Secured Securities Ltd.,100,272.5,27250.0,2025-09-21 10:46:00.046191
2025-09-21,107678,2025092104000309,DHPL,Vision Securities Pvt. Ltd,SUN SECURITIES PVT LTD,435,272.5,118537.5,2025-09-21 11:00:43.236416
2025-09-21,105491,2025092104000760,DHPL,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,300,273.0,81900.0,2025-09-21 11:02:40.568657
2025-09-21,105490,2025092104000761,DHPL,Vision Securities Pvt. Ltd,KALASH STOCK MARKET PVT. LTD.,150,272.5,40875.0,2025-09-21 11:02:40.568703
2025-09-21,103611,2025092104001180,DHPL,Deevyaa Securities & Stock House Pvt. Ltd,Thrive Brokerage House Pvt. Ltd,50,275.0,13750.0,2025-09-21 11:04:28.901539
2025-09-21,103382,2025092104001244,DHPL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,274.0,5480.0,2025-09-21 11:04:41.743446
2025-09-21,103025,2025092104001354,DHPL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,30,274.0,8220.0,2025-09-21 11:05:01.930935
2025-09-21,102346,2025092104001565,DHPL,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,60,274.0,16440.0,2025-09-21 11:05:43.255854
2025-09-21,101544,2025092104001820,DHPL,Kalika Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,274.0,2740.0,2025-09-21 11:06:28.002087
2025-09-21,98422,2025092104002831,DHPL,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,100,274.0,27400.0,2025-09-21 11:09:30.983205
2025-09-21,98316,2025092104002862,DHPL,Vision Securities Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,320,274.0,87680.0,2025-09-21 11:09:36.542675
2025-09-21,97639,2025092104003035,DHPL,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,20,274.0,5480.0,2025-09-21 11:10:20.075588
2025-09-21,97620,2025092104003039,DHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,200,274.0,54800.0,2025-09-21 11:10:20.783497
2025-09-21,96716,2025092104003325,DHPL,Nepal Stock House (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,20,271.0,5420.0,2025-09-21 11:10:59.240068
2025-09-21,96715,2025092104003326,DHPL,Linch Stock Market Ltd.,Sumeru Securities Pvt. Ltd.,100,270.0,27000.0,2025-09-21 11:10:59.240178
2025-09-21,96714,2025092104003327,DHPL,Sweta Securities Private Limited,Sumeru Securities Pvt. Ltd.,200,270.0,54000.0,2025-09-21 11:10:59.240292
2025-09-21,96713,2025092104003328,DHPL,Linch Stock Market Ltd.,Sumeru Securities Pvt. Ltd.,100,270.0,27000.0,2025-09-21 11:10:59.240413
2025-09-21,96712,2025092104003329,DHPL,Swarna Laxmi Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,1000,270.0,270000.0,2025-09-21 11:10:59.240520
2025-09-21,96711,2025092104003330,DHPL,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,1000,270.0,270000.0,2025-09-21 11:10:59.240631
2025-09-21,94101,2025092104004062,DHPL,Investment Management Nepal Pvt. Ltd.,J.F. Securites (PVT) Ltd.,500,272.0,136000.0,2025-09-21 11:12:43.034480
2025-09-21,93552,2025092104004222,DHPL,Ashutosh Brokerage & Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,100,273.0,27300.0,2025-09-21 11:13:10.001006
2025-09-21,93551,2025092104004223,DHPL,Investment Management Nepal Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,750,272.0,204000.0,2025-09-21 11:13:10.001065
2025-09-21,92351,2025092104004656,DHPL,Siprabi Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,10,270.0,2700.0,2025-09-21 11:14:04.344591
2025-09-21,92350,2025092104004657,DHPL,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,11,270.0,2970.0,2025-09-21 11:14:04.344638
2025-09-21,92349,2025092104004658,DHPL,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,500,269.0,134500.0,2025-09-21 11:14:04.344677
2025-09-21,92348,2025092104004659,DHPL,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,500,268.9,134450.0,2025-09-21 11:14:04.344716
2025-09-21,92347,2025092104004660,DHPL,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,70,268.7,18809.0,2025-09-21 11:14:04.344749
2025-09-21,92346,2025092104004661,DHPL,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,315,268.6,84609.0,2025-09-21 11:14:04.344787
2025-09-21,92345,2025092104004662,DHPL,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,136,267.1,36325.6,2025-09-21 11:14:04.344828
2025-09-21,88202,2025092104005759,DHPL,Siprabi Securities Pvt. Ltd.,Sani Securities Company Ltd.,10,268.0,2680.0,2025-09-21 11:17:57.339021
2025-09-21,87884,2025092104005841,DHPL,Aryatara Investment & Securities,Sani Securities Company Ltd.,164,267.1,43804.4,2025-09-21 11:18:20.669579
2025-09-21,87883,2025092104005842,DHPL,Midas Stock Broking Company Private Limited,Sani Securities Company Ltd.,186,267.1,49680.6,2025-09-21 11:18:20.669649
2025-09-21,87444,2025092104005988,DHPL,Sewa Securities Pvt. Ltd.,Secured Securities Ltd.,10,267.1,2671.0,2025-09-21 11:18:48.232632
2025-09-21,87210,2025092104006040,DHPL,Sewa Securities Pvt. Ltd.,Sani Securities Company Ltd.,190,267.1,50749.0,2025-09-21 11:19:03.743627
2025-09-21,85298,2025092104006546,DHPL,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,200,270.4,54080.0,2025-09-21 11:21:21.097127
2025-09-21,84906,2025092104006684,DHPL,Sri Hari Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,50,270.4,13520.0,2025-09-21 11:21:51.342743
2025-09-21,83961,2025092104006954,DHPL,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,150,270.4,40560.0,2025-09-21 11:22:54.760395
2025-09-21,83699,2025092104007031,DHPL,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,40,270.5,10820.0,2025-09-21 11:23:13.461053
2025-09-21,83452,2025092104007095,DHPL,Online Securities Pvt. Ltd.,ABC Securities Private Limited,90,271.0,24390.0,2025-09-21 11:23:30.511706
2025-09-21,83232,2025092104007154,DHPL,Online Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,20,271.8,5436.0,2025-09-21 11:23:47.023658
