Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-21,108421,2025092104000149,KPCL,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,50,501.0,25050.0,2025-09-21 10:46:00.059941
2025-09-21,108420,2025092104000150,KPCL,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,200,501.0,100200.0,2025-09-21 10:46:00.059975
2025-09-21,108419,2025092104000151,KPCL,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,170,501.0,85170.0,2025-09-21 10:46:00.060004
2025-09-21,107606,2025092104000336,KPCL,Nagarik Stock Dealer ,Imperial Securities Company Pvt. Ltd.,50,511.0,25550.0,2025-09-21 11:00:47.516733
2025-09-21,107605,2025092104000337,KPCL,Nagarik Stock Dealer ,Imperial Securities Company Pvt. Ltd.,50,511.0,25550.0,2025-09-21 11:00:47.516774
2025-09-21,104625,2025092104000926,KPCL,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,50,520.0,26000.0,2025-09-21 11:03:28.234482
2025-09-21,104624,2025092104000927,KPCL,Investment Management Nepal Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,80,521.0,41680.0,2025-09-21 11:03:28.234561
2025-09-21,104623,2025092104000928,KPCL,Investment Management Nepal Pvt. Ltd.,Capital Max Securities Ltd,20,521.0,10420.0,2025-09-21 11:03:28.234592
2025-09-21,104381,2025092104000980,KPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,25,515.0,12875.0,2025-09-21 11:03:43.567221
2025-09-21,104335,2025092104000997,KPCL,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,50,519.0,25950.0,2025-09-21 11:03:46.396993
2025-09-21,104334,2025092104000998,KPCL,Sani Securities Company Ltd.,Capital Max Securities Ltd,130,521.0,67730.0,2025-09-21 11:03:46.397106
2025-09-21,104333,2025092104000999,KPCL,Sani Securities Company Ltd.,ABC Securities Private Limited,200,521.2,104240.0,2025-09-21 11:03:46.397190
2025-09-21,104006,2025092104001080,KPCL,Sani Securities Company Ltd.,ABC Securities Private Limited,70,523.0,36610.0,2025-09-21 11:04:05.739602
2025-09-21,103866,2025092104001117,KPCL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,ABC Securities Private Limited,25,523.0,13075.0,2025-09-21 11:04:13.996862
2025-09-21,103578,2025092104001190,KPCL,Trishakti Securities Public Limited,ABC Securities Private Limited,155,523.0,81065.0,2025-09-21 11:04:31.118704
2025-09-21,103366,2025092104001255,KPCL,Trishakti Securities Public Limited,Malla & Malla Stock Broking Company Pvt. Limited,15,523.0,7845.0,2025-09-21 11:04:42.347358
2025-09-21,102534,2025092104001528,KPCL,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,18,523.0,9414.0,2025-09-21 11:05:32.569636
2025-09-21,100594,2025092104002156,KPCL,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,10,532.0,5320.0,2025-09-21 11:07:23.485120
2025-09-21,100161,2025092104002303,KPCL,Trisul Securities & Invt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,10,524.2,5242.0,2025-09-21 11:07:44.924819
2025-09-21,100160,2025092104002304,KPCL,Trishakti Securities Public Limited,Bhrikuti Stock Broking Co. Pvt. Ltd.,312,523.0,163176.0,2025-09-21 11:07:44.924874
2025-09-21,100159,2025092104002305,KPCL,Naasa Securities Co. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,78,523.0,40794.0,2025-09-21 11:07:44.924911
2025-09-21,99994,2025092104002362,KPCL,Sewa Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,40,530.0,21200.0,2025-09-21 11:07:54.418050
2025-09-21,99993,2025092104002363,KPCL,Sewa Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,110,532.0,58520.0,2025-09-21 11:07:54.418144
2025-09-21,99050,2025092104002639,KPCL,Sewa Securities Pvt. Ltd.,Linch Stock Market Ltd.,140,527.9,73906.0,2025-09-21 11:08:54.172682
