Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-21,108568,2025092103000051,MDB,Online Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,50,563.5,28175.0,2025-09-21 10:46:00.040324
2025-09-21,108567,2025092103000052,MDB,Sewa Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,50,563.5,28175.0,2025-09-21 10:46:00.040366
2025-09-21,108566,2025092103000053,MDB,ABC Securities Private Limited,Sumeru Securities Pvt. Ltd.,50,563.5,28175.0,2025-09-21 10:46:00.040426
2025-09-21,108565,2025092103000054,MDB,Himalayan Securities Limited,Sumeru Securities Pvt. Ltd.,25,563.5,14087.5,2025-09-21 10:46:00.040449
2025-09-21,108564,2025092103000055,MDB,Imperial Securities Company Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,25,563.5,14087.5,2025-09-21 10:46:00.040478
2025-09-21,108563,2025092103000056,MDB,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,300,563.5,169050.0,2025-09-21 10:46:00.040532
2025-09-21,108055,2025092103000163,MDB,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,93,564.0,52452.0,2025-09-21 11:00:03.750273
2025-09-21,107211,2025092103000307,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,200,567.0,113400.0,2025-09-21 11:01:11.711261
2025-09-21,106349,2025092103000421,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Sundhara Securities Limited,11,568.0,6248.0,2025-09-21 11:01:55.432114
2025-09-21,106003,2025092103000482,MDB,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,100,570.0,57000.0,2025-09-21 11:02:13.092823
2025-09-21,103576,2025092103000855,MDB,Linch Stock Market Ltd.,Premier Securities Company Ltd.,50,570.0,28500.0,2025-09-21 11:04:31.219153
2025-09-21,103575,2025092103000856,MDB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Premier Securities Company Ltd.,100,568.0,56800.0,2025-09-21 11:04:31.219200
2025-09-21,103574,2025092103000857,MDB,Premier Securities Company Ltd.,Premier Securities Company Ltd.,10,568.0,5680.0,2025-09-21 11:04:31.219225
2025-09-21,103573,2025092103000858,MDB,Aryatara Investment & Securities,Premier Securities Company Ltd.,149,567.0,84483.0,2025-09-21 11:04:31.219250
2025-09-21,101072,2025092103001180,MDB,Premier Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,100,578.0,57800.0,2025-09-21 11:06:54.252497
2025-09-21,100079,2025092103001289,MDB,Sundhara Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,10,581.0,5810.0,2025-09-21 11:07:49.702139
2025-09-21,100078,2025092103001290,MDB,Sundhara Securities Limited,Nepal Stock House (PVT) Ltd.,90,581.0,52290.0,2025-09-21 11:07:49.702203
2025-09-21,99836,2025092103001320,MDB,ABC Securities Private Limited,Nepal Stock House (PVT) Ltd.,10,581.0,5810.0,2025-09-21 11:08:03.754588
2025-09-21,99424,2025092103001381,MDB,ABC Securities Private Limited,Opal Securities Investment (PVT) Ltd.,10,592.0,5920.0,2025-09-21 11:08:30.516698
2025-09-21,98993,2025092103001453,MDB,Dakshinkali Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,90,592.0,53280.0,2025-09-21 11:08:57.161327
2025-09-21,98992,2025092103001454,MDB,Dakshinkali Investment & Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,300,592.0,177600.0,2025-09-21 11:08:57.161478
2025-09-21,98991,2025092103001455,MDB,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,630,595.0,374850.0,2025-09-21 11:08:57.161563
2025-09-21,94188,2025092103002112,MDB,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,50,585.0,29250.0,2025-09-21 11:12:38.331239
2025-09-21,94157,2025092103002117,MDB,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,250,585.0,146250.0,2025-09-21 11:12:40.011816
2025-09-21,92932,2025092103002324,MDB,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,50,583.1,29155.0,2025-09-21 11:13:38.981697
2025-09-21,92931,2025092103002325,MDB,ABC Securities Private Limited,Opal Securities Investment (PVT) Ltd.,50,581.0,29050.0,2025-09-21 11:13:38.981773
2025-09-21,91839,2025092103002481,MDB,Dynamic Money Managers Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,22,582.0,12804.0,2025-09-21 11:14:30.518598
2025-09-21,90963,2025092103002629,MDB,Siprabi Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,100,583.0,58300.0,2025-09-21 11:15:17.587648
2025-09-21,90251,2025092103002736,MDB,Nepal Stock House (PVT) Ltd.,Sani Securities Company Ltd.,50,582.1,29105.0,2025-09-21 11:15:53.775707
2025-09-21,90250,2025092103002737,MDB,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,150,582.0,87300.0,2025-09-21 11:15:53.775748
2025-09-21,87508,2025092103003123,MDB,Dynamic Money Managers Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,15,582.0,8730.0,2025-09-21 11:18:44.035407
2025-09-21,87327,2025092103003146,MDB,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,813,582.0,473166.0,2025-09-21 11:18:55.376711
2025-09-21,87326,2025092103003147,MDB,ABC Securities Private Limited,Aryatara Investment & Securities,187,582.0,108834.0,2025-09-21 11:18:55.376780
2025-09-21,87305,2025092103003148,MDB,ABC Securities Private Limited,Siprabi Securities Pvt. Ltd.,13,582.0,7566.0,2025-09-21 11:18:56.457952
2025-09-21,86401,2025092103003269,MDB,ABC Securities Private Limited,Asian Securities Private Ltd.,140,581.0,81340.0,2025-09-21 11:19:58.532949
2025-09-21,86400,2025092103003270,MDB,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,25,581.0,14525.0,2025-09-21 11:19:58.533039
2025-09-21,86222,2025092103003292,MDB,Aryatara Investment & Securities,Asian Securities Private Ltd.,35,581.0,20335.0,2025-09-21 11:20:13.540927
2025-09-21,86221,2025092103003293,MDB,Aryatara Investment & Securities,Linch Stock Market Ltd.,50,581.0,29050.0,2025-09-21 11:20:13.540997
2025-09-21,86220,2025092103003294,MDB,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,366,582.0,213012.0,2025-09-21 11:20:13.541058
2025-09-21,86184,2025092103003299,MDB,Sundhara Securities Limited,Naasa Securities Co. Ltd.,93,580.2,53958.6,2025-09-21 11:20:15.775061
