Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-21,108335,2025092104000176,UNHPL,Naasa Securities Co. Ltd.,Shree Krishna Securities Ltd.,450,425.0,191250.0,2025-09-21 10:46:00.072565
2025-09-21,108334,2025092104000177,UNHPL,Nagarik Stock Dealer ,Shree Krishna Securities Ltd.,550,425.0,233750.0,2025-09-21 10:46:00.072591
2025-09-21,108333,2025092104000178,UNHPL,Nagarik Stock Dealer ,Shree Krishna Securities Ltd.,1000,425.0,425000.0,2025-09-21 10:46:00.072613
2025-09-21,108332,2025092104000179,UNHPL,Nagarik Stock Dealer ,Online Securities Pvt. Ltd.,200,425.0,85000.0,2025-09-21 10:46:00.072638
2025-09-21,108331,2025092104000180,UNHPL,Nagarik Stock Dealer ,Dynamic Money Managers Securities Pvt. Ltd.,100,425.0,42500.0,2025-09-21 10:46:00.072672
2025-09-21,108056,2025092104000218,UNHPL,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,50,433.0,21650.0,2025-09-21 11:00:03.371302
2025-09-21,107978,2025092104000231,UNHPL,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,10,433.0,4330.0,2025-09-21 11:00:21.323838
2025-09-21,107977,2025092104000232,UNHPL,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,50,433.0,21650.0,2025-09-21 11:00:21.323958
2025-09-21,107970,2025092104000235,UNHPL,Naasa Securities Co. Ltd.,ABC Securities Private Limited,10,433.0,4330.0,2025-09-21 11:00:21.642869
2025-09-21,107881,2025092104000252,UNHPL,Sharepro Securities Private Limited,Online Securities Pvt. Ltd.,50,433.5,21675.0,2025-09-21 11:00:30.061678
2025-09-21,107880,2025092104000253,UNHPL,Sharepro Securities Private Limited,Shree Krishna Securities Ltd.,500,433.5,216750.0,2025-09-21 11:00:30.061803
2025-09-21,107879,2025092104000254,UNHPL,Sharepro Securities Private Limited,Sumeru Securities Pvt. Ltd.,10,433.5,4335.0,2025-09-21 11:00:30.061841
2025-09-21,107878,2025092104000255,UNHPL,Sharepro Securities Private Limited,Thrive Brokerage House Pvt. Ltd,1000,433.5,433500.0,2025-09-21 11:00:30.061881
2025-09-21,107877,2025092104000256,UNHPL,Sharepro Securities Private Limited,J.F. Securites (PVT) Ltd.,75,433.5,32512.5,2025-09-21 11:00:30.061915
2025-09-21,107835,2025092104000268,UNHPL,Neev Securities Pvt. Ltd.,Aryatara Investment & Securities,500,435.0,217500.0,2025-09-21 11:00:34.589816
2025-09-21,107831,2025092104000270,UNHPL,Neev Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,435.0,43500.0,2025-09-21 11:00:34.668338
2025-09-21,107619,2025092104000330,UNHPL,Neev Securities Pvt. Ltd.,Linch Stock Market Ltd.,400,435.0,174000.0,2025-09-21 11:00:45.726954
