Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-23,63992,2025092305001104,MKJC,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,100,572.0,57200.0,2025-09-23 11:10:47.886508
2025-09-23,63336,2025092305001312,MKJC,Sani Securities Company Ltd.,R.B.B. Securities Company Ltd,50,579.0,28950.0,2025-09-23 11:12:58.353771
2025-09-23,59878,2025092305002365,MKJC,Vision Securities Pvt. Ltd,Online Securities Pvt. Ltd.,10,572.2,5722.0,2025-09-23 11:24:15.248726
2025-09-23,59874,2025092305002366,MKJC,Elite Stock House Limited,Imperial Securities Company Pvt. Ltd.,350,579.0,202650.0,2025-09-23 11:24:16.209467
2025-09-23,55970,2025092305003620,MKJC,Sweta Securities Private Limited,Online Securities Pvt. Ltd.,10,574.1,5741.0,2025-09-23 11:34:49.527597
2025-09-23,54261,2025092305004199,MKJC,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,17,576.1,9793.7,2025-09-23 11:39:18.911648
2025-09-23,54078,2025092305004230,MKJC,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,14,580.0,8120.0,2025-09-23 11:39:36.650602
2025-09-23,54077,2025092305004231,MKJC,Sweta Securities Private Limited,Capital Max Securities Ltd,50,584.9,29245.0,2025-09-23 11:39:36.650693
2025-09-23,54076,2025092305004232,MKJC,Sweta Securities Private Limited,Nepal Stock House (PVT) Ltd.,10,585.0,5850.0,2025-09-23 11:39:36.650735
2025-09-23,54075,2025092305004233,MKJC,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,50,585.0,29250.0,2025-09-23 11:39:36.650771
2025-09-23,54074,2025092305004234,MKJC,Sweta Securities Private Limited,Sagarmatha Securities Private Limited,200,585.0,117000.0,2025-09-23 11:39:36.650805
2025-09-23,53576,2025092305004388,MKJC,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,650,585.5,380575.0,2025-09-23 11:40:45.610306
2025-09-23,53119,2025092305004536,MKJC,Agrawal Securities (PVT) Ltd.,Property Wiard Limited,100,585.5,58550.0,2025-09-23 11:41:57.558017
2025-09-23,53016,2025092305004576,MKJC,Agrawal Securities (PVT) Ltd.,Property Wiard Limited,100,585.5,58550.0,2025-09-23 11:42:14.165121
2025-09-23,52871,2025092305004630,MKJC,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,54,577.0,31158.0,2025-09-23 11:42:45.269397
2025-09-23,52870,2025092305004631,MKJC,Sumeru Securities Pvt. Ltd.,Linch Stock Market Ltd.,100,577.0,57700.0,2025-09-23 11:42:45.269627
2025-09-23,52869,2025092305004632,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Linch Stock Market Ltd.,46,577.0,26542.0,2025-09-23 11:42:45.269742
2025-09-23,52779,2025092305004667,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,10,577.0,5770.0,2025-09-23 11:43:02.372404
2025-09-23,52364,2025092305004784,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,24,577.0,13848.0,2025-09-23 11:44:52.572597
2025-09-23,51893,2025092305004921,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,15,577.0,8655.0,2025-09-23 11:46:49.870427
2025-09-23,51129,2025092305005180,MKJC,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,30,576.2,17286.0,2025-09-23 11:49:54.389529
2025-09-23,51128,2025092305005181,MKJC,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,48,576.1,27652.8,2025-09-23 11:49:54.389729
2025-09-23,51127,2025092305005182,MKJC,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,300,575.6,172680.0,2025-09-23 11:49:54.389847
2025-09-23,51126,2025092305005183,MKJC,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,100,575.3,57530.0,2025-09-23 11:49:54.389960
2025-09-23,51125,2025092305005184,MKJC,Hatemalo Financial Services Private Limited,Agrawal Securities (PVT) Ltd.,100,575.1,57510.0,2025-09-23 11:49:54.390070
2025-09-23,51124,2025092305005185,MKJC,Hatemalo Financial Services Private Limited,Agrawal Securities (PVT) Ltd.,422,575.0,242650.0,2025-09-23 11:49:54.390177
2025-09-23,50923,2025092305005258,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,10,577.0,5770.0,2025-09-23 11:50:52.437877
2025-09-23,50922,2025092305005259,MKJC,Hatemalo Financial Services Private Limited,Naasa Securities Co. Ltd.,78,575.0,44850.0,2025-09-23 11:50:52.438058
2025-09-23,50011,2025092305005579,MKJC,Nagarik Stock Dealer ,Secured Securities Ltd.,10,577.1,5771.0,2025-09-23 11:54:32.832152
2025-09-23,48105,2025092305006189,MKJC,Aryatara Investment & Securities,Capital Max Securities Ltd,40,576.9,23076.0,2025-09-23 12:01:21.594077
2025-09-23,47961,2025092305006238,MKJC,Elite Stock House Limited,Miyo Securities Pvt Ltd,100,583.9,58390.0,2025-09-23 12:01:56.209286
2025-09-23,47686,2025092305006324,MKJC,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,10,576.9,5769.0,2025-09-23 12:03:00.629826
2025-09-23,46902,2025092305006605,MKJC,Oxford Securities Pvt. Ltd.,Infinity Securities Limited,1000,584.0,584000.0,2025-09-23 12:05:53.204914
2025-09-23,46263,2025092305006774,MKJC,Trishakti Securities Public Limited,Oxford Securities Pvt. Ltd.,100,585.0,58500.0,2025-09-23 12:07:52.244440
2025-09-23,46262,2025092305006775,MKJC,Trishakti Securities Public Limited,Infinity Securities Limited,500,585.0,292500.0,2025-09-23 12:07:52.244656
2025-09-23,46164,2025092305006811,MKJC,Trishakti Securities Public Limited,Indira securities pvt. ltd,1000,585.0,585000.0,2025-09-23 12:08:12.063649
2025-09-23,44373,2025092305007397,MKJC,Trishakti Securities Public Limited,Online Securities Pvt. Ltd.,10,577.4,5774.0,2025-09-23 12:14:37.755503
2025-09-23,42521,2025092305007983,MKJC,Infinity Securities Limited,Aryatara Investment & Securities,10,578.0,5780.0,2025-09-23 12:21:33.560687
2025-09-23,41257,2025092305008462,MKJC,Miyo Securities Pvt Ltd,Sri Hari Securities Pvt. Ltd.,370,579.0,214230.0,2025-09-23 12:26:11.069753
2025-09-23,41098,2025092305008498,MKJC,Miyo Securities Pvt Ltd,Aryatara Investment & Securities,30,579.0,17370.0,2025-09-23 12:26:55.860437
2025-09-23,41097,2025092305008499,MKJC,Miyo Securities Pvt Ltd,Aryatara Investment & Securities,40,579.0,23160.0,2025-09-23 12:26:55.860601
2025-09-23,41096,2025092305008500,MKJC,Sani Securities Company Ltd.,Aryatara Investment & Securities,10,579.0,5790.0,2025-09-23 12:26:55.860652
2025-09-23,41011,2025092305008522,MKJC,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,7,570.0,3990.0,2025-09-23 12:27:23.925215
2025-09-23,40973,2025092305008532,MKJC,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,1,570.0,570.0,2025-09-23 12:27:35.514223
2025-09-23,40950,2025092305008540,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Capital Max Securities Ltd,150,578.2,86730.0,2025-09-23 12:27:43.859737
2025-09-23,40899,2025092305008557,MKJC,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,5,575.0,2875.0,2025-09-23 12:27:59.387650
2025-09-23,40735,2025092305008617,MKJC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,60,578.2,34692.0,2025-09-23 12:28:46.230872
2025-09-23,39910,2025092305008910,MKJC,Infinity Securities Limited,Midas Stock Broking Company Private Limited,490,578.0,283220.0,2025-09-23 12:31:53.483696
2025-09-23,39909,2025092305008911,MKJC,Sumeru Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,40,578.0,23120.0,2025-09-23 12:31:53.483902
2025-09-23,39908,2025092305008912,MKJC,Sri Hari Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,100,580.9,58090.0,2025-09-23 12:31:53.945820
2025-09-23,39907,2025092305008913,MKJC,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,4900,581.0,2846900.0,2025-09-23 12:31:53.945924
2025-09-23,39624,2025092305009011,MKJC,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,260,581.0,151060.0,2025-09-23 12:32:59.002112
2025-09-23,38530,2025092305009341,MKJC,Linch Stock Market Ltd.,Sri Hari Securities Pvt. Ltd.,50,578.2,28910.0,2025-09-23 12:37:39.604937
2025-09-23,38529,2025092305009342,MKJC,Sumeru Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,80,578.0,46240.0,2025-09-23 12:37:39.605145
2025-09-23,38528,2025092305009343,MKJC,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,266,578.0,153748.0,2025-09-23 12:37:39.605273
2025-09-23,38396,2025092305009386,MKJC,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,200,578.0,115600.0,2025-09-23 12:38:10.406129
2025-09-23,38006,2025092305009516,MKJC,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,100,578.2,57820.0,2025-09-23 12:39:34.759003
2025-09-23,37326,2025092305009753,MKJC,Midas Stock Broking Company Private Limited,Sri Hari Securities Pvt. Ltd.,100,578.2,57820.0,2025-09-23 12:41:42.762360
2025-09-23,37325,2025092305009754,MKJC,Elite Stock House Limited,Sri Hari Securities Pvt. Ltd.,57,578.1,32951.7,2025-09-23 12:41:42.762482
2025-09-23,37210,2025092305009814,MKJC,Elite Stock House Limited,Naasa Securities Co. Ltd.,43,578.1,24858.3,2025-09-23 12:41:59.447164
2025-09-23,36977,2025092305009892,MKJC,Midas Stock Broking Company Private Limited,Online Securities Pvt. Ltd.,50,578.1,28905.0,2025-09-23 12:42:45.662047
