Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-23,67338,2025092304000008,PMHPL,Creative Securities Pvt Ltd,N.I.M.B. Stock Markets Limited,500,346.0,173000.0,2025-09-23 10:46:00.029587
2025-09-23,67337,2025092304000009,PMHPL,Creative Securities Pvt Ltd,Himalayan Securities Limited,500,346.0,173000.0,2025-09-23 10:46:00.029623
2025-09-23,67254,2025092304000031,PMHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Himalayan Securities Limited,150,340.0,51000.0,2025-09-23 11:00:39.324532
2025-09-23,66700,2025092304000230,PMHPL,Vision Securities Pvt. Ltd,Himalayan Securities Limited,103,335.1,34515.3,2025-09-23 11:02:54.757477
2025-09-23,65882,2025092304000468,PMHPL,Sumeru Securities Pvt. Ltd.,Linch Stock Market Ltd.,10,341.5,3415.0,2025-09-23 11:05:22.184673
2025-09-23,63629,2025092304001271,PMHPL,South Asian Bulls Pvt. Ltd.,Sani Securities Company Ltd.,100,336.0,33600.0,2025-09-23 11:12:03.237481
2025-09-23,63095,2025092304001465,PMHPL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,145,335.2,48604.0,2025-09-23 11:13:36.129814
2025-09-23,63094,2025092304001466,PMHPL,J.F. Securites (PVT) Ltd.,Midas Stock Broking Company Private Limited,10,335.2,3352.0,2025-09-23 11:13:36.129863
2025-09-23,63036,2025092304001488,PMHPL,Primo Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,100,335.1,33510.0,2025-09-23 11:13:45.574973
2025-09-23,63009,2025092304001498,PMHPL,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,100,335.0,33500.0,2025-09-23 11:13:53.079336
2025-09-23,62951,2025092304001522,PMHPL,Primo Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,145,335.0,48575.0,2025-09-23 11:14:05.612287
2025-09-23,62820,2025092304001562,PMHPL,Primo Securities (PVT) Ltd.,Sani Securities Company Ltd.,500,335.2,167600.0,2025-09-23 11:14:24.287276
2025-09-23,62501,2025092304001666,PMHPL,Primo Securities (PVT) Ltd.,Sani Securities Company Ltd.,300,335.2,100560.0,2025-09-23 11:15:26.386485
2025-09-23,60373,2025092304002269,PMHPL,Sumeru Securities Pvt. Ltd.,Capital Max Securities Ltd,200,335.3,67060.0,2025-09-23 11:22:52.587595
2025-09-23,59907,2025092304002413,PMHPL,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,10,339.0,3390.0,2025-09-23 11:24:06.619370
2025-09-23,59396,2025092304002536,PMHPL,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,97,339.0,32883.0,2025-09-23 11:25:46.966365
2025-09-23,59395,2025092304002537,PMHPL,Sumeru Securities Pvt. Ltd.,Asian Securities Private Ltd.,403,339.8,136939.4,2025-09-23 11:25:46.966450
2025-09-23,58478,2025092304002836,PMHPL,Online Securities Pvt. Ltd.,Asian Securities Private Ltd.,97,339.8,32960.6,2025-09-23 11:28:14.612294
2025-09-23,58477,2025092304002837,PMHPL,Online Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2000,340.0,680000.0,2025-09-23 11:28:14.612386
2025-09-23,58221,2025092304002930,PMHPL,Sumeru Securities Pvt. Ltd.,Sagarmatha Securities Private Limited,20,340.0,6800.0,2025-09-23 11:28:51.105187
