Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-23,66836,2025092301000061,PRVU,Agrawal Securities (PVT) Ltd.,Elite Stock House Limited,100,206.8,20680.0,2025-09-23 11:02:26.129243
2025-09-23,66725,2025092301000080,PRVU,Naasa Securities Co. Ltd.,Elite Stock House Limited,54,206.8,11167.2,2025-09-23 11:02:47.564683
2025-09-23,66530,2025092301000110,PRVU,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,800,208.0,166400.0,2025-09-23 11:03:21.513249
2025-09-23,66529,2025092301000111,PRVU,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,1200,208.0,249600.0,2025-09-23 11:03:21.513287
2025-09-23,66328,2025092301000147,PRVU,Kumari Securities Private Limited,Asian Securities Private Ltd.,500,207.0,103500.0,2025-09-23 11:03:53.766046
2025-09-23,66319,2025092301000149,PRVU,Kumari Securities Private Limited,Online Securities Pvt. Ltd.,200,207.0,41400.0,2025-09-23 11:03:56.682668
2025-09-23,66174,2025092301000174,PRVU,Bhrikuti Stock Broking Co. Pvt. Ltd.,Midas Stock Broking Company Private Limited,800,208.0,166400.0,2025-09-23 11:04:15.844239
2025-09-23,66173,2025092301000175,PRVU,Bhrikuti Stock Broking Co. Pvt. Ltd.,Midas Stock Broking Company Private Limited,161,208.0,33488.0,2025-09-23 11:04:15.844303
2025-09-23,65987,2025092301000209,PRVU,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,10,207.9,2079.0,2025-09-23 11:04:58.304958
2025-09-23,65883,2025092301000230,PRVU,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,1000,207.5,207500.0,2025-09-23 11:05:22.107007
2025-09-23,65879,2025092301000231,PRVU,Kumari Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,106,207.0,21942.0,2025-09-23 11:05:23.335466
2025-09-23,65803,2025092301000254,PRVU,Global IME Securities Limited,ABC Securities Private Limited,50,207.8,10390.0,2025-09-23 11:05:36.955836
2025-09-23,65798,2025092301000255,PRVU,Sharepro Securities Private Limited,ABC Securities Private Limited,50,207.8,10390.0,2025-09-23 11:05:37.930834
2025-09-23,65797,2025092301000256,PRVU,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,1000,207.8,207800.0,2025-09-23 11:05:37.930883
2025-09-23,65796,2025092301000257,PRVU,Sharepro Securities Private Limited,Nepal Investment And Securities Trading Private Limited,40,207.9,8316.0,2025-09-23 11:05:37.930910
2025-09-23,65795,2025092301000258,PRVU,Sharepro Securities Private Limited,Nepal Investment And Securities Trading Private Limited,10,207.9,2079.0,2025-09-23 11:05:37.930937
2025-09-23,65794,2025092301000259,PRVU,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,900,207.9,187110.0,2025-09-23 11:05:37.930964
2025-09-23,65413,2025092301000319,PRVU,Dynamic Money Managers Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,207.9,20790.0,2025-09-23 11:06:46.080631
2025-09-23,65173,2025092301000369,PRVU,Nepal Investment And Securities Trading Private Limited,Midas Stock Broking Company Private Limited,500,207.5,103750.0,2025-09-23 11:07:28.094084
2025-09-23,65170,2025092301000370,PRVU,Online Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,230,207.5,47725.0,2025-09-23 11:07:28.648199
2025-09-23,65117,2025092301000393,PRVU,Kumari Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,15,207.0,3105.0,2025-09-23 11:07:35.375205
2025-09-23,65049,2025092301000405,PRVU,Vision Securities Pvt. Ltd,Midas Stock Broking Company Private Limited,200,207.5,41500.0,2025-09-23 11:07:52.642174
2025-09-23,65037,2025092301000410,PRVU,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,50,207.5,10375.0,2025-09-23 11:07:56.873459
2025-09-23,65023,2025092301000412,PRVU,SUN SECURITIES PVT LTD,Midas Stock Broking Company Private Limited,1000,207.5,207500.0,2025-09-23 11:07:58.829388
2025-09-23,64917,2025092301000432,PRVU,ABC Securities Private Limited,Naasa Securities Co. Ltd.,30,207.1,6213.0,2025-09-23 11:08:19.468332
2025-09-23,64894,2025092301000439,PRVU,ABC Securities Private Limited,Midas Stock Broking Company Private Limited,20,207.5,4150.0,2025-09-23 11:08:24.595591
2025-09-23,64856,2025092301000443,PRVU,ABC Securities Private Limited,Midas Stock Broking Company Private Limited,180,207.5,37350.0,2025-09-23 11:08:29.127792
2025-09-23,64855,2025092301000444,PRVU,ABC Securities Private Limited,Midas Stock Broking Company Private Limited,70,207.1,14497.0,2025-09-23 11:08:29.127872
2025-09-23,64854,2025092301000445,PRVU,SUN SECURITIES PVT LTD,Midas Stock Broking Company Private Limited,1000,207.1,207100.0,2025-09-23 11:08:29.127918
2025-09-23,64853,2025092301000446,PRVU,Kumari Securities Private Limited,Midas Stock Broking Company Private Limited,179,207.0,37053.0,2025-09-23 11:08:29.127954
2025-09-23,64852,2025092301000447,PRVU,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,207.0,20700.0,2025-09-23 11:08:29.127987
2025-09-23,64851,2025092301000448,PRVU,Dynamic Money Managers Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,100,207.0,20700.0,2025-09-23 11:08:29.128033
2025-09-23,64850,2025092301000449,PRVU,Kohinoor Investment & Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,650,207.0,134550.0,2025-09-23 11:08:29.128073
2025-09-23,64849,2025092301000450,PRVU,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,96,206.8,19852.8,2025-09-23 11:08:29.128139
2025-09-23,64848,2025092301000451,PRVU,Kumari Securities Private Limited,Midas Stock Broking Company Private Limited,1000,206.1,206100.0,2025-09-23 11:08:29.128176
2025-09-23,64847,2025092301000452,PRVU,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,40,206.0,8240.0,2025-09-23 11:08:29.128211
2025-09-23,64846,2025092301000453,PRVU,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,200,206.0,41200.0,2025-09-23 11:08:29.128243
2025-09-23,64845,2025092301000454,PRVU,SUN SECURITIES PVT LTD,Midas Stock Broking Company Private Limited,1385,206.0,285310.0,2025-09-23 11:08:29.128275
2025-09-23,64791,2025092301000465,PRVU,Sani Securities Company Ltd.,ABC Securities Private Limited,500,207.0,103500.0,2025-09-23 11:08:41.282513
2025-09-23,64745,2025092301000474,PRVU,Online Securities Pvt. Ltd.,ABC Securities Private Limited,19,207.0,3933.0,2025-09-23 11:08:48.863089
2025-09-23,64398,2025092301000554,PRVU,Linch Stock Market Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,20,206.1,4122.0,2025-09-23 11:09:40.894279
2025-09-23,64397,2025092301000555,PRVU,SUN SECURITIES PVT LTD,Deevyaa Securities & Stock House Pvt. Ltd,180,206.0,37080.0,2025-09-23 11:09:40.894351
2025-09-23,64320,2025092301000587,PRVU,Sani Securities Company Ltd.,ABC Securities Private Limited,160,207.0,33120.0,2025-09-23 11:09:52.154280
2025-09-23,64123,2025092301000639,PRVU,Sumeru Securities Pvt. Ltd.,ABC Securities Private Limited,200,207.0,41400.0,2025-09-23 11:10:23.540241
2025-09-23,64074,2025092301000647,PRVU,SUN SECURITIES PVT LTD,Asian Securities Private Ltd.,435,206.0,89610.0,2025-09-23 11:10:32.076879
2025-09-23,64043,2025092301000654,PRVU,Linch Stock Market Ltd.,Asian Securities Private Ltd.,33,206.0,6798.0,2025-09-23 11:10:40.000364
2025-09-23,63654,2025092301000726,PRVU,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,32,206.0,6592.0,2025-09-23 11:11:58.856349
2025-09-23,63464,2025092301000764,PRVU,Trisul Securities & Invt. Ltd.,Neev Securities Pvt. Ltd.,68,206.0,14008.0,2025-09-23 11:12:31.050808
2025-09-23,63282,2025092301000798,PRVU,Online Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,238,205.1,48813.8,2025-09-23 11:13:08.204501
2025-09-23,62947,2025092301000866,PRVU,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,30,205.1,6153.0,2025-09-23 11:14:06.359561
2025-09-23,62270,2025092301001024,PRVU,Online Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,32,205.1,6563.2,2025-09-23 11:16:08.696286
2025-09-23,61612,2025092301001190,PRVU,Creative Securities Pvt Ltd,Neev Securities Pvt. Ltd.,932,206.0,191992.0,2025-09-23 11:18:29.080587
2025-09-23,61611,2025092301001191,PRVU,Creative Securities Pvt Ltd,Midas Stock Broking Company Private Limited,1068,206.0,220008.0,2025-09-23 11:18:29.080687
2025-09-23,61399,2025092301001266,PRVU,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,110,206.0,22660.0,2025-09-23 11:19:18.784807
2025-09-23,61227,2025092301001312,PRVU,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,46,206.0,9476.0,2025-09-23 11:19:51.344251
2025-09-23,60782,2025092301001413,PRVU,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,48,206.0,9888.0,2025-09-23 11:21:25.553545
2025-09-23,60768,2025092301001417,PRVU,Shree Krishna Securities Ltd.,Imperial Securities Company Pvt. Ltd.,52,206.0,10712.0,2025-09-23 11:21:27.503425
2025-09-23,60538,2025092301001476,PRVU,Pragyan Securities (PVT) Ltd.,Nagarik Stock Dealer ,15,206.9,3103.5,2025-09-23 11:22:21.938784
2025-09-23,60247,2025092301001541,PRVU,Kumari Securities Private Limited,Trishakti Securities Public Limited,195,206.8,40326.0,2025-09-23 11:23:18.781410
2025-09-23,60066,2025092301001573,PRVU,Blue Chip Securities Ltd,Nagarik Stock Dealer ,100,206.9,20690.0,2025-09-23 11:23:43.403688
2025-09-23,60055,2025092301001576,PRVU,R.B.B. Securities Company Ltd,Nagarik Stock Dealer ,310,206.9,64139.0,2025-09-23 11:23:45.753668
2025-09-23,59948,2025092301001598,PRVU,Online Securities Pvt. Ltd.,Nagarik Stock Dealer ,75,206.9,15517.5,2025-09-23 11:24:01.128594
2025-09-23,59947,2025092301001599,PRVU,Online Securities Pvt. Ltd.,ABC Securities Private Limited,121,207.0,25047.0,2025-09-23 11:24:01.128690
2025-09-23,59946,2025092301001600,PRVU,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,207.0,10350.0,2025-09-23 11:24:01.128734
2025-09-23,59945,2025092301001601,PRVU,Online Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,1754,207.0,363078.0,2025-09-23 11:24:01.128793
2025-09-23,59871,2025092301001611,PRVU,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,246,207.0,50922.0,2025-09-23 11:24:19.039313
2025-09-23,59870,2025092301001612,PRVU,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,276,207.0,57132.0,2025-09-23 11:24:19.039409
2025-09-23,59869,2025092301001613,PRVU,Shree Krishna Securities Ltd.,Linch Stock Market Ltd.,555,207.0,114885.0,2025-09-23 11:24:19.039454
2025-09-23,59641,2025092301001676,PRVU,Nagarik Stock Dealer ,Midas Stock Broking Company Private Limited,2000,207.8,415600.0,2025-09-23 11:25:07.162378
2025-09-23,59452,2025092301001732,PRVU,ABC Securities Private Limited,Online Securities Pvt. Ltd.,90,207.8,18702.0,2025-09-23 11:25:39.192249
2025-09-23,59154,2025092301001789,PRVU,J.F. Securites (PVT) Ltd.,Online Securities Pvt. Ltd.,150,207.8,31170.0,2025-09-23 11:26:29.381032
2025-09-23,59123,2025092301001793,PRVU,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,48,207.8,9974.4,2025-09-23 11:26:34.906211
2025-09-23,58905,2025092301001838,PRVU,Deevyaa Securities & Stock House Pvt. Ltd,Online Securities Pvt. Ltd.,100,207.8,20780.0,2025-09-23 11:27:12.129324
2025-09-23,58678,2025092301001873,PRVU,Shree Krishna Securities Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,120,207.0,24840.0,2025-09-23 11:27:46.791100
2025-09-23,57871,2025092301002010,PRVU,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,112,207.8,23273.6,2025-09-23 11:29:46.764161
2025-09-23,57870,2025092301002011,PRVU,Dakshinkali Investment & Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,388,207.9,80665.2,2025-09-23 11:29:46.764383
2025-09-23,57796,2025092301002027,PRVU,Malla & Malla Stock Broking Company Pvt. Limited,Midas Stock Broking Company Private Limited,100,207.9,20790.0,2025-09-23 11:29:56.999295
2025-09-23,57705,2025092301002058,PRVU,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,512,207.9,106444.8,2025-09-23 11:30:11.191388
2025-09-23,57704,2025092301002059,PRVU,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,2000,207.9,415800.0,2025-09-23 11:30:11.191436
2025-09-23,57703,2025092301002060,PRVU,Sharepro Securities Private Limited,Midas Stock Broking Company Private Limited,1839,208.0,382512.0,2025-09-23 11:30:11.191465
2025-09-23,57702,2025092301002061,PRVU,Sharepro Securities Private Limited,Capital Max Securities Ltd,1649,208.0,342992.0,2025-09-23 11:30:11.191492
2025-09-23,57379,2025092301002125,PRVU,Linch Stock Market Ltd.,Capital Max Securities Ltd,40,208.0,8320.0,2025-09-23 11:30:58.986962
2025-09-23,57312,2025092301002143,PRVU,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,100,207.3,20730.0,2025-09-23 11:31:11.133535
2025-09-23,57114,2025092301002192,PRVU,Shree Krishna Securities Ltd.,Capital Max Securities Ltd,311,208.0,64688.0,2025-09-23 11:31:49.384620
2025-09-23,57113,2025092301002193,PRVU,Shree Krishna Securities Ltd.,Kumari Securities Private Limited,144,208.0,29952.0,2025-09-23 11:31:49.384743
2025-09-23,57112,2025092301002194,PRVU,Shree Krishna Securities Ltd.,Vision Securities Pvt. Ltd,110,208.0,22880.0,2025-09-23 11:31:49.384797
2025-09-23,57045,2025092301002212,PRVU,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,500,208.5,104250.0,2025-09-23 11:32:01.447076
2025-09-23,56727,2025092301002264,PRVU,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,250,208.9,52225.0,2025-09-23 11:32:55.347247
2025-09-23,56726,2025092301002265,PRVU,Capital Max Securities Ltd,Trisul Securities & Invt. Ltd.,175,209.0,36575.0,2025-09-23 11:32:55.347372
2025-09-23,56725,2025092301002266,PRVU,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,50,209.0,10450.0,2025-09-23 11:32:55.347442
2025-09-23,56724,2025092301002267,PRVU,Capital Max Securities Ltd,Aryatara Investment & Securities,100,209.0,20900.0,2025-09-23 11:32:55.347520
2025-09-23,56723,2025092301002268,PRVU,Capital Max Securities Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,425,209.3,88952.5,2025-09-23 11:32:55.347571
2025-09-23,56305,2025092301002439,PRVU,Shree Krishna Securities Ltd.,Trishakti Securities Public Limited,135,209.0,28215.0,2025-09-23 11:33:51.910669
2025-09-23,56212,2025092301002461,PRVU,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,20,209.2,4184.0,2025-09-23 11:34:06.336139
2025-09-23,56105,2025092301002477,PRVU,Shree Krishna Securities Ltd.,Online Securities Pvt. Ltd.,480,209.2,100416.0,2025-09-23 11:34:26.603660
2025-09-23,56104,2025092301002478,PRVU,Shree Krishna Securities Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,375,209.3,78487.5,2025-09-23 11:34:26.603777
2025-09-23,56103,2025092301002479,PRVU,Shree Krishna Securities Ltd.,Capital Hub P. Ltd,980,209.3,205114.0,2025-09-23 11:34:26.603827
2025-09-23,55891,2025092301002524,PRVU,Capital Max Securities Ltd,Capital Hub P. Ltd,430,209.3,89999.0,2025-09-23 11:34:59.987972
2025-09-23,55834,2025092301002537,PRVU,Aryatara Investment & Securities,Capital Hub P. Ltd,500,209.3,104650.0,2025-09-23 11:35:12.761709
2025-09-23,55583,2025092301002612,PRVU,Shree Krishna Securities Ltd.,Capital Hub P. Ltd,3090,209.3,646737.0,2025-09-23 11:35:57.110305
2025-09-23,55476,2025092301002640,PRVU,Sumeru Securities Pvt. Ltd.,Secured Securities Ltd.,100,209.9,20990.0,2025-09-23 11:36:15.135602
2025-09-23,55107,2025092301002733,PRVU,Siprabi Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,200,209.4,41880.0,2025-09-23 11:37:27.417929
2025-09-23,55105,2025092301002734,PRVU,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,100,209.8,20980.0,2025-09-23 11:37:27.650588
2025-09-23,55077,2025092301002739,PRVU,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,209.4,20940.0,2025-09-23 11:37:32.127185
2025-09-23,54833,2025092301002800,PRVU,Siprabi Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,100,209.4,20940.0,2025-09-23 11:38:08.307374
2025-09-23,54707,2025092301002822,PRVU,Shree Krishna Securities Ltd.,Vision Securities Pvt. Ltd,100,209.3,20930.0,2025-09-23 11:38:25.218681
2025-09-23,54505,2025092301002857,PRVU,Shree Krishna Securities Ltd.,Midas Stock Broking Company Private Limited,1173,209.3,245508.9,2025-09-23 11:38:50.169645
2025-09-23,54504,2025092301002858,PRVU,Imperial Securities Company Pvt. Ltd.,Midas Stock Broking Company Private Limited,195,209.3,40813.5,2025-09-23 11:38:50.169769
2025-09-23,54267,2025092301002905,PRVU,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,12,209.0,2508.0,2025-09-23 11:39:17.988397
2025-09-23,54263,2025092301002908,PRVU,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,103,209.0,21527.0,2025-09-23 11:39:18.443624
2025-09-23,54262,2025092301002909,PRVU,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,147,209.0,30723.0,2025-09-23 11:39:18.443742
2025-09-23,54260,2025092301002910,PRVU,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,50,209.0,10450.0,2025-09-23 11:39:18.941958
2025-09-23,54106,2025092301002971,PRVU,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,48,209.3,10046.4,2025-09-23 11:39:35.178930
2025-09-23,53968,2025092301002986,PRVU,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2000,209.0,418000.0,2025-09-23 11:39:51.081455
2025-09-23,53702,2025092301003039,PRVU,Nepal Stock House (PVT) Ltd.,Midas Stock Broking Company Private Limited,50,209.3,10465.0,2025-09-23 11:40:25.986882
2025-09-23,53524,2025092301003069,PRVU,Kohinoor Investment & Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,10,208.0,2080.0,2025-09-23 11:40:54.021175
2025-09-23,53523,2025092301003070,PRVU,Deevyaa Securities & Stock House Pvt. Ltd,J.F. Securites (PVT) Ltd.,197,208.0,40976.0,2025-09-23 11:40:54.021313
2025-09-23,53454,2025092301003096,PRVU,Deevyaa Securities & Stock House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,303,208.0,63024.0,2025-09-23 11:41:03.619337
2025-09-23,53453,2025092301003097,PRVU,Kohinoor Investment & Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,10,208.0,2080.0,2025-09-23 11:41:03.619390
2025-09-23,53452,2025092301003098,PRVU,Sweta Securities Private Limited,Siprabi Securities Pvt. Ltd.,172,207.6,35707.2,2025-09-23 11:41:03.619426
2025-09-23,52137,2025092301003406,PRVU,Imperial Securities Company Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,17,208.0,3536.0,2025-09-23 11:45:43.334943
2025-09-23,51678,2025092301003524,PRVU,Opal Securities Investment (PVT) Ltd.,Sweta Securities Private Limited,50,208.0,10400.0,2025-09-23 11:47:49.010851
2025-09-23,51677,2025092301003525,PRVU,Opal Securities Investment (PVT) Ltd.,Secured Securities Ltd.,50,208.0,10400.0,2025-09-23 11:47:49.011150
2025-09-23,51615,2025092301003541,PRVU,Siprabi Securities Pvt. Ltd.,Secured Securities Ltd.,56,208.0,11648.0,2025-09-23 11:48:03.493276
2025-09-23,51597,2025092301003543,PRVU,Sweta Securities Private Limited,Sumeru Securities Pvt. Ltd.,23,207.6,4774.8,2025-09-23 11:48:06.704446
2025-09-23,51150,2025092301003661,PRVU,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,660,207.7,137082.0,2025-09-23 11:49:47.337277
2025-09-23,51149,2025092301003662,PRVU,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,50,207.6,10380.0,2025-09-23 11:49:47.337579
2025-09-23,51148,2025092301003663,PRVU,SUN SECURITIES PVT LTD,Online Securities Pvt. Ltd.,290,207.6,60204.0,2025-09-23 11:49:47.337753
2025-09-23,50732,2025092301003770,PRVU,SUN SECURITIES PVT LTD,Secured Securities Ltd.,94,208.0,19552.0,2025-09-23 11:51:41.835271
2025-09-23,50441,2025092301003829,PRVU,SUN SECURITIES PVT LTD,SUN SECURITIES PVT LTD,906,208.0,188448.0,2025-09-23 11:52:53.189116
2025-09-23,50195,2025092301003910,PRVU,Sundhara Securities Limited,SUN SECURITIES PVT LTD,500,208.0,104000.0,2025-09-23 11:53:55.587636
