Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-23,64703,2025092304000869,SHL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,200,521.0,104200.0,2025-09-23 11:08:54.440194
2025-09-23,64609,2025092304000898,SHL,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,200,524.0,104800.0,2025-09-23 11:09:07.760053
2025-09-23,64465,2025092304000970,SHL,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,12,520.0,6240.0,2025-09-23 11:09:31.740050
2025-09-23,64279,2025092304001043,SHL,Asian Securities Private Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,525.0,157500.0,2025-09-23 11:09:58.669881
2025-09-23,64036,2025092304001133,SHL,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,100,527.0,52700.0,2025-09-23 11:10:40.544752
2025-09-23,64018,2025092304001149,SHL,Secured Securities Ltd.,Naasa Securities Co. Ltd.,300,525.0,157500.0,2025-09-23 11:10:44.030424
2025-09-23,64017,2025092304001150,SHL,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,200,524.5,104900.0,2025-09-23 11:10:44.030488
2025-09-23,62515,2025092304001659,SHL,Dynamic Money Managers Securities Pvt. Ltd.,Sweta Securities Private Limited,200,525.2,105040.0,2025-09-23 11:15:24.619682
2025-09-23,62507,2025092304001662,SHL,Secured Securities Ltd.,Imperial Securities Company Pvt. Ltd.,100,526.0,52600.0,2025-09-23 11:15:25.554558
2025-09-23,62506,2025092304001663,SHL,Secured Securities Ltd.,Nepal Stock House (PVT) Ltd.,200,527.0,105400.0,2025-09-23 11:15:25.554649
2025-09-23,62032,2025092304001795,SHL,Opal Securities Investment (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,120,526.8,63216.0,2025-09-23 11:17:02.807859
2025-09-23,61970,2025092304001811,SHL,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,139,526.8,73225.2,2025-09-23 11:17:16.224855
2025-09-23,61812,2025092304001890,SHL,Cristal Kanchanjanga Securites Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,100,526.8,52680.0,2025-09-23 11:17:46.429948
2025-09-23,61787,2025092304001898,SHL,South Asian Bulls Pvt. Ltd.,Sweta Securities Private Limited,200,526.9,105380.0,2025-09-23 11:17:50.908966
2025-09-23,61665,2025092304001931,SHL,Neev Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,200,527.0,105400.0,2025-09-23 11:18:14.670615
2025-09-23,61653,2025092304001937,SHL,Asian Securities Private Ltd.,Nepal Stock House (PVT) Ltd.,200,527.0,105400.0,2025-09-23 11:18:20.404907
2025-09-23,61608,2025092304001947,SHL,Secured Securities Ltd.,Nepal Stock House (PVT) Ltd.,250,527.0,131750.0,2025-09-23 11:18:30.371760
2025-09-23,61539,2025092304001960,SHL,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,150,527.0,79050.0,2025-09-23 11:18:46.390232
2025-09-23,61538,2025092304001961,SHL,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,100,527.9,52790.0,2025-09-23 11:18:46.390319
2025-09-23,61537,2025092304001962,SHL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,300,527.9,158370.0,2025-09-23 11:18:46.390353
2025-09-23,61536,2025092304001963,SHL,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,200,527.9,105580.0,2025-09-23 11:18:46.390386
2025-09-23,61535,2025092304001964,SHL,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,527.9,52790.0,2025-09-23 11:18:46.390415
2025-09-23,59952,2025092304002390,SHL,Himalayan Securities Limited,Imperial Securities Company Pvt. Ltd.,200,530.0,106000.0,2025-09-23 11:24:00.457798
2025-09-23,59951,2025092304002391,SHL,Himalayan Securities Limited,Primo Securities (PVT) Ltd.,100,530.0,53000.0,2025-09-23 11:24:00.457867
2025-09-23,59637,2025092304002480,SHL,Himalayan Securities Limited,Imperial Securities Company Pvt. Ltd.,200,533.0,106600.0,2025-09-23 11:25:08.369270
2025-09-23,59559,2025092304002496,SHL,Himalayan Securities Limited,Imperial Securities Company Pvt. Ltd.,500,534.0,267000.0,2025-09-23 11:25:23.409511
2025-09-23,59155,2025092304002613,SHL,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,150,534.0,80100.0,2025-09-23 11:26:29.103443
2025-09-23,59112,2025092304002624,SHL,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,100,534.0,53400.0,2025-09-23 11:26:37.872648
2025-09-23,58958,2025092304002675,SHL,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,100,534.0,53400.0,2025-09-23 11:27:00.973492
2025-09-23,58636,2025092304002767,SHL,Sani Securities Company Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,200,534.0,106800.0,2025-09-23 11:27:51.064189
2025-09-23,58281,2025092304002906,SHL,Online Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,100,534.3,53430.0,2025-09-23 11:28:40.196992
2025-09-23,57948,2025092304003005,SHL,Midas Stock Broking Company Private Limited,Neev Securities Pvt. Ltd.,400,534.3,213720.0,2025-09-23 11:29:34.361856
