Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-25,37328,2025092504000038,MEN,Sani Securities Company Ltd.,Indira securities pvt. ltd,1000,625.0,625000.0,2025-09-25 11:02:19.687802
2025-09-25,37263,2025092504000053,MEN,Sani Securities Company Ltd.,Trishakti Securities Public Limited,2000,625.0,1250000.0,2025-09-25 11:02:54.563804
2025-09-25,37217,2025092504000070,MEN,Sani Securities Company Ltd.,Linch Stock Market Ltd.,200,625.0,125000.0,2025-09-25 11:03:14.196650
2025-09-25,37109,2025092504000090,MEN,Sani Securities Company Ltd.,Indira securities pvt. ltd,1000,625.0,625000.0,2025-09-25 11:04:16.722198
2025-09-25,37093,2025092504000091,MEN,Sani Securities Company Ltd.,Linch Stock Market Ltd.,300,625.0,187500.0,2025-09-25 11:04:23.635114
2025-09-25,37070,2025092504000101,MEN,Sani Securities Company Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,361,625.0,225625.0,2025-09-25 11:04:33.027411
2025-09-25,36958,2025092504000124,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,31,625.0,19375.0,2025-09-25 11:05:34.719871
2025-09-25,36940,2025092504000126,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,108,625.0,67500.0,2025-09-25 11:05:48.979242
2025-09-25,36114,2025092504000334,MEN,Himalayan Securities Limited,Blue Chip Securities Ltd,50,625.0,31250.0,2025-09-25 11:13:18.920556
2025-09-25,36113,2025092504000335,MEN,Himalayan Securities Limited,South Asian Bulls Pvt. Ltd.,50,625.0,31250.0,2025-09-25 11:13:18.920649
2025-09-25,36112,2025092504000336,MEN,Himalayan Securities Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,50,627.8,31390.0,2025-09-25 11:13:18.920684
2025-09-25,36111,2025092504000337,MEN,Himalayan Securities Limited,Naasa Securities Co. Ltd.,500,627.8,313900.0,2025-09-25 11:13:18.920714
2025-09-25,36110,2025092504000338,MEN,Himalayan Securities Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,350,627.9,219765.0,2025-09-25 11:13:18.920742
2025-09-25,35664,2025092504000428,MEN,Online Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,13,627.0,8151.0,2025-09-25 11:16:22.550083
2025-09-25,35423,2025092504000490,MEN,K.B.L. Securities Limited ,Linch Stock Market Ltd.,100,626.9,62690.0,2025-09-25 11:18:29.103424
2025-09-25,34736,2025092504000644,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,42,625.0,26250.0,2025-09-25 11:23:45.770423
2025-09-25,34671,2025092504000657,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2958,625.0,1848750.0,2025-09-25 11:24:07.774895
2025-09-25,34670,2025092504000658,MEN,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,542,625.0,338750.0,2025-09-25 11:24:07.775108
2025-09-25,34636,2025092504000668,MEN,Sani Securities Company Ltd.,Indira securities pvt. ltd,1000,625.0,625000.0,2025-09-25 11:24:20.870585
2025-09-25,34611,2025092504000673,MEN,Sani Securities Company Ltd.,Investment Management Nepal Pvt. Ltd.,169,625.0,105625.0,2025-09-25 11:24:31.324213
2025-09-25,34551,2025092504000683,MEN,Sani Securities Company Ltd.,Linch Stock Market Ltd.,80,625.0,50000.0,2025-09-25 11:25:03.813329
