Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-25,36936,2025092505000235,NIFRA,Miyo Securities Pvt Ltd,Sumeru Securities Pvt. Ltd.,10,272.0,2720.0,2025-09-25 11:05:53.512210
2025-09-25,36712,2025092505000320,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,500,270.0,135000.0,2025-09-25 11:07:58.986795
2025-09-25,36711,2025092505000321,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,1000,270.0,270000.0,2025-09-25 11:07:58.986911
2025-09-25,36476,2025092505000380,NIFRA,Creative Securities Pvt Ltd,BHOLE GANESH SECURITIES LTD,1000,270.3,270300.0,2025-09-25 11:10:20.607932
2025-09-25,36437,2025092505000403,NIFRA,Sharepro Securities Private Limited,BHOLE GANESH SECURITIES LTD,1000,270.3,270300.0,2025-09-25 11:10:43.669922
2025-09-25,36415,2025092505000415,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,32,270.4,8652.8,2025-09-25 11:10:57.453490
2025-09-25,36348,2025092505000436,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,300,270.4,81120.0,2025-09-25 11:11:34.236537
2025-09-25,36077,2025092505000505,NIFRA,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,20,271.8,5436.0,2025-09-25 11:13:37.368075
2025-09-25,36046,2025092505000513,NIFRA,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,34,271.8,9241.2,2025-09-25 11:13:57.605727
2025-09-25,36013,2025092505000520,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,10,272.0,2720.0,2025-09-25 11:14:08.868284
2025-09-25,36012,2025092505000521,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,1000,272.0,272000.0,2025-09-25 11:14:08.868442
2025-09-25,36011,2025092505000522,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,ABC Securities Private Limited,15,272.0,4080.0,2025-09-25 11:14:08.868491
2025-09-25,35954,2025092505000554,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,3643,272.0,990896.0,2025-09-25 11:14:26.951506
2025-09-25,35953,2025092505000555,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,1025,272.0,278800.0,2025-09-25 11:14:26.951629
2025-09-25,35940,2025092505000559,NIFRA,Nepal Stock House (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,60,272.0,16320.0,2025-09-25 11:14:35.842695
2025-09-25,35930,2025092505000561,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2284,272.0,621248.0,2025-09-25 11:14:40.522937
2025-09-25,35909,2025092505000569,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Sweta Securities Private Limited,60,272.0,16320.0,2025-09-25 11:14:49.102883
2025-09-25,35881,2025092505000583,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Sweta Securities Private Limited,240,272.0,65280.0,2025-09-25 11:14:59.849348
2025-09-25,35576,2025092505000711,NIFRA,Aryatara Investment & Securities,Aryatara Investment & Securities,64,273.0,17472.0,2025-09-25 11:17:10.692370
2025-09-25,35575,2025092505000712,NIFRA,Aryatara Investment & Securities,Bhrikuti Stock Broking Co. Pvt. Ltd.,136,273.0,37128.0,2025-09-25 11:17:10.692579
2025-09-25,34929,2025092505000926,NIFRA,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,20,273.0,5460.0,2025-09-25 11:22:24.466084
2025-09-25,34473,2025092505001084,NIFRA,Creative Securities Pvt Ltd,South Asian Bulls Pvt. Ltd.,54,272.2,14698.8,2025-09-25 11:25:45.425995
2025-09-25,34434,2025092505001092,NIFRA,Sani Securities Company Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2,268.0,536.0,2025-09-25 11:25:55.293761
2025-09-25,34426,2025092505001095,NIFRA,Creative Securities Pvt Ltd,Vision Securities Pvt. Ltd,146,272.2,39741.2,2025-09-25 11:26:00.565939
2025-09-25,34259,2025092505001155,NIFRA,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,272.2,27220.0,2025-09-25 11:27:19.907864
2025-09-25,34186,2025092505001176,NIFRA,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,272.2,27220.0,2025-09-25 11:27:55.278566
2025-09-25,33757,2025092505001285,NIFRA,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2000,272.1,544200.0,2025-09-25 11:31:17.580766
2025-09-25,33756,2025092505001286,NIFRA,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,200,272.1,54420.0,2025-09-25 11:31:17.581032
2025-09-25,33755,2025092505001287,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2100,272.0,571200.0,2025-09-25 11:31:17.581212
2025-09-25,33681,2025092505001318,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,54,272.0,14688.0,2025-09-25 11:31:44.465690
2025-09-25,33605,2025092505001348,NIFRA,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,60,272.2,16332.0,2025-09-25 11:32:20.290080
2025-09-25,33457,2025092505001390,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,54,272.0,14688.0,2025-09-25 11:33:06.145362
2025-09-25,33130,2025092505001522,NIFRA,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,360,272.2,97992.0,2025-09-25 11:35:24.211683
2025-09-25,32886,2025092505001602,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Secured Securities Ltd.,1000,272.0,272000.0,2025-09-25 11:36:53.445181
2025-09-25,32803,2025092505001646,NIFRA,Oxford Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,73,272.2,19870.6,2025-09-25 11:37:44.316942
2025-09-25,32663,2025092505001694,NIFRA,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,50,272.2,13610.0,2025-09-25 11:38:58.777183
2025-09-25,32592,2025092505001712,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,101,272.2,27492.2,2025-09-25 11:39:32.345340
2025-09-25,32591,2025092505001713,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,54,272.2,14698.8,2025-09-25 11:39:32.345624
2025-09-25,32555,2025092505001727,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,10,272.5,2725.0,2025-09-25 11:39:54.976994
2025-09-25,32251,2025092505001830,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,64,272.5,17440.0,2025-09-25 11:42:31.369636
2025-09-25,32048,2025092505001876,NIFRA,Dakshinkali Investment & Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,21,272.5,5722.5,2025-09-25 11:44:11.624847
2025-09-25,32047,2025092505001877,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,179,272.0,48688.0,2025-09-25 11:44:11.625030
2025-09-25,32033,2025092505001888,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,1000,272.0,272000.0,2025-09-25 11:44:17.660993
2025-09-25,31828,2025092505001984,NIFRA,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,54,272.0,14688.0,2025-09-25 11:46:02.161747
