Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-28,39652,2025092804000037,JOSHI,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,10,320.0,3200.0,2025-09-28 11:01:37.045383
2025-09-28,39237,2025092804000119,JOSHI,Sweta Securities Private Limited,Aryatara Investment & Securities,115,320.0,36800.0,2025-09-28 11:04:02.847287
2025-09-28,39230,2025092804000122,JOSHI,Kohinoor Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,50,325.9,16295.0,2025-09-28 11:04:04.465617
2025-09-28,38873,2025092804000174,JOSHI,Bhrikuti Stock Broking Co. Pvt. Ltd.,Aryatara Investment & Securities,100,320.0,32000.0,2025-09-28 11:06:01.393903
2025-09-28,38739,2025092804000196,JOSHI,Sri Hari Securities Pvt. Ltd.,Aryatara Investment & Securities,55,320.0,17600.0,2025-09-28 11:06:32.032579
2025-09-28,38618,2025092804000234,JOSHI,Bhrikuti Stock Broking Co. Pvt. Ltd.,Linch Stock Market Ltd.,10,320.0,3200.0,2025-09-28 11:07:07.628873
2025-09-28,38335,2025092804000279,JOSHI,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,50,313.6,15680.0,2025-09-28 11:08:48.110252
2025-09-28,38091,2025092804000327,JOSHI,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,10,314.0,3140.0,2025-09-28 11:09:57.308239
2025-09-28,38090,2025092804000328,JOSHI,Sweta Securities Private Limited,Sani Securities Company Ltd.,40,310.7,12428.0,2025-09-28 11:09:57.308288
2025-09-28,37417,2025092804000448,JOSHI,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,10,320.0,3200.0,2025-09-28 11:13:24.299190
2025-09-28,34801,2025092804000931,JOSHI,Vision Securities Pvt. Ltd,Malla & Malla Stock Broking Company Pvt. Limited,200,319.0,63800.0,2025-09-28 11:26:44.517646
2025-09-28,34800,2025092804000932,JOSHI,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,200,319.9,63980.0,2025-09-28 11:26:44.517741
2025-09-28,34799,2025092804000933,JOSHI,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,100,319.9,31990.0,2025-09-28 11:26:44.517817
2025-09-28,34798,2025092804000934,JOSHI,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,900,320.0,288000.0,2025-09-28 11:26:44.517900
