Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-28,39847,2025092804000004,RADHI,Vision Securities Pvt. Ltd,Sharepro Securities Private Limited,10,760.0,7600.0,2025-09-28 10:46:00.034721
2025-09-28,39080,2025092804000145,RADHI,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,10,756.9,7569.0,2025-09-28 11:04:56.683603
2025-09-28,38758,2025092804000194,RADHI,Primo Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,190,756.9,143811.0,2025-09-28 11:06:25.811740
2025-09-28,38757,2025092804000195,RADHI,Primo Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,810,756.9,613089.0,2025-09-28 11:06:25.811825
2025-09-28,34941,2025092804000907,RADHI,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,749.4,74940.0,2025-09-28 11:26:06.244215
2025-09-28,34893,2025092804000920,RADHI,Nagarik Stock Dealer ,BHOLE GANESH SECURITIES LTD,100,749.4,74940.0,2025-09-28 11:26:19.243959
2025-09-28,34892,2025092804000921,RADHI,Sewa Securities Pvt. Ltd.,BHOLE GANESH SECURITIES LTD,100,749.3,74930.0,2025-09-28 11:26:19.244105
2025-09-28,34843,2025092804000925,RADHI,Miyo Securities Pvt Ltd,Nepal Stock House (PVT) Ltd.,200,753.0,150600.0,2025-09-28 11:26:29.067261
2025-09-28,34432,2025092804001007,RADHI,Sri Hari Securities Pvt. Ltd.,Aryatara Investment & Securities,18,749.5,13491.0,2025-09-28 11:28:51.280280
2025-09-28,34431,2025092804001008,RADHI,Hatemalo Financial Services Private Limited,Aryatara Investment & Securities,182,748.1,136154.2,2025-09-28 11:28:51.280469
2025-09-28,33963,2025092804001075,RADHI,APPLE SECURITIES PRIVATE LIMITED,Capital Max Securities Ltd,1200,750.0,900000.0,2025-09-28 11:32:00.698390
2025-09-28,33907,2025092804001087,RADHI,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,15,753.9,11308.5,2025-09-28 11:32:19.419789
2025-09-28,33871,2025092804001089,RADHI,APPLE SECURITIES PRIVATE LIMITED,Premier Securities Company Ltd.,200,750.0,150000.0,2025-09-28 11:32:30.699646
2025-09-28,33427,2025092804001179,RADHI,APPLE SECURITIES PRIVATE LIMITED,Sunrise Securities Limited,200,750.0,150000.0,2025-09-28 11:35:19.752720
2025-09-28,33398,2025092804001186,RADHI,APPLE SECURITIES PRIVATE LIMITED,South Asian Bulls Pvt. Ltd.,500,750.0,375000.0,2025-09-28 11:35:29.808150
2025-09-28,33327,2025092804001202,RADHI,APPLE SECURITIES PRIVATE LIMITED,South Asian Bulls Pvt. Ltd.,500,750.0,375000.0,2025-09-28 11:35:51.784010
2025-09-28,33119,2025092804001229,RADHI,APPLE SECURITIES PRIVATE LIMITED,Primo Securities (PVT) Ltd.,1000,750.0,750000.0,2025-09-28 11:37:00.956481
2025-09-28,32972,2025092804001256,RADHI,APPLE SECURITIES PRIVATE LIMITED,Aryatara Investment & Securities,100,750.0,75000.0,2025-09-28 11:38:09.802723
2025-09-28,32947,2025092804001263,RADHI,APPLE SECURITIES PRIVATE LIMITED,South Asian Bulls Pvt. Ltd.,22,750.0,16500.0,2025-09-28 11:38:20.192228
2025-09-28,32863,2025092804001275,RADHI,Primo Securities (PVT) Ltd.,J.F. Securites (PVT) Ltd.,1000,752.0,752000.0,2025-09-28 11:38:52.370688
2025-09-28,32862,2025092804001276,RADHI,Primo Securities (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,10,752.0,7520.0,2025-09-28 11:38:52.370901
2025-09-28,32861,2025092804001277,RADHI,Primo Securities (PVT) Ltd.,J.F. Securites (PVT) Ltd.,990,752.5,744975.0,2025-09-28 11:38:52.371046
2025-09-28,32793,2025092804001291,RADHI,Sharepro Securities Private Limited,J.F. Securites (PVT) Ltd.,10,752.5,7525.0,2025-09-28 11:39:12.217076
2025-09-28,31810,2025092804001458,RADHI,Kumari Securities Private Limited,Nepal Stock House (PVT) Ltd.,500,750.1,375050.0,2025-09-28 11:45:55.794223
2025-09-28,31809,2025092804001459,RADHI,Kumari Securities Private Limited,Nepal Stock House (PVT) Ltd.,500,750.1,375050.0,2025-09-28 11:45:55.794390
2025-09-28,31457,2025092804001543,RADHI,APPLE SECURITIES PRIVATE LIMITED,Malla & Malla Stock Broking Company Pvt. Limited,50,750.0,37500.0,2025-09-28 11:48:33.934106
2025-09-28,31419,2025092804001550,RADHI,APPLE SECURITIES PRIVATE LIMITED,Aakashbhairab Securities Ltd.,60,750.0,45000.0,2025-09-28 11:48:47.998815
2025-09-28,31287,2025092804001572,RADHI,APPLE SECURITIES PRIVATE LIMITED,Nepal Stock House (PVT) Ltd.,85,750.0,63750.0,2025-09-28 11:49:45.563033
2025-09-28,30440,2025092804001726,RADHI,APPLE SECURITIES PRIVATE LIMITED,South Asian Bulls Pvt. Ltd.,11,750.0,8250.0,2025-09-28 11:55:28.082038
2025-09-28,30251,2025092804001760,RADHI,APPLE SECURITIES PRIVATE LIMITED,Asian Securities Private Ltd.,10,750.0,7500.0,2025-09-28 11:56:50.637872
2025-09-28,29190,2025092804001940,RADHI,ABC Securities Private Limited,Primo Securities (PVT) Ltd.,400,751.0,300400.0,2025-09-28 12:03:48.816099
2025-09-28,27697,2025092804002168,RADHI,Sharepro Securities Private Limited,Nepal Investment And Securities Trading Private Limited,10,750.9,7509.0,2025-09-28 12:15:12.220344
2025-09-28,27499,2025092804002216,RADHI,APPLE SECURITIES PRIVATE LIMITED,BHOLE GANESH SECURITIES LTD,62,750.0,46500.0,2025-09-28 12:16:59.775971
2025-09-28,27498,2025092804002217,RADHI,ABC Securities Private Limited,BHOLE GANESH SECURITIES LTD,138,750.0,103500.0,2025-09-28 12:16:59.776210
2025-09-28,27413,2025092804002227,RADHI,ABC Securities Private Limited,Aryatara Investment & Securities,200,750.0,150000.0,2025-09-28 12:17:44.360889
2025-09-28,26646,2025092804002379,RADHI,Miyo Securities Pvt Ltd,Primo Securities (PVT) Ltd.,20,751.0,15020.0,2025-09-28 12:23:15.777974
2025-09-28,25601,2025092804002550,RADHI,ABC Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,65,750.0,48750.0,2025-09-28 12:30:14.209308
2025-09-28,25600,2025092804002551,RADHI,Nepal Stock House (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,35,750.0,26250.0,2025-09-28 12:30:14.209488
2025-09-28,25536,2025092804002558,RADHI,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,80,751.0,60080.0,2025-09-28 12:30:41.978214
2025-09-28,25166,2025092804002648,RADHI,Nagarik Stock Dealer ,Naasa Securities Co. Ltd.,20,751.0,15020.0,2025-09-28 12:33:13.704091
