Date,S.N.,contract_id,symbol,buyer_broker,seller_broker,volume,price,amount,transaction_time
2025-09-28,38458,2025092801000758,SANIMA,Neev Securities Pvt. Ltd.,Trademow Securities Private Limited,15,335.0,5025.0,2025-09-28 11:08:02.374906
2025-09-28,38364,2025092801000810,SANIMA,Kumari Securities Private Limited,Trademow Securities Private Limited,120,335.0,40200.0,2025-09-28 11:08:36.636126
2025-09-28,38270,2025092801000878,SANIMA,Imperial Securities Company Pvt. Ltd.,Trademow Securities Private Limited,243,335.0,81405.0,2025-09-28 11:09:06.957308
2025-09-28,37548,2025092801001261,SANIMA,Imperial Securities Company Pvt. Ltd.,Trademow Securities Private Limited,20,335.0,6700.0,2025-09-28 11:12:53.972209
2025-09-28,37357,2025092801001348,SANIMA,Vision Securities Pvt. Ltd,Trademow Securities Private Limited,2602,335.0,871670.0,2025-09-28 11:13:45.739298
2025-09-28,37356,2025092801001349,SANIMA,Vision Securities Pvt. Ltd,Secured Securities Ltd.,198,335.0,66330.0,2025-09-28 11:13:45.739379
2025-09-28,36856,2025092801001538,SANIMA,Naasa Securities Co. Ltd.,Nabil Stock Dealer Ltd.,300,335.0,100500.0,2025-09-28 11:16:33.630457
2025-09-28,34915,2025092801002570,SANIMA,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,100,334.8,33480.0,2025-09-28 11:26:14.794104
2025-09-28,34240,2025092801002871,SANIMA,South Asian Bulls Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,20,334.0,6680.0,2025-09-28 11:30:20.039920
2025-09-28,34239,2025092801002872,SANIMA,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,40,334.0,13360.0,2025-09-28 11:30:20.040103
2025-09-28,33890,2025092801003064,SANIMA,Sri Hari Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,250,334.0,83500.0,2025-09-28 11:32:24.910340
2025-09-28,33638,2025092801003177,SANIMA,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,50,333.2,16660.0,2025-09-28 11:34:08.132675
2025-09-28,33454,2025092801003257,SANIMA,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,25,334.0,8350.0,2025-09-28 11:35:05.527209
2025-09-28,33436,2025092801003260,SANIMA,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,11,334.0,3674.0,2025-09-28 11:35:13.910517
2025-09-28,33430,2025092801003262,SANIMA,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,20,333.3,6666.0,2025-09-28 11:35:15.175153
2025-09-28,33123,2025092801003379,SANIMA,Sani Securities Company Ltd.,Sumeru Securities Pvt. Ltd.,80,333.3,26664.0,2025-09-28 11:37:00.350358
2025-09-28,33122,2025092801003380,SANIMA,Sweta Securities Private Limited,Sumeru Securities Pvt. Ltd.,450,333.2,149940.0,2025-09-28 11:37:00.350495
2025-09-28,33121,2025092801003381,SANIMA,Nagarik Stock Dealer ,Sumeru Securities Pvt. Ltd.,354,333.1,117917.4,2025-09-28 11:37:00.350538
2025-09-28,33001,2025092801003437,SANIMA,Nagarik Stock Dealer ,Deevyaa Securities & Stock House Pvt. Ltd,50,333.1,16655.0,2025-09-28 11:37:58.014505
2025-09-28,32774,2025092801003549,SANIMA,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,20,334.0,6680.0,2025-09-28 11:39:15.110629
2025-09-28,32308,2025092801003804,SANIMA,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,100,333.2,33320.0,2025-09-28 11:42:20.062856
2025-09-28,32307,2025092801003805,SANIMA,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,700,333.1,233170.0,2025-09-28 11:42:20.063009
2025-09-28,32227,2025092801003851,SANIMA,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,407,333.1,135571.7,2025-09-28 11:42:51.163298
2025-09-28,32208,2025092801003862,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,50,333.1,16655.0,2025-09-28 11:43:01.796008
2025-09-28,32190,2025092801003870,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:43:13.107460
2025-09-28,32161,2025092801003876,SANIMA,Nagarik Stock Dealer ,Primo Securities (PVT) Ltd.,400,333.1,133240.0,2025-09-28 11:43:20.263612
2025-09-28,32142,2025092801003893,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:43:25.664123
2025-09-28,32104,2025092801003911,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:43:37.405677
2025-09-28,32080,2025092801003925,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:43:50.172275
2025-09-28,32057,2025092801003940,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:44:02.936153
2025-09-28,32024,2025092801003958,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:44:15.931255
2025-09-28,32002,2025092801003967,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:44:29.018934
2025-09-28,31965,2025092801003982,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,100,333.1,33310.0,2025-09-28 11:44:40.876371
2025-09-28,31944,2025092801003990,SANIMA,Nagarik Stock Dealer ,Swarna Laxmi Securities Pvt. Ltd.,43,333.1,14323.3,2025-09-28 11:44:56.002487
2025-09-28,31938,2025092801003992,SANIMA,Nagarik Stock Dealer ,Nepal Stock House (PVT) Ltd.,150,333.1,49965.0,2025-09-28 11:44:58.029839
2025-09-28,31925,2025092801003997,SANIMA,Nagarik Stock Dealer ,Thrive Brokerage House Pvt. Ltd,46,333.1,15322.6,2025-09-28 11:45:04.400132
2025-09-28,31924,2025092801003998,SANIMA,Opal Securities Investment (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,54,333.0,17982.0,2025-09-28 11:45:04.400323
2025-09-28,31836,2025092801004049,SANIMA,Opal Securities Investment (PVT) Ltd.,Sweta Securities Private Limited,46,333.0,15318.0,2025-09-28 11:45:48.739469
2025-09-28,31835,2025092801004050,SANIMA,Neev Securities Pvt. Ltd.,Sweta Securities Private Limited,11,333.0,3663.0,2025-09-28 11:45:48.739720
2025-09-28,31700,2025092801004119,SANIMA,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,39,333.0,12987.0,2025-09-28 11:46:58.704621
2025-09-28,31699,2025092801004120,SANIMA,Linch Stock Market Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,90,333.0,29970.0,2025-09-28 11:46:58.704802
2025-09-28,31698,2025092801004121,SANIMA,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,10,333.0,3330.0,2025-09-28 11:46:58.704925
2025-09-28,31697,2025092801004122,SANIMA,Kohinoor Investment & Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,20,333.0,6660.0,2025-09-28 11:46:58.705099
2025-09-28,31552,2025092801004177,SANIMA,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,220,332.4,73128.0,2025-09-28 11:47:52.912934
2025-09-28,31125,2025092801004350,SANIMA,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,780,332.4,259272.0,2025-09-28 11:51:05.710884
2025-09-28,31124,2025092801004351,SANIMA,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,100,332.3,33230.0,2025-09-28 11:51:05.711097
2025-09-28,31123,2025092801004352,SANIMA,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,2600,332.2,863720.0,2025-09-28 11:51:05.711241
2025-09-28,31122,2025092801004353,SANIMA,Sagarmatha Securities Private Limited,Agrawal Securities (PVT) Ltd.,100,332.0,33200.0,2025-09-28 11:51:05.711355
2025-09-28,31121,2025092801004354,SANIMA,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,20,332.0,6640.0,2025-09-28 11:51:05.711459
2025-09-28,31120,2025092801004355,SANIMA,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,20,332.0,6640.0,2025-09-28 11:51:05.711560
2025-09-28,31119,2025092801004356,SANIMA,Nabil Stock Dealer Ltd.,Agrawal Securities (PVT) Ltd.,80,332.0,26560.0,2025-09-28 11:51:05.711668
2025-09-28,31047,2025092801004377,SANIMA,Nabil Stock Dealer Ltd.,Agrawal Securities (PVT) Ltd.,20,332.0,6640.0,2025-09-28 11:51:32.164165
2025-09-28,31046,2025092801004378,SANIMA,Thrive Brokerage House Pvt. Ltd,Agrawal Securities (PVT) Ltd.,50,331.1,16555.0,2025-09-28 11:51:32.164284
2025-09-28,31045,2025092801004379,SANIMA,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,100,331.0,33100.0,2025-09-28 11:51:32.164328
2025-09-28,31044,2025092801004380,SANIMA,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,3130,331.0,1036030.0,2025-09-28 11:51:32.164362
2025-09-28,30869,2025092801004473,SANIMA,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,11,333.0,3663.0,2025-09-28 11:52:32.349083
2025-09-28,30618,2025092801004593,SANIMA,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,30,333.0,9990.0,2025-09-28 11:53:58.404827
2025-09-28,30303,2025092801004758,SANIMA,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,10,333.0,3330.0,2025-09-28 11:56:22.781246
2025-09-28,29074,2025092801005263,SANIMA,Neev Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,331.5,33150.0,2025-09-28 12:04:36.105761
2025-09-28,28963,2025092801005303,SANIMA,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,100,331.5,33150.0,2025-09-28 12:05:24.201011
2025-09-28,28734,2025092801005422,SANIMA,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,36,331.6,11937.6,2025-09-28 12:06:48.528427
2025-09-28,28425,2025092801005563,SANIMA,Agrawal Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,500,331.6,165800.0,2025-09-28 12:09:47.864433
2025-09-28,28295,2025092801005630,SANIMA,Agrawal Securities (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,199,331.6,65988.4,2025-09-28 12:10:55.907339
2025-09-28,27154,2025092801006169,SANIMA,Agrawal Securities (PVT) Ltd.,Infinity Securities Limited,66,331.6,21885.6,2025-09-28 12:19:41.512493
2025-09-28,26378,2025092801006465,SANIMA,Aryatara Investment & Securities,Sani Securities Company Ltd.,90,333.0,29970.0,2025-09-28 12:25:09.605400
2025-09-28,26133,2025092801006560,SANIMA,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,1,331.0,331.0,2025-09-28 12:26:59.157329
2025-09-28,24851,2025092801007170,SANIMA,SUN SECURITIES PVT LTD,Primo Securities (PVT) Ltd.,20,333.0,6660.0,2025-09-28 12:35:05.951827
2025-09-28,24850,2025092801007171,SANIMA,Online Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,50,332.5,16625.0,2025-09-28 12:35:05.951960
2025-09-28,24849,2025092801007172,SANIMA,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,30,332.0,9960.0,2025-09-28 12:35:05.952021
2025-09-28,23669,2025092801007627,SANIMA,Aryatara Investment & Securities,Thrive Brokerage House Pvt. Ltd,300,332.0,99600.0,2025-09-28 12:41:50.971114
2025-09-28,23306,2025092801007730,SANIMA,Aryatara Investment & Securities,Sewa Securities Pvt. Ltd.,100,332.0,33200.0,2025-09-28 12:44:04.717731
2025-09-28,22953,2025092801007848,SANIMA,Aryatara Investment & Securities,Nepal Investment And Securities Trading Private Limited,21,332.0,6972.0,2025-09-28 12:46:07.103160
2025-09-28,21009,2025092801008560,SANIMA,Premier Securities Company Ltd.,Sweta Securities Private Limited,20,333.7,6674.0,2025-09-28 13:02:32.835176
2025-09-28,20976,2025092801008577,SANIMA,Premier Securities Company Ltd.,Sweta Securities Private Limited,20,333.7,6674.0,2025-09-28 13:02:45.566597
2025-09-28,20343,2025092801008804,SANIMA,Magnet Securities and Investment Company Private Limited,Sweta Securities Private Limited,1360,333.7,453832.0,2025-09-28 13:07:38.050742
2025-09-28,20239,2025092801008842,SANIMA,Magnet Securities and Investment Company Private Limited,Trisul Securities & Invt. Ltd.,100,333.7,33370.0,2025-09-28 13:08:16.686594
2025-09-28,19637,2025092801009058,SANIMA,Linch Stock Market Ltd.,South Asian Bulls Pvt. Ltd.,40,333.8,13352.0,2025-09-28 13:13:25.521415
2025-09-28,19297,2025092801009247,SANIMA,Magnet Securities and Investment Company Private Limited,Nepal Stock House (PVT) Ltd.,40,333.7,13348.0,2025-09-28 13:15:58.187731
2025-09-28,19296,2025092801009248,SANIMA,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,10,333.5,3335.0,2025-09-28 13:15:58.187862
2025-09-28,19295,2025092801009249,SANIMA,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,10,333.0,3330.0,2025-09-28 13:15:58.187930
2025-09-28,19294,2025092801009250,SANIMA,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,20,333.0,6660.0,2025-09-28 13:15:58.187977
2025-09-28,19293,2025092801009251,SANIMA,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,170,333.0,56610.0,2025-09-28 13:15:58.188040
2025-09-28,19168,2025092801009295,SANIMA,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,30,333.0,9990.0,2025-09-28 13:17:07.260292
