Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,volume,rate,amount,transaction_time
2025-09-28,38868,2025092804000175,SHEL,Online Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,295,293.9,86700.5,2025-09-28 11:06:02.865569
2025-09-28,38867,2025092804000176,SHEL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,15,294.0,4410.0,2025-09-28 11:06:02.865643
2025-09-28,38763,2025092804000191,SHEL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,285,294.0,83790.0,2025-09-28 11:06:24.304502
2025-09-28,38762,2025092804000192,SHEL,Online Securities Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,215,295.0,63425.0,2025-09-28 11:06:24.304588
2025-09-28,38597,2025092804000242,SHEL,Imperial Securities Company Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,85,295.0,25075.0,2025-09-28 11:07:16.064409
2025-09-28,37552,2025092804000425,SHEL,Market Securities & Exchange (PVT) Ltd.,Linch Stock Market Ltd.,1000,295.9,295900.0,2025-09-28 11:12:53.200483
2025-09-28,36798,2025092804000556,SHEL,Nagarik Stock Dealer ,Vision Securities Pvt. Ltd,100,296.0,29600.0,2025-09-28 11:16:57.745171
2025-09-28,36797,2025092804000557,SHEL,Nagarik Stock Dealer ,Opal Securities Investment (PVT) Ltd.,300,296.0,88800.0,2025-09-28 11:16:57.745282
2025-09-28,36796,2025092804000558,SHEL,Nagarik Stock Dealer ,Sweta Securities Private Limited,100,296.0,29600.0,2025-09-28 11:16:57.745337
2025-09-28,34519,2025092804000990,SHEL,KALASH STOCK MARKET PVT. LTD.,Stoxkarts Securities Limited,100,295.0,29500.0,2025-09-28 11:28:22.625991
2025-09-28,33404,2025092804001182,SHEL,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,10,293.1,2931.0,2025-09-28 11:35:28.653977
