Date,S.N.,Contract ID,Symbol,Buyer Broker,Seller Broker,quantity,rate,amount,transaction_time
2025-09-28,33924,2025092805001317,SPC,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,20,511.0,10220.0,2025-09-28 11:32:12.517693
2025-09-28,33257,2025092805001514,SPC,Agrawal Securities (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,300,512.0,153600.0,2025-09-28 11:36:19.271776
2025-09-28,31707,2025092805001873,SPC,Capital Max Securities Ltd,Premier Securities Company Ltd.,10,512.1,5121.0,2025-09-28 11:46:57.825120
2025-09-28,28529,2025092805002707,SPC,Capital Max Securities Ltd,Sani Securities Company Ltd.,10,512.1,5121.0,2025-09-28 12:08:48.040062
2025-09-28,26822,2025092805003120,SPC,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,800,513.0,410400.0,2025-09-28 12:22:13.733435
2025-09-28,26583,2025092805003165,SPC,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,200,513.0,102600.0,2025-09-28 12:23:40.109697
2025-09-28,26009,2025092805003325,SPC,Capital Max Securities Ltd,Opal Securities Investment (PVT) Ltd.,10,512.1,5121.0,2025-09-28 12:27:54.144450
2025-09-28,25749,2025092805003387,SPC,Capital Max Securities Ltd,Sumeru Securities Pvt. Ltd.,100,512.1,51210.0,2025-09-28 12:29:22.914903
2025-09-28,25025,2025092805003558,SPC,Capital Max Securities Ltd,Secured Securities Ltd.,20,512.1,10242.0,2025-09-28 12:34:08.432046
2025-09-28,24743,2025092805003664,SPC,Capital Max Securities Ltd,Agrawal Securities (PVT) Ltd.,50,512.1,25605.0,2025-09-28 12:35:38.975152
2025-09-28,24742,2025092805003665,SPC,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,50,512.0,25600.0,2025-09-28 12:35:38.975238
2025-09-28,22479,2025092805004278,SPC,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,10,512.0,5120.0,2025-09-28 12:50:12.729304
2025-09-28,20121,2025092805004823,SPC,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,50,514.9,25745.0,2025-09-28 13:09:10.164519
2025-09-28,19026,2025092805005091,SPC,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,10,512.0,5120.0,2025-09-28 13:17:55.429064
2025-09-28,18387,2025092805005260,SPC,Agrawal Securities (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,70,512.0,35840.0,2025-09-28 13:23:44.889425
2025-09-28,15038,2025092805006265,SPC,Sweta Securities Private Limited,Online Securities Pvt. Ltd.,35,512.6,17941.0,2025-09-28 13:52:25.975199
2025-09-28,14941,2025092805006303,SPC,Aryatara Investment & Securities,Sundhara Securities Limited,100,513.0,51300.0,2025-09-28 13:53:03.973966
2025-09-28,12342,2025092805006987,SPC,Sweta Securities Private Limited,Nagarik Stock Dealer ,40,512.8,20512.0,2025-09-28 14:13:50.723960
2025-09-28,8963,2025092805008017,SPC,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,40,513.0,20520.0,2025-09-28 14:36:17.915926
