contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026040904000721,CHCL,35,77,20,490.0,9800.0,Kohinoor Investment & Securities Pvt. Ltd.,Nabil Stock Dealer Ltd.,2026-04-09 11:10:02.141753
2026040904000801,CHCL,70,58,500,485.4,242700.0,Infinity Securities Limited,Naasa Securities Co. Ltd.,2026-04-09 11:10:52.354520
2026040904000802,CHCL,40,58,50,485.2,24260.0,Creative Securities Pvt Ltd,Naasa Securities Co. Ltd.,2026-04-09 11:10:52.354643
2026040904000912,CHCL,40,26,11,485.2,5337.2,Creative Securities Pvt Ltd,Asian Securities Private Ltd.,2026-04-09 11:11:36.356087
2026040904001177,CHCL,57,57,50,485.2,24260.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-09 11:15:38.307359
2026040904001178,CHCL,14,57,20,485.1,9702.0,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,2026-04-09 11:15:38.307454
2026040904001179,CHCL,22,57,65,485.1,31531.5,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:15:38.307503
2026040904001180,CHCL,1,57,150,485.1,72765.0,Kumari Securities Private Limited,Aryatara Investment & Securities,2026-04-09 11:15:38.307536
2026040904001181,CHCL,41,57,50,485.0,24250.0,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-04-09 11:15:38.307569
2026040904001182,CHCL,17,57,100,485.0,48500.0,ABC Securities Private Limited,Aryatara Investment & Securities,2026-04-09 11:15:38.307604
2026040904001198,CHCL,57,57,45,485.0,21825.0,Aryatara Investment & Securities,Aryatara Investment & Securities,2026-04-09 11:15:53.711521
2026040904001294,CHCL,39,57,20,485.0,9700.0,Sumeru Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:16:49.069393
2026040904002386,CHCL,17,42,10,487.0,4870.0,ABC Securities Private Limited,Sani Securities Company Ltd.,2026-04-09 11:28:24.261945
2026040904002929,CHCL,62,42,25,486.5,12162.5,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-09 11:33:58.433959
2026040904003182,CHCL,58,58,10,488.5,4885.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:36:23.534129
2026040904003183,CHCL,58,77,230,490.0,112700.0,Naasa Securities Co. Ltd.,Nabil Stock Dealer Ltd.,2026-04-09 11:36:23.534252
2026040904004850,CHCL,69,7,10,494.0,4940.0,INDEX SECURITIES LIMITED,J.F. Securites (PVT) Ltd.,2026-04-09 11:50:19.597547
2026040904004851,CHCL,69,25,77,494.0,38038.0,INDEX SECURITIES LIMITED,Sweta Securities Private Limited,2026-04-09 11:50:19.597739
2026040904004852,CHCL,69,43,40,494.7,19788.0,INDEX SECURITIES LIMITED,South Asian Bulls Pvt. Ltd.,2026-04-09 11:50:19.597807
2026040904004853,CHCL,69,45,23,494.9,11382.7,INDEX SECURITIES LIMITED,Imperial Securities Company Pvt. Ltd.,2026-04-09 11:50:19.597882
2026040904005043,CHCL,29,56,14,494.0,6916.0,Trisul Securities & Invt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-09 11:52:02.704733
2026040904005105,CHCL,49,58,10,490.0,4900.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:52:18.377178
2026040904005118,CHCL,28,58,40,490.0,19600.0,Shree Krishna Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:52:23.377188
2026040904005282,CHCL,36,58,15,490.0,7350.0,Secured Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:53:22.353373
2026040904006041,CHCL,58,62,30,489.0,14670.0,Naasa Securities Co. Ltd.,Capital Max Securities Ltd,2026-04-09 11:57:54.624963
2026040904006042,CHCL,11,62,70,489.0,34230.0,Malla & Malla Stock Broking Company Pvt. Limited,Capital Max Securities Ltd,2026-04-09 11:57:54.625234
2026040904006913,CHCL,38,58,41,490.0,20090.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-09 12:06:03.934133
2026040904006914,CHCL,38,46,40,490.0,19600.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-09 12:06:03.934298
2026040904006915,CHCL,38,58,48,490.0,23520.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-09 12:06:03.934384
2026040904007050,CHCL,58,25,10,493.9,4939.0,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,2026-04-09 12:06:48.302775
2026040904007243,CHCL,54,25,131,493.9,64700.9,Sewa Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-09 12:08:49.885030
2026040904007356,CHCL,81,49,1000,493.0,493000.0,Aakashbhairab Securities Ltd.,Online Securities Pvt. Ltd.,2026-04-09 12:10:09.626417
2026040904007697,CHCL,81,56,465,493.0,229245.0,Aakashbhairab Securities Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-09 12:13:21.943925
2026040904007762,CHCL,28,42,22,491.1,10804.2,Shree Krishna Securities Ltd.,Sani Securities Company Ltd.,2026-04-09 12:14:10.271859
2026040904008490,CHCL,51,14,15,491.3,7369.5,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 12:20:01.711350
2026040904008491,CHCL,58,14,50,491.2,24560.0,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 12:20:01.711692
2026040904008492,CHCL,28,14,78,491.1,38305.8,Shree Krishna Securities Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 12:20:01.711887
2026040904008505,CHCL,21,14,27,491.1,13259.7,Midas Stock Broking Company Private Limited,Nepal Stock House (PVT) Ltd.,2026-04-09 12:20:06.457193
2026040904008759,CHCL,58,56,35,493.0,17255.0,Naasa Securities Co. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-09 12:22:57.697216
2026040904009717,CHCL,57,26,100,493.0,49300.0,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-09 12:32:04.616086
2026040904009718,CHCL,57,43,20,493.0,9860.0,Aryatara Investment & Securities,South Asian Bulls Pvt. Ltd.,2026-04-09 12:32:04.616472
2026040904009719,CHCL,57,25,80,493.4,39472.0,Aryatara Investment & Securities,Sweta Securities Private Limited,2026-04-09 12:32:04.616697
2026040904009909,CHCL,42,25,89,493.4,43912.6,Sani Securities Company Ltd.,Sweta Securities Private Limited,2026-04-09 12:33:36.127021
2026040904009910,CHCL,42,14,111,493.4,54767.4,Sani Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 12:33:36.127232
2026040904010256,CHCL,89,58,100,493.0,49300.0,Global IME Securities Limited,Naasa Securities Co. Ltd.,2026-04-09 12:36:44.263901
2026040904010490,CHCL,45,7,10,492.5,4925.0,Imperial Securities Company Pvt. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-09 12:38:50.575393
2026040904010685,CHCL,45,17,10,492.5,4925.0,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,2026-04-09 12:40:33.658349
2026040904010686,CHCL,4,17,10,492.0,4920.0,Opal Securities Investment (PVT) Ltd.,ABC Securities Private Limited,2026-04-09 12:40:33.658715
2026040904010860,CHCL,57,7,30,491.5,14745.0,Aryatara Investment & Securities,J.F. Securites (PVT) Ltd.,2026-04-09 12:42:48.164837
2026040904010861,CHCL,52,7,50,491.3,24565.0,Sundhara Securities Limited,J.F. Securites (PVT) Ltd.,2026-04-09 12:42:48.164980
2026040904010862,CHCL,88,7,70,491.2,34384.0,Blue Chip Securities Ltd,J.F. Securites (PVT) Ltd.,2026-04-09 12:42:48.165051
2026040904011162,CHCL,88,17,35,492.0,17220.0,Blue Chip Securities Ltd,ABC Securities Private Limited,2026-04-09 12:46:17.648560
2026040904011163,CHCL,88,56,486,492.6,239403.6,Blue Chip Securities Ltd,Sri Hari Securities Pvt. Ltd.,2026-04-09 12:46:17.648903
2026040904011195,CHCL,88,16,409,493.0,201637.0,Blue Chip Securities Ltd,Primo Securities (PVT) Ltd.,2026-04-09 12:46:36.041099
2026040904011377,CHCL,42,77,13,491.2,6385.6,Sani Securities Company Ltd.,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001794
2026040904011378,CHCL,21,77,273,491.1,134070.3,Midas Stock Broking Company Private Limited,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001855
2026040904011379,CHCL,58,77,40,491.0,19640.0,Naasa Securities Co. Ltd.,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001880
2026040904011380,CHCL,57,77,30,490.0,14700.0,Aryatara Investment & Securities,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001904
2026040904011381,CHCL,34,77,20,490.0,9800.0,Vision Securities Pvt. Ltd,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001926
2026040904011382,CHCL,21,77,74,490.0,36260.0,Midas Stock Broking Company Private Limited,Nabil Stock Dealer Ltd.,2026-04-09 12:49:01.001949
2026040904011500,CHCL,41,58,175,490.1,85767.5,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-04-09 12:50:18.081589
2026040904011513,CHCL,34,16,40,493.0,19720.0,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-09 12:50:22.652576
2026040904011810,CHCL,4,16,10,493.0,4930.0,Opal Securities Investment (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-09 12:53:56.023474
2026040904012101,CHCL,46,35,342,492.0,168264.0,Kalika Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 12:57:07.329860
2026040904012213,CHCL,46,38,16,492.0,7872.0,Kalika Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-09 12:58:23.015453
2026040904012325,CHCL,46,21,32,492.0,15744.0,Kalika Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-09 12:59:39.023664
2026040904012409,CHCL,42,21,100,492.0,49200.0,Sani Securities Company Ltd.,Midas Stock Broking Company Private Limited,2026-04-09 13:00:12.674547
2026040904012685,CHCL,7,25,150,491.0,73650.0,J.F. Securites (PVT) Ltd.,Sweta Securities Private Limited,2026-04-09 13:03:06.981217
2026040904012689,CHCL,29,21,258,492.0,126936.0,Trisul Securities & Invt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-09 13:03:09.091926
2026040904012690,CHCL,29,16,29,493.0,14297.0,Trisul Securities & Invt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-09 13:03:09.092113
2026040904012691,CHCL,29,45,31,493.0,15283.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-09 13:03:09.092196
2026040904012692,CHCL,29,58,22,493.0,10846.0,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 13:03:09.092270
2026040904012693,CHCL,29,33,160,493.0,78880.0,Trisul Securities & Invt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-09 13:03:09.092354
2026040904012987,CHCL,41,25,45,492.0,22140.0,Linch Stock Market Ltd.,Sweta Securities Private Limited,2026-04-09 13:06:48.366497
2026040904012988,CHCL,41,33,340,493.0,167620.0,Linch Stock Market Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-09 13:06:48.366725
2026040904012989,CHCL,41,14,157,493.4,77463.8,Linch Stock Market Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-09 13:06:48.366813
2026040904012990,CHCL,41,49,240,493.5,118440.0,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-09 13:06:48.366894
2026040904012991,CHCL,41,3,218,493.5,107583.0,Linch Stock Market Ltd.,Arun Securities (PVT) Ltd.,2026-04-09 13:06:48.366969
2026040904013088,CHCL,69,17,10,493.0,4930.0,INDEX SECURITIES LIMITED,ABC Securities Private Limited,2026-04-09 13:07:53.317938
2026040904013089,CHCL,69,3,113,493.5,55765.5,INDEX SECURITIES LIMITED,Arun Securities (PVT) Ltd.,2026-04-09 13:07:53.318176
2026040904013090,CHCL,69,36,20,493.7,9874.0,INDEX SECURITIES LIMITED,Secured Securities Ltd.,2026-04-09 13:07:53.318281
2026040904013091,CHCL,69,42,90,493.8,44442.0,INDEX SECURITIES LIMITED,Sani Securities Company Ltd.,2026-04-09 13:07:53.318376
2026040904013092,CHCL,69,16,120,494.7,59364.0,INDEX SECURITIES LIMITED,Primo Securities (PVT) Ltd.,2026-04-09 13:07:53.318454
2026040904013093,CHCL,69,16,17,494.8,8411.6,INDEX SECURITIES LIMITED,Primo Securities (PVT) Ltd.,2026-04-09 13:07:53.318532
2026040904013401,CHCL,50,58,40,492.0,19680.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 13:10:54.269180
2026040904013402,CHCL,35,58,20,492.0,9840.0,Kohinoor Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 13:10:54.269553
2026040904013435,CHCL,22,58,40,492.0,19680.0,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 13:11:12.033550
2026040904014331,CHCL,88,29,30,492.2,14766.0,Blue Chip Securities Ltd,Trisul Securities & Invt. Ltd.,2026-04-09 13:19:39.291073
2026040904014450,CHCL,88,36,20,494.0,9880.0,Blue Chip Securities Ltd,Secured Securities Ltd.,2026-04-09 13:20:53.141487
2026040904014451,CHCL,88,49,500,494.1,247050.0,Blue Chip Securities Ltd,Online Securities Pvt. Ltd.,2026-04-09 13:20:53.141739
2026040904014452,CHCL,88,16,450,494.8,222660.0,Blue Chip Securities Ltd,Primo Securities (PVT) Ltd.,2026-04-09 13:20:53.141893
2026040904014527,CHCL,22,44,33,492.0,16236.0,Siprabi Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-09 13:22:00.321843
2026040904014607,CHCL,22,50,27,492.0,13284.0,Siprabi Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-09 13:22:36.806789
2026040904014608,CHCL,7,50,28,492.0,13776.0,J.F. Securites (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-09 13:22:36.806983
2026040904015113,CHCL,7,89,342,492.0,168264.0,J.F. Securites (PVT) Ltd.,Global IME Securities Limited,2026-04-09 13:26:05.382885
2026040904015114,CHCL,67,89,40,492.0,19680.0,Property Wiard Limited,Global IME Securities Limited,2026-04-09 13:26:05.383142
2026040904015214,CHCL,41,89,132,491.6,64891.2,Linch Stock Market Ltd.,Global IME Securities Limited,2026-04-09 13:26:50.418255
