contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,price,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026040903000060,MPFL,32,60,10,638.0,6380.0,2026-04-09,185669349,471,Premier Securities Company Ltd.,Nagarik Stock Dealer ,2026-04-09 11:02:07.062502,Multipurpose Finance Company  Limited
2026040903000086,MPFL,8,10,50,638.0,31900.0,2026-04-09,185670908,471,Brilliant Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-09 11:04:03.098156,Multipurpose Finance Company  Limited
2026040903000087,MPFL,8,39,200,638.0,127600.0,2026-04-09,185670958,471,Brilliant Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:04:05.703531,Multipurpose Finance Company  Limited
2026040903000088,MPFL,8,35,20,638.0,12760.0,2026-04-09,185671112,471,Brilliant Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 11:04:20.696956,Multipurpose Finance Company  Limited
2026040903000113,MPFL,8,25,10,638.0,6380.0,2026-04-09,185671780,471,Brilliant Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-09 11:05:16.908104,Multipurpose Finance Company  Limited
2026040903000125,MPFL,7,39,100,635.0,63500.0,2026-04-09,185672308,471,J.F. Securites (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:06:03.960212,Multipurpose Finance Company  Limited
2026040903000218,MPFL,71,84,100,627.1,62710.0,2026-04-09,185675732,471,SHUBHAKAMANA SECURITIES PVT. LTD,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:09:55.520150,Multipurpose Finance Company  Limited
2026040903000232,MPFL,58,84,50,626.0,31300.0,2026-04-09,185676083,471,Naasa Securities Co. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:10:15.554517,Multipurpose Finance Company  Limited
2026040903000233,MPFL,42,84,100,626.0,62600.0,2026-04-09,185676084,471,Sani Securities Company Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:10:15.554649,Multipurpose Finance Company  Limited
2026040903000370,MPFL,36,51,50,633.0,31650.0,2026-04-09,185680637,471,Secured Securities Ltd.,Oxford Securities Pvt. Ltd.,2026-04-09 11:16:06.254048,Multipurpose Finance Company  Limited
2026040903000445,MPFL,45,51,50,626.0,31300.0,2026-04-09,185684493,471,Imperial Securities Company Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-09 11:19:32.786219,Multipurpose Finance Company  Limited
2026040903000446,MPFL,21,51,10,626.0,6260.0,2026-04-09,185684495,471,Midas Stock Broking Company Private Limited,Oxford Securities Pvt. Ltd.,2026-04-09 11:19:32.786375,Multipurpose Finance Company  Limited
2026040903000447,MPFL,7,51,50,625.4,31270.0,2026-04-09,185684497,471,J.F. Securites (PVT) Ltd.,Oxford Securities Pvt. Ltd.,2026-04-09 11:19:32.786480,Multipurpose Finance Company  Limited
2026040903000448,MPFL,36,51,49,625.3,30639.7,2026-04-09,185684498,471,Secured Securities Ltd.,Oxford Securities Pvt. Ltd.,2026-04-09 11:19:32.786587,Multipurpose Finance Company  Limited
2026040903000501,MPFL,36,92,51,626.1,31931.1,2026-04-09,185687009,471,Secured Securities Ltd.,Roadshow securities limited,2026-04-09 11:22:15.662674,Multipurpose Finance Company  Limited
2026040903000502,MPFL,45,92,49,625.4,30644.6,2026-04-09,185687010,471,Imperial Securities Company Pvt. Ltd.,Roadshow securities limited,2026-04-09 11:22:15.662723,Multipurpose Finance Company  Limited
2026040903000531,MPFL,45,35,100,625.4,62540.0,2026-04-09,185687872,471,Imperial Securities Company Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 11:23:19.480977,Multipurpose Finance Company  Limited
2026040903000556,MPFL,43,58,100,630.0,63000.0,2026-04-09,185688594,471,South Asian Bulls Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:24:15.151821,Multipurpose Finance Company  Limited
2026040903000557,MPFL,43,44,30,630.0,18900.0,2026-04-09,185688778,471,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-09 11:24:23.568576,Multipurpose Finance Company  Limited
2026040903000561,MPFL,43,39,30,630.0,18900.0,2026-04-09,185689100,471,South Asian Bulls Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:24:45.952296,Multipurpose Finance Company  Limited
2026040903000565,MPFL,43,39,10,630.0,6300.0,2026-04-09,185689308,471,South Asian Bulls Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:24:59.824874,Multipurpose Finance Company  Limited
2026040903000596,MPFL,43,44,10,630.0,6300.0,2026-04-09,185690130,471,South Asian Bulls Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-09 11:25:54.867873,Multipurpose Finance Company  Limited
2026040903000616,MPFL,43,39,10,630.0,6300.0,2026-04-09,185690792,471,South Asian Bulls Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:26:59.582356,Multipurpose Finance Company  Limited
2026040903000623,MPFL,43,84,110,630.0,69300.0,2026-04-09,185691242,471,South Asian Bulls Pvt. Ltd.,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:27:35.862197,Multipurpose Finance Company  Limited
2026040903000701,MPFL,57,54,10,632.8,6328.0,2026-04-09,185693049,471,Aryatara Investment & Securities,Sewa Securities Pvt. Ltd.,2026-04-09 11:30:39.326076,Multipurpose Finance Company  Limited
2026040903000988,MPFL,22,8,20,632.0,12640.0,2026-04-09,185699769,471,Siprabi Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-09 11:38:32.770871,Multipurpose Finance Company  Limited
2026040903000989,MPFL,1,8,150,632.0,94800.0,2026-04-09,185699770,471,Kumari Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-09 11:38:32.770967,Multipurpose Finance Company  Limited
2026040903000997,MPFL,64,84,100,632.9,63290.0,2026-04-09,185699989,471,SUN SECURITIES PVT LTD,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:38:52.209151,Multipurpose Finance Company  Limited
2026040903001320,MPFL,38,92,40,631.0,25240.0,2026-04-09,185710723,471,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Roadshow securities limited,2026-04-09 11:50:23.536475,Multipurpose Finance Company  Limited
2026040903001321,MPFL,50,92,560,631.0,353360.0,2026-04-09,185710724,471,Cristal Kanchanjanga Securites Pvt. Ltd.,Roadshow securities limited,2026-04-09 11:50:23.536608,Multipurpose Finance Company  Limited
2026040903001339,MPFL,43,92,1000,632.0,632000.0,2026-04-09,185711156,471,South Asian Bulls Pvt. Ltd.,Roadshow securities limited,2026-04-09 11:50:51.917321,Multipurpose Finance Company  Limited
2026040903001380,MPFL,92,37,50,634.9,31745.0,2026-04-09,185712213,471,Roadshow securities limited,Swarna Laxmi Securities Pvt. Ltd.,2026-04-09 11:52:04.454367,Multipurpose Finance Company  Limited
2026040903001382,MPFL,42,92,100,634.9,63490.0,2026-04-09,185712260,471,Sani Securities Company Ltd.,Roadshow securities limited,2026-04-09 11:52:06.847799,Multipurpose Finance Company  Limited
2026040903001431,MPFL,64,44,20,636.0,12720.0,2026-04-09,185712888,471,SUN SECURITIES PVT LTD,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-09 11:52:41.395662,Multipurpose Finance Company  Limited
2026040903001432,MPFL,64,84,100,636.9,63690.0,2026-04-09,185712890,471,SUN SECURITIES PVT LTD,MILKY WAY SHARE BROKER COMPANY LTD ,2026-04-09 11:52:41.395798,Multipurpose Finance Company  Limited
2026040903001433,MPFL,64,42,450,637.0,286650.0,2026-04-09,185712892,471,SUN SECURITIES PVT LTD,Sani Securities Company Ltd.,2026-04-09 11:52:41.395879,Multipurpose Finance Company  Limited
2026040903001434,MPFL,64,43,75,637.8,47835.0,2026-04-09,185712894,471,SUN SECURITIES PVT LTD,South Asian Bulls Pvt. Ltd.,2026-04-09 11:52:41.395922,Multipurpose Finance Company  Limited
2026040903001435,MPFL,64,32,25,637.8,15945.0,2026-04-09,185712896,471,SUN SECURITIES PVT LTD,Premier Securities Company Ltd.,2026-04-09 11:52:41.395961,Multipurpose Finance Company  Limited
2026040903001436,MPFL,64,8,500,638.0,319000.0,2026-04-09,185712898,471,SUN SECURITIES PVT LTD,Brilliant Securities Pvt. Ltd.,2026-04-09 11:52:41.396001,Multipurpose Finance Company  Limited
