contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026040903000546,SFCL,19,7,10,395.0,3950.0,Nepal Investment And Securities Trading Private Limited,J.F. Securites (PVT) Ltd.,2026-04-09 11:24:03.720173
2026040903000973,SFCL,48,26,180,392.2,70596.0,Trishakti Securities Public Limited,Asian Securities Private Ltd.,2026-04-09 11:38:29.807224
2026040903000974,SFCL,34,26,25,392.0,9800.0,Vision Securities Pvt. Ltd,Asian Securities Private Ltd.,2026-04-09 11:38:29.807389
2026040903000975,SFCL,45,26,38,392.0,14896.0,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807465
2026040903000976,SFCL,41,26,60,392.0,23520.0,Linch Stock Market Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807534
2026040903000977,SFCL,7,26,20,392.0,7840.0,J.F. Securites (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807599
2026040903000978,SFCL,45,26,10,392.0,3920.0,Imperial Securities Company Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807664
2026040903000979,SFCL,21,26,10,392.0,3920.0,Midas Stock Broking Company Private Limited,Asian Securities Private Ltd.,2026-04-09 11:38:29.807753
2026040903000980,SFCL,58,26,100,391.0,39100.0,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807779
2026040903000981,SFCL,46,26,16,390.0,6240.0,Kalika Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807803
2026040903000982,SFCL,41,26,25,390.0,9750.0,Linch Stock Market Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807827
2026040903000983,SFCL,28,26,100,390.0,39000.0,Shree Krishna Securities Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807851
2026040903000984,SFCL,6,26,200,390.0,78000.0,Agrawal Securities (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807875
2026040903000985,SFCL,58,26,27,388.1,10478.7,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807898
2026040903000986,SFCL,57,26,100,388.1,38810.0,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-09 11:38:29.807924
2026040903000987,SFCL,53,26,89,388.1,34540.9,Investment Management Nepal Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-09 11:38:29.807960
2026040903001229,SFCL,49,7,50,395.0,19750.0,Online Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-09 11:48:21.598809
2026040903001248,SFCL,45,7,16,395.0,6320.0,Imperial Securities Company Pvt. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-09 11:48:39.042079
2026040903001299,SFCL,56,82,80,399.5,31960.0,Sri Hari Securities Pvt. Ltd.,N.M.B. SECURITIES LIMITED,2026-04-09 11:49:59.148720
2026040903001300,SFCL,56,49,100,399.9,39990.0,Sri Hari Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-09 11:49:59.148780
2026040903001301,SFCL,56,17,320,400.0,128000.0,Sri Hari Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-09 11:49:59.148814
2026040903001347,SFCL,49,17,180,400.0,72000.0,Online Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-09 11:51:02.841539
2026040903001348,SFCL,49,39,320,400.0,128000.0,Online Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-09 11:51:02.841616
2026040903001373,SFCL,4,43,76,399.7,30377.2,Opal Securities Investment (PVT) Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-09 11:51:51.673826
2026040903001833,SFCL,47,72,100,395.0,39500.0,Neev Securities Pvt. Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:14.791237
2026040903001834,SFCL,58,72,500,394.1,197050.0,Naasa Securities Co. Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:14.791322
2026040903001835,SFCL,42,72,400,394.0,157600.0,Sani Securities Company Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:14.791376
2026040903001841,SFCL,42,72,600,394.0,236400.0,Sani Securities Company Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:24.008679
2026040903001842,SFCL,54,72,400,394.0,157600.0,Sewa Securities Pvt. Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:24.008774
2026040903001845,SFCL,58,72,500,393.0,196500.0,Naasa Securities Co. Ltd.,Hatemalo Financial Services Private Limited,2026-04-09 12:02:32.638588
