contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026040904001940,TRH,42,29,10,750.2,7502.0,Sani Securities Company Ltd.,Trisul Securities & Invt. Ltd.,2026-04-09 11:22:55.720914
2026040904004010,TRH,22,25,10,753.0,7530.0,Siprabi Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-09 11:44:31.818909
2026040904004011,TRH,45,25,31,752.1,23315.1,Imperial Securities Company Pvt. Ltd.,Sweta Securities Private Limited,2026-04-09 11:44:31.818989
2026040904006172,TRH,22,28,10,756.0,7560.0,Siprabi Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-09 11:58:58.567346
2026040904006437,TRH,50,22,50,756.0,37800.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-09 12:01:32.720177
2026040904008013,TRH,42,43,100,760.0,76000.0,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-09 12:16:20.549522
2026040904008500,TRH,49,48,4,752.1,3008.4,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-09 12:20:04.534246
2026040904008707,TRH,28,48,10,770.0,7700.0,Shree Krishna Securities Ltd.,Trishakti Securities Public Limited,2026-04-09 12:22:12.966017
2026040904009099,TRH,38,48,10,770.0,7700.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2026-04-09 12:26:14.440061
2026040904009100,TRH,38,22,15,770.0,11550.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-09 12:26:14.440148
2026040904009517,TRH,50,34,10,760.1,7601.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-09 12:30:38.336852
2026040904011023,TRH,25,4,80,760.0,60800.0,Sweta Securities Private Limited,Opal Securities Investment (PVT) Ltd.,2026-04-09 12:44:24.702293
2026040904012172,TRH,25,28,80,760.0,60800.0,Sweta Securities Private Limited,Shree Krishna Securities Ltd.,2026-04-09 12:57:57.393811
2026040904013804,TRH,25,58,10,760.0,7600.0,Sweta Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-09 13:14:34.939927
2026040904014477,TRH,25,51,15,760.0,11400.0,Sweta Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-04-09 13:21:16.121381
2026040904016593,TRH,65,45,100,762.0,76200.0,Sharepro Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-09 13:44:38.885599
2026040904016714,TRH,94,28,150,763.0,114450.0,K.B.L. Securities Limited ,Shree Krishna Securities Ltd.,2026-04-09 13:45:42.519873
2026040904016715,TRH,94,22,85,763.0,64855.0,K.B.L. Securities Limited ,Siprabi Securities Pvt. Ltd.,2026-04-09 13:45:42.520043
2026040904016716,TRH,94,28,50,764.0,38200.0,K.B.L. Securities Limited ,Shree Krishna Securities Ltd.,2026-04-09 13:45:42.520085
2026040904016717,TRH,94,17,400,764.0,305600.0,K.B.L. Securities Limited ,ABC Securities Private Limited,2026-04-09 13:45:42.520123
2026040904016718,TRH,94,28,10,764.5,7645.0,K.B.L. Securities Limited ,Shree Krishna Securities Ltd.,2026-04-09 13:45:42.520156
2026040904016719,TRH,94,45,150,765.0,114750.0,K.B.L. Securities Limited ,Imperial Securities Company Pvt. Ltd.,2026-04-09 13:45:42.520188
2026040904017052,TRH,45,96,200,767.0,153400.0,Imperial Securities Company Pvt. Ltd.,Himalayan Securities Limited,2026-04-09 13:49:44.942909
2026040904017269,TRH,49,58,1,759.1,759.1,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 13:52:53.957851
2026040904017401,TRH,32,96,10,767.0,7670.0,Premier Securities Company Ltd.,Himalayan Securities Limited,2026-04-09 13:54:25.355781
2026040904017520,TRH,52,96,50,767.0,38350.0,Sundhara Securities Limited,Himalayan Securities Limited,2026-04-09 13:55:15.611279
2026040904018266,TRH,95,96,10,767.0,7670.0,Magnet Securities and Investment Company Private Limited,Himalayan Securities Limited,2026-04-09 14:03:05.442497
2026040904020566,TRH,94,57,85,765.0,65025.0,K.B.L. Securities Limited ,Aryatara Investment & Securities,2026-04-09 14:22:46.997408
2026040904022227,TRH,94,48,1000,765.0,765000.0,K.B.L. Securities Limited ,Trishakti Securities Public Limited,2026-04-09 14:32:28.996343
2026040904022256,TRH,94,56,26,765.0,19890.0,K.B.L. Securities Limited ,Sri Hari Securities Pvt. Ltd.,2026-04-09 14:32:39.650401
2026040904025957,TRH,94,46,44,765.0,33660.0,K.B.L. Securities Limited ,Kalika Securities Pvt. Ltd.,2026-04-09 14:51:48.191511
2026040904027524,TRH,41,41,18,766.0,13788.0,Linch Stock Market Ltd.,Linch Stock Market Ltd.,2026-04-09 14:56:52.907288
