contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,price,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041003000292,BFC,44,6,19,471.0,8949.0,2026-04-10,185898758,227,Dynamic Money Managers Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:14:12.398649,Best Finance Company Ltd.
2026041003000506,BFC,44,32,477,471.0,224667.0,2026-04-10,185907422,227,Dynamic Money Managers Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-10T11:23:16.660974,Best Finance Company Ltd.
2026041003000566,BFC,44,53,500,471.0,235500.0,2026-04-10,185909300,227,Dynamic Money Managers Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-10T11:24:59.873698,Best Finance Company Ltd.
2026041003000580,BFC,49,57,130,471.0,61230.0,2026-04-10,185909900,227,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-10T11:25:22.413989,Best Finance Company Ltd.
2026041003000641,BFC,49,32,70,471.0,32970.0,2026-04-10,185911521,227,Online Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-10T11:27:11.318096,Best Finance Company Ltd.
2026041003000650,BFC,57,49,25,470.0,11750.0,2026-04-10,185911652,227,Aryatara Investment & Securities,Online Securities Pvt. Ltd.,2026-04-10T11:27:21.155857,Best Finance Company Ltd.
2026041003000695,BFC,51,32,53,470.1,24915.3,2026-04-10,185914050,227,Oxford Securities Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-10T11:29:11.982654,Best Finance Company Ltd.
2026041003000747,BFC,65,57,200,476.0,95200.0,2026-04-10,185916146,227,Sharepro Securities Private Limited,Aryatara Investment & Securities,2026-04-10T11:30:50.557754,Best Finance Company Ltd.
2026041003000748,BFC,65,7,235,476.5,111977.5,2026-04-10,185916148,227,Sharepro Securities Private Limited,J.F. Securites (PVT) Ltd.,2026-04-10T11:30:50.557877,Best Finance Company Ltd.
2026041003000749,BFC,65,45,65,477.0,31005.0,2026-04-10,185916151,227,Sharepro Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:30:50.557961,Best Finance Company Ltd.
2026041003001078,BFC,58,48,100,475.0,47500.0,2026-04-10,186077112,227,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-10T11:44:53.594,Best Finance Company Ltd.
2026041003001081,BFC,56,42,10,473.0,4730.0,2026-04-10,186075370,227,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T11:45:11.857,Best Finance Company Ltd.
2026041003001085,BFC,74,42,300,470.1,141030.0,2026-04-10,186080635,227,KALASH STOCK MARKET PVT. LTD.,Sani Securities Company Ltd.,2026-04-10T11:45:11.858,Best Finance Company Ltd.
2026041003001086,BFC,57,42,942,470.0,442740.0,2026-04-10,186076597,227,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-10T11:45:11.858,Best Finance Company Ltd.
2026041003001083,BFC,51,42,38,470.1,17863.8,2026-04-10,186074923,227,Oxford Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T11:45:11.858,Best Finance Company Ltd.
2026041003001084,BFC,58,42,100,470.1,47010.0,2026-04-10,186077240,227,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-10T11:45:11.858,Best Finance Company Ltd.
2026041003001082,BFC,45,42,10,470.5,4705.0,2026-04-10,186072102,227,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T11:45:11.858,Best Finance Company Ltd.
2026041003001116,BFC,34,45,368,470.0,172960.0,2026-04-10,186068545,227,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:46:18.115,Best Finance Company Ltd.
2026041003001115,BFC,56,45,100,470.0,47000.0,2026-04-10,186075415,227,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:46:18.115,Best Finance Company Ltd.
2026041003001114,BFC,39,45,500,470.0,235000.0,2026-04-10,186071608,227,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:46:18.115,Best Finance Company Ltd.
2026041003001113,BFC,57,45,32,470.0,15040.0,2026-04-10,186076411,227,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:46:18.115,Best Finance Company Ltd.
2026041003001181,BFC,4,6,24,470.0,11280.0,2026-04-10,186062747,227,Opal Securities Investment (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:49:31.468,Best Finance Company Ltd.
2026041003001179,BFC,45,6,13,470.0,6110.0,2026-04-10,186072335,227,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:49:31.468,Best Finance Company Ltd.
2026041003001178,BFC,34,6,32,470.0,15040.0,2026-04-10,186068846,227,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,2026-04-10T11:49:31.468,Best Finance Company Ltd.
2026041003001180,BFC,49,6,28,470.0,13160.0,2026-04-10,186073900,227,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:49:31.468,Best Finance Company Ltd.
2026041003001199,BFC,50,6,25,469.0,11725.0,2026-04-10,186074810,227,Cristal Kanchanjanga Securites Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:50:27.089,Best Finance Company Ltd.
2026041003001215,BFC,6,6,100,468.0,46800.0,2026-04-10,186063251,227,Agrawal Securities (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:51:06.31,Best Finance Company Ltd.
2026041003001216,BFC,57,6,333,468.0,155844.0,2026-04-10,186076385,227,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,2026-04-10T11:51:06.31,Best Finance Company Ltd.
2026041003001217,BFC,13,6,200,468.0,93600.0,2026-04-10,186063997,227,Thrive Brokerage House Pvt. Ltd,Agrawal Securities (PVT) Ltd.,2026-04-10T11:51:06.31,Best Finance Company Ltd.
2026041003001225,BFC,35,6,145,466.0,67570.0,2026-04-10,186069236,227,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:51:31.269,Best Finance Company Ltd.
2026041003001266,BFC,50,6,20,467.0,9340.0,2026-04-10,186074658,227,Cristal Kanchanjanga Securites Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:54:39.731,Best Finance Company Ltd.
2026041003001267,BFC,34,6,200,467.0,93400.0,2026-04-10,186068147,227,Vision Securities Pvt. Ltd,Agrawal Securities (PVT) Ltd.,2026-04-10T11:54:39.731,Best Finance Company Ltd.
2026041003001272,BFC,39,6,200,466.0,93200.0,2026-04-10,186071588,227,Sumeru Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:54:39.732,Best Finance Company Ltd.
2026041003001271,BFC,7,6,150,466.0,69900.0,2026-04-10,186063516,227,J.F. Securites (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:54:39.732,Best Finance Company Ltd.
