contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041001001458,GBIME,14,41,24,240.0,5760.0,Nepal Stock House (PVT) Ltd.,Linch Stock Market Ltd.,2026-04-10T11:05:12.154817
2026041001001701,GBIME,14,36,100,240.0,24000.0,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,2026-04-10T11:06:11.211338
2026041001002037,GBIME,14,32,200,240.0,48000.0,Nepal Stock House (PVT) Ltd.,Premier Securities Company Ltd.,2026-04-10T11:07:07.052517
2026041001002159,GBIME,4,38,15,241.8,3627.0,Opal Securities Investment (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-10T11:07:39.774886
2026041001002160,GBIME,4,32,135,242.0,32670.0,Opal Securities Investment (PVT) Ltd.,Premier Securities Company Ltd.,2026-04-10T11:07:39.775055
2026041001002420,GBIME,34,32,29,242.0,7018.0,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,2026-04-10T11:08:25.435592
2026041001002421,GBIME,34,32,200,242.0,48400.0,Vision Securities Pvt. Ltd,Premier Securities Company Ltd.,2026-04-10T11:08:25.435659
2026041001002422,GBIME,34,8,300,242.8,72840.0,Vision Securities Pvt. Ltd,Brilliant Securities Pvt. Ltd.,2026-04-10T11:08:25.435713
2026041001002423,GBIME,34,44,500,242.9,121450.0,Vision Securities Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-10T11:08:25.435749
2026041001002424,GBIME,34,42,100,242.9,24290.0,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-10T11:08:25.435782
2026041001002425,GBIME,34,57,753,242.9,182903.7,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-10T11:08:25.435814
2026041001002426,GBIME,34,58,10,243.0,2430.0,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-10T11:08:25.435846
2026041001002427,GBIME,34,34,100,243.0,24300.0,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-10T11:08:25.435883
2026041001002428,GBIME,34,57,1000,243.0,243000.0,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-10T11:08:25.435911
2026041001002713,GBIME,58,42,40,241.0,9640.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-10T11:09:21.724739
2026041001003405,GBIME,69,19,10,242.9,2429.0,INDEX SECURITIES LIMITED,Nepal Investment And Securities Trading Private Limited,2026-04-10T11:11:40.799356
2026041001003524,GBIME,58,11,10,241.0,2410.0,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-10T11:12:24.401894
2026041001003525,GBIME,44,11,30,241.0,7230.0,Dynamic Money Managers Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-10T11:12:24.402154
