contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041003000336,GUFL,38,21,10,557.0,5570.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,2026-04-10T11:16:05.547648
2026041003000367,GUFL,49,40,18,557.0,10026.0,Online Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-10T11:18:16.415674
2026041003000860,GUFL,47,49,50,546.0,27300.0,Neev Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T11:35:31.877959
2026041003001364,GUFL,6,19,100,540.4,54040.0,Agrawal Securities (PVT) Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-10T11:59:13.283
2026041003001365,GUFL,58,19,100,540.3,54030.0,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-10T11:59:13.283
2026041003001366,GUFL,35,19,290,540.3,156687.0,Kohinoor Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-10T11:59:13.283
2026041003001367,GUFL,56,19,110,540.2,59422.0,Sri Hari Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-10T11:59:13.284
2026041003001405,GUFL,80,19,10,540.5,5405.0,Indira securities pvt. ltd,Nepal Investment And Securities Trading Private Limited,2026-04-10T12:01:04.465
2026041003001406,GUFL,56,19,15,540.2,8103.0,Sri Hari Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-10T12:01:04.465
2026041003001590,GUFL,53,49,70,550.0,38500.0,Investment Management Nepal Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T12:07:25.618663
2026041003001591,GUFL,53,47,130,550.0,71500.0,Investment Management Nepal Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-10T12:07:25.618827
2026041003002181,GUFL,46,5,100,540.6,54060.0,Kalika Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-10T12:17:29.832646
2026041003002182,GUFL,56,5,875,540.5,472937.5,Sri Hari Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-10T12:17:29.832762
2026041003002183,GUFL,56,5,500,540.1,270050.0,Sri Hari Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-10T12:17:29.832844
2026041003002184,GUFL,42,5,25,540.0,13500.0,Sani Securities Company Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-10T12:17:29.832923
2026041003002577,GUFL,42,58,25,540.0,13500.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:23:28.099896
2026041003002578,GUFL,28,58,30,540.0,16200.0,Shree Krishna Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:23:28.099976
2026041003002579,GUFL,49,58,45,540.0,24300.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:23:28.100015
2026041003002667,GUFL,44,48,400,542.6,217040.0,Dynamic Money Managers Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-10T12:24:46.062052
2026041003002690,GUFL,49,16,100,540.0,54000.0,Online Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-10T12:25:06.954101
2026041003002813,GUFL,44,49,50,540.1,27005.0,Dynamic Money Managers Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T12:27:50.100834
2026041003002814,GUFL,49,49,100,540.0,54000.0,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T12:27:50.100951
2026041003002835,GUFL,49,57,200,540.0,108000.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-10T12:28:15.273835
2026041003002940,GUFL,49,42,55,540.0,29700.0,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T12:29:53.850891
