contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041004000020,HURJA,92,77,10,274.4,2744.0,Roadshow securities limited,Nabil Stock Dealer Ltd.,2026-04-10T10:46:00.060668
2026041004000141,HURJA,13,52,100,279.8,27980.0,Thrive Brokerage House Pvt. Ltd,Sundhara Securities Limited,2026-04-10T11:01:56.422485
2026041004000154,HURJA,48,52,900,279.8,251820.0,Trishakti Securities Public Limited,Sundhara Securities Limited,2026-04-10T11:02:06.916984
2026041004000187,HURJA,57,58,362,285.0,103170.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-10T11:02:35.233615
2026041004000247,HURJA,7,77,10,282.0,2820.0,J.F. Securites (PVT) Ltd.,Nabil Stock Dealer Ltd.,2026-04-10T11:03:12.616179
2026041004000282,HURJA,42,34,50,284.9,14245.0,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-04-10T11:03:31.215188
2026041004000283,HURJA,42,43,50,285.0,14250.0,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-10T11:03:31.21528
2026041004000308,HURJA,54,6,200,284.0,56800.0,Sewa Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-10T11:03:57.36014
2026041004000330,HURJA,17,43,50,285.0,14250.0,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,2026-04-10T11:04:24.899848
2026041004000331,HURJA,17,59,100,285.0,28500.0,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-10T11:04:24.900038
2026041004000346,HURJA,17,59,100,285.0,28500.0,ABC Securities Private Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-10T11:04:37.307269
2026041004000354,HURJA,17,44,750,285.0,213750.0,ABC Securities Private Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-10T11:04:42.590862
2026041004000355,HURJA,13,44,250,283.1,70775.0,Thrive Brokerage House Pvt. Ltd,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-10T11:04:42.591028
2026041004000506,HURJA,13,34,50,283.1,14155.0,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-10T11:06:20.914963
2026041004000507,HURJA,62,34,150,283.1,42465.0,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,2026-04-10T11:06:20.915062
2026041004000508,HURJA,62,34,340,283.0,96220.0,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,2026-04-10T11:06:20.915108
2026041004000572,HURJA,62,77,500,283.0,141500.0,Capital Max Securities Ltd,Nabil Stock Dealer Ltd.,2026-04-10T11:06:51.18343
2026041004000617,HURJA,48,42,150,284.0,42600.0,Trishakti Securities Public Limited,Sani Securities Company Ltd.,2026-04-10T11:07:16.895558
2026041004000618,HURJA,48,80,30,284.0,8520.0,Trishakti Securities Public Limited,Indira securities pvt. ltd,2026-04-10T11:07:16.895622
2026041004000628,HURJA,48,34,10,284.9,2849.0,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,2026-04-10T11:07:20.184124
2026041004000642,HURJA,35,45,50,283.1,14155.0,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:07:31.26886
2026041004000654,HURJA,48,34,10,284.9,2849.0,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,2026-04-10T11:07:40.149857
2026041004000697,HURJA,35,60,274,283.1,77569.4,Kohinoor Investment & Securities Pvt. Ltd.,Nagarik Stock Dealer ,2026-04-10T11:08:02.190487
2026041004000698,HURJA,58,60,30,283.1,8493.0,Naasa Securities Co. Ltd.,Nagarik Stock Dealer ,2026-04-10T11:08:02.190695
2026041004000699,HURJA,62,60,96,283.0,27168.0,Capital Max Securities Ltd,Nagarik Stock Dealer ,2026-04-10T11:08:02.190849
2026041004000737,HURJA,48,34,10,284.9,2849.0,Trishakti Securities Public Limited,Vision Securities Pvt. Ltd,2026-04-10T11:08:25.51583
