contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,price,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041003000080,RLFL,57,45,10,463.8,4638.0,2026-04-10,185888679,587,Aryatara Investment & Securities,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:03:13.147115,Reliance Finance Ltd.
2026041003000463,RLFL,16,22,1000,456.0,456000.0,2026-04-10,185905538,587,Primo Securities (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-10T11:21:30.479816,Reliance Finance Ltd.
2026041003000512,RLFL,36,3,25,455.0,11375.0,2026-04-10,185907725,587,Secured Securities Ltd.,Arun Securities (PVT) Ltd.,2026-04-10T11:23:39.28052,Reliance Finance Ltd.
2026041003000513,RLFL,45,3,25,455.0,11375.0,2026-04-10,185907726,587,Imperial Securities Company Pvt. Ltd.,Arun Securities (PVT) Ltd.,2026-04-10T11:23:39.280598,Reliance Finance Ltd.
2026041003000518,RLFL,45,41,75,455.0,34125.0,2026-04-10,185907901,587,Imperial Securities Company Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-10T11:23:50.013822,Reliance Finance Ltd.
2026041003000520,RLFL,58,57,200,454.7,90940.0,2026-04-10,185907961,587,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-10T11:23:53.699995,Reliance Finance Ltd.
2026041003000521,RLFL,21,57,300,454.7,136410.0,2026-04-10,185907963,587,Midas Stock Broking Company Private Limited,Aryatara Investment & Securities,2026-04-10T11:23:53.700174,Reliance Finance Ltd.
2026041003000541,RLFL,21,77,1500,454.7,682050.0,2026-04-10,185908340,587,Midas Stock Broking Company Private Limited,Nabil Stock Dealer Ltd.,2026-04-10T11:24:17.879269,Reliance Finance Ltd.
2026041003000545,RLFL,21,41,125,454.7,56837.5,2026-04-10,185908370,587,Midas Stock Broking Company Private Limited,Linch Stock Market Ltd.,2026-04-10T11:24:19.606486,Reliance Finance Ltd.
2026041003000550,RLFL,21,33,75,454.7,34102.5,2026-04-10,185908477,587,Midas Stock Broking Company Private Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-10T11:24:25.842945,Reliance Finance Ltd.
2026041003001345,RLFL,8,49,10,454.0,4540.0,2026-04-10,186063751,587,Brilliant Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T11:58:39.115,Reliance Finance Ltd.
2026041003001403,RLFL,49,59,2,450.0,900.0,2026-04-10,186074009,587,Online Securities Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-10T12:00:53.024,Reliance Finance Ltd.
2026041003001415,RLFL,49,49,10,454.0,4540.0,2026-04-10,186073955,587,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-10T12:01:20.431,Reliance Finance Ltd.
2026041003001523,RLFL,17,49,10,454.0,4540.0,2026-04-10,185922821,587,ABC Securities Private Limited,Online Securities Pvt. Ltd.,2026-04-10T12:05:43.272189,Reliance Finance Ltd.
2026041003001546,RLFL,57,32,500,454.0,227000.0,2026-04-10,185923228,587,Aryatara Investment & Securities,Premier Securities Company Ltd.,2026-04-10T12:06:16.740169,Reliance Finance Ltd.
2026041003001559,RLFL,57,62,10,458.0,4580.0,2026-04-10,185923362,587,Aryatara Investment & Securities,Capital Max Securities Ltd,2026-04-10T12:06:28.949738,Reliance Finance Ltd.
2026041003001899,RLFL,57,25,50,453.0,22650.0,2026-04-10,185929949,587,Aryatara Investment & Securities,Sweta Securities Private Limited,2026-04-10T12:13:27.879967,Reliance Finance Ltd.
2026041003002054,RLFL,42,62,50,452.3,22615.0,2026-04-10,185932364,587,Sani Securities Company Ltd.,Capital Max Securities Ltd,2026-04-10T12:15:41.604334,Reliance Finance Ltd.
2026041003002087,RLFL,95,62,100,452.2,45220.0,2026-04-10,185932960,587,Magnet Securities and Investment Company Private Limited,Capital Max Securities Ltd,2026-04-10T12:16:11.856297,Reliance Finance Ltd.
2026041003002310,RLFL,42,62,50,450.1,22505.0,2026-04-10,185937308,587,Sani Securities Company Ltd.,Capital Max Securities Ltd,2026-04-10T12:19:50.248258,Reliance Finance Ltd.
2026041003002311,RLFL,51,62,30,450.0,13500.0,2026-04-10,185937309,587,Oxford Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-10T12:19:50.248354,Reliance Finance Ltd.
2026041003002328,RLFL,51,26,70,450.0,31500.0,2026-04-10,185937572,587,Oxford Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-10T12:20:03.003874,Reliance Finance Ltd.
2026041003002329,RLFL,16,26,430,450.0,193500.0,2026-04-10,185937573,587,Primo Securities (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-10T12:20:03.00407,Reliance Finance Ltd.
2026041003002386,RLFL,42,74,100,450.1,45010.0,2026-04-10,185938700,587,Sani Securities Company Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-10T12:20:57.337527,Reliance Finance Ltd.
2026041003002387,RLFL,16,74,570,450.0,256500.0,2026-04-10,185938702,587,Primo Securities (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-10T12:20:57.337706,Reliance Finance Ltd.
2026041003002459,RLFL,49,52,100,448.1,44810.0,2026-04-10,185940453,587,Online Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-10T12:22:10.098413,Reliance Finance Ltd.
2026041003002479,RLFL,49,14,100,448.1,44810.0,2026-04-10,185940567,587,Online Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-10T12:22:13.184469,Reliance Finance Ltd.
2026041003002543,RLFL,49,58,100,448.1,44810.0,2026-04-10,185941566,587,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:23:02.433383,Reliance Finance Ltd.
2026041003002735,RLFL,51,47,3,439.2,1317.6,2026-04-10,185945503,587,Oxford Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-10T12:26:05.365599,Reliance Finance Ltd.
2026041003002767,RLFL,57,58,100,448.1,44810.0,2026-04-10,185946278,587,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-10T12:26:48.970256,Reliance Finance Ltd.
2026041003002946,RLFL,14,57,100,449.9,44990.0,2026-04-10,185949607,587,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,2026-04-10T12:29:57.121676,Reliance Finance Ltd.
2026041003002947,RLFL,14,74,330,450.0,148500.0,2026-04-10,185949609,587,Nepal Stock House (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-10T12:29:57.12172,Reliance Finance Ltd.
2026041003002948,RLFL,14,41,60,450.0,27000.0,2026-04-10,185949612,587,Nepal Stock House (PVT) Ltd.,Linch Stock Market Ltd.,2026-04-10T12:29:57.121741,Reliance Finance Ltd.
2026041003003147,RLFL,38,58,50,450.0,22500.0,2026-04-10,185954108,587,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:36:01.532917,Reliance Finance Ltd.
2026041003003148,RLFL,34,58,50,450.0,22500.0,2026-04-10,185954110,587,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-10T12:36:01.533037,Reliance Finance Ltd.
2026041003003164,RLFL,22,58,700,450.0,315000.0,2026-04-10,185954576,587,Siprabi Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:36:51.826492,Reliance Finance Ltd.
2026041003003337,RLFL,45,58,20,450.0,9000.0,2026-04-10,185958598,587,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-10T12:41:16.61286,Reliance Finance Ltd.
2026041003003442,RLFL,57,54,100,449.0,44900.0,2026-04-10,185960637,587,Aryatara Investment & Securities,Sewa Securities Pvt. Ltd.,2026-04-10T12:44:41.493335,Reliance Finance Ltd.
