contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041003000121,SFCL,37,69,10,409.0,4090.0,2026-04-10,185890491,256,Swarna Laxmi Securities Pvt. Ltd.,INDEX SECURITIES LIMITED,2026-04-10T11:05:27.400967,Samriddhi Finance Company Limited
2026041003000238,SFCL,33,57,70,396.0,27720.0,2026-04-10,185896854,256,Dakshinkali Investment & Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-10T11:12:13.991645,Samriddhi Finance Company Limited
2026041003000694,SFCL,58,41,20,402.0,8040.0,2026-04-10,185913666,256,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-04-10T11:29:01.298364,Samriddhi Finance Company Limited
2026041003000728,SFCL,38,46,100,403.0,40300.0,2026-04-10,185915355,256,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kalika Securities Pvt. Ltd.,2026-04-10T11:30:04.56895,Samriddhi Finance Company Limited
2026041003000881,SFCL,58,47,230,402.0,92460.0,2026-04-10,186078470,256,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-10T11:36:07.984,Samriddhi Finance Company Limited
2026041003000964,SFCL,39,45,100,400.0,40000.0,2026-04-10,186071540,256,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-10T11:39:30.682,Samriddhi Finance Company Limited
2026041003001249,SFCL,59,58,10,398.0,3980.0,2026-04-10,186078784,256,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-10T11:53:50.577,Samriddhi Finance Company Limited
2026041003001318,SFCL,59,58,20,398.0,7960.0,2026-04-10,186078757,256,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-10T11:57:29.451,Samriddhi Finance Company Limited
2026041003001474,SFCL,48,35,50,397.1,19855.0,2026-04-10,185921590,256,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-10T12:03:55.486306,Samriddhi Finance Company Limited
2026041003001475,SFCL,21,35,40,397.0,15880.0,2026-04-10,185921592,256,Midas Stock Broking Company Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-10T12:03:55.486435,Samriddhi Finance Company Limited
2026041003001476,SFCL,14,35,785,397.0,311645.0,2026-04-10,185921593,256,Nepal Stock House (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-10T12:03:55.486531,Samriddhi Finance Company Limited
2026041003002115,SFCL,14,57,215,397.0,85355.0,2026-04-10,185933234,256,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,2026-04-10T12:16:25.680803,Samriddhi Finance Company Limited
2026041003002116,SFCL,7,57,20,397.0,7940.0,2026-04-10,185933236,256,J.F. Securites (PVT) Ltd.,Aryatara Investment & Securities,2026-04-10T12:16:25.680838,Samriddhi Finance Company Limited
2026041003002117,SFCL,22,57,171,396.3,67767.3,2026-04-10,185933237,256,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-10T12:16:25.680866,Samriddhi Finance Company Limited
2026041003003401,SFCL,49,43,10,396.5,3965.0,2026-04-10,185960084,256,Online Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-10T12:43:50.500775,Samriddhi Finance Company Limited
2026041003003402,SFCL,22,43,90,396.3,35667.0,2026-04-10,185960086,256,Siprabi Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-10T12:43:50.500897,Samriddhi Finance Company Limited
2026041003003403,SFCL,58,43,200,396.3,79260.0,2026-04-10,185960087,256,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-10T12:43:50.500937,Samriddhi Finance Company Limited
2026041003003451,SFCL,58,36,80,396.3,31704.0,2026-04-10,185960689,256,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-10T12:44:46.558928,Samriddhi Finance Company Limited
2026041003003527,SFCL,21,11,40,398.0,15920.0,2026-04-10,185962128,256,Midas Stock Broking Company Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-10T12:47:38.730695,Samriddhi Finance Company Limited
2026041003003578,SFCL,21,11,40,398.0,15920.0,2026-04-10,185963154,256,Midas Stock Broking Company Private Limited,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-10T12:49:17.672118,Samriddhi Finance Company Limited
2026041003003971,SFCL,49,42,232,397.5,92220.0,2026-04-10,185973546,256,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T13:10:58.505184,Samriddhi Finance Company Limited
2026041003004056,SFCL,19,42,200,397.5,79500.0,2026-04-10,185975552,256,Nepal Investment And Securities Trading Private Limited,Sani Securities Company Ltd.,2026-04-10T13:15:32.133946,Samriddhi Finance Company Limited
2026041003004215,SFCL,45,42,80,397.5,31800.0,2026-04-10,185980210,256,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-10T13:24:25.78948,Samriddhi Finance Company Limited
2026041003004504,SFCL,58,42,478,397.5,190005.0,2026-04-10,185985812,256,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-10T13:31:49.138479,Samriddhi Finance Company Limited
2026041003004538,SFCL,58,11,420,398.0,167160.0,2026-04-10,185985974,256,Naasa Securities Co. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-10T13:32:01.923641,Samriddhi Finance Company Limited
2026041003004939,SFCL,45,45,50,401.0,20050.0,2026-04-10,185994168,256,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-10T13:46:00.575844,Samriddhi Finance Company Limited
