contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041304000010,BARUN,49,57,10,375.1,3751.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-13 10:46:00.031509
2026041304000218,BARUN,42,57,10,368.0,3680.0,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-13 11:02:37.284115
2026041304000317,BARUN,42,50,10,368.0,3680.0,Sani Securities Company Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:03:55.269125
2026041304000318,BARUN,33,50,37,367.8,13608.6,Dakshinkali Investment & Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:03:55.269205
2026041304000525,BARUN,37,57,150,369.0,55350.0,Swarna Laxmi Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-13 11:06:04.552893
2026041304000583,BARUN,37,81,103,370.0,38110.0,Swarna Laxmi Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-13 11:06:53.461925
2026041304000584,BARUN,37,22,497,370.0,183890.0,Swarna Laxmi Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:06:53.462029
2026041304000683,BARUN,33,17,19,372.0,7068.0,Dakshinkali Investment & Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-13 11:08:07.684079
2026041304000684,BARUN,33,40,444,372.0,165168.0,Dakshinkali Investment & Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:08:07.684283
2026041304000797,BARUN,19,7,11,368.0,4048.0,Nepal Investment And Securities Trading Private Limited,J.F. Securites (PVT) Ltd.,2026-04-13 11:09:13.085131
2026041304001950,BARUN,19,34,10,370.1,3701.0,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,2026-04-13 11:19:59.803235
2026041304002089,BARUN,58,48,10,371.0,3710.0,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:21:04.208561
2026041304002111,BARUN,19,34,90,370.1,33309.0,Nepal Investment And Securities Trading Private Limited,Vision Securities Pvt. Ltd,2026-04-13 11:21:18.221719
2026041304002112,BARUN,17,34,500,370.1,185050.0,ABC Securities Private Limited,Vision Securities Pvt. Ltd,2026-04-13 11:21:18.221958
2026041304002113,BARUN,36,34,410,370.0,151700.0,Secured Securities Ltd.,Vision Securities Pvt. Ltd,2026-04-13 11:21:18.222134
2026041304002163,BARUN,36,58,90,370.0,33300.0,Secured Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:21:51.453611
2026041304002221,BARUN,17,58,10,369.3,3693.0,ABC Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-13 11:22:17.515405
2026041304002229,BARUN,8,21,1000,372.0,372000.0,Brilliant Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 11:22:23.823931
2026041304002299,BARUN,58,21,40,372.0,14880.0,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 11:23:06.061328
2026041304002833,BARUN,19,48,175,369.7,64697.5,Nepal Investment And Securities Trading Private Limited,Trishakti Securities Public Limited,2026-04-13 11:27:40.268888
2026041304002843,BARUN,19,66,125,369.7,46212.5,Nepal Investment And Securities Trading Private Limited,Miyo Securities Pvt Ltd,2026-04-13 11:27:54.019329
2026041304002844,BARUN,17,66,375,369.6,138600.0,ABC Securities Private Limited,Miyo Securities Pvt Ltd,2026-04-13 11:27:54.019508
2026041304002854,BARUN,17,72,100,369.6,36960.0,ABC Securities Private Limited,Hatemalo Financial Services Private Limited,2026-04-13 11:28:01.153990
2026041304003022,BARUN,17,95,15,369.6,5544.0,ABC Securities Private Limited,Magnet Securities and Investment Company Private Limited,2026-04-13 11:29:34.810792
2026041304003023,BARUN,42,95,10,369.4,3694.0,Sani Securities Company Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-13 11:29:34.811090
2026041304003024,BARUN,6,95,200,369.0,73800.0,Agrawal Securities (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-13 11:29:34.811283
2026041304003025,BARUN,101,95,16,369.0,5904.0,APPLE SECURITIES PRIVATE LIMITED,Magnet Securities and Investment Company Private Limited,2026-04-13 11:29:34.811547
2026041304003209,BARUN,74,19,100,368.6,36860.0,KALASH STOCK MARKET PVT. LTD.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:31:47.807405
2026041304003241,BARUN,48,58,415,368.5,152927.5,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-13 11:32:17.895044
2026041304003302,BARUN,48,19,85,368.5,31322.5,Trishakti Securities Public Limited,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:33:03.158860
2026041304003303,BARUN,62,19,338,368.5,124553.0,Capital Max Securities Ltd,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:33:03.159135
2026041304003339,BARUN,62,95,162,368.5,59697.0,Capital Max Securities Ltd,Magnet Securities and Investment Company Private Limited,2026-04-13 11:33:29.630080
2026041304003570,BARUN,33,95,57,368.2,20987.4,Dakshinkali Investment & Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-13 11:35:43.269621
2026041304003593,BARUN,50,42,20,368.6,7372.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:35:59.266641
2026041304003700,BARUN,54,58,15,369.0,5535.0,Sewa Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:37:27.517979
2026041304003772,BARUN,6,16,200,368.4,73680.0,Agrawal Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:38:22.459909
2026041304003820,BARUN,50,39,547,368.5,201569.5,Cristal Kanchanjanga Securites Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:39:10.112149
2026041304003821,BARUN,19,58,85,369.0,31365.0,Nepal Investment And Securities Trading Private Limited,Naasa Securities Co. Ltd.,2026-04-13 11:39:11.202264
2026041304003846,BARUN,50,38,10,370.4,3704.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:39:34.097803
2026041304003945,BARUN,5,40,150,369.2,55380.0,Market Securities & Exchange (PVT) Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:40:40.586266
2026041304003946,BARUN,13,40,100,369.2,36920.0,Thrive Brokerage House Pvt. Ltd,Creative Securities Pvt Ltd,2026-04-13 11:40:40.586569
2026041304003947,BARUN,33,40,443,369.1,163511.3,Dakshinkali Investment & Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:40:40.586759
2026041304004104,BARUN,77,40,100,369.1,36910.0,Nabil Stock Dealer Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:41:21.199558
2026041304004111,BARUN,19,19,214,369.0,78966.0,Nepal Investment And Securities Trading Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:41:26.935608
2026041304004130,BARUN,19,40,190,369.0,70110.0,Nepal Investment And Securities Trading Private Limited,Creative Securities Pvt Ltd,2026-04-13 11:41:42.400449
2026041304004243,BARUN,35,40,17,369.0,6273.0,Kohinoor Investment & Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:43:08.332124
2026041304004244,BARUN,35,50,13,369.0,4797.0,Kohinoor Investment & Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:43:08.332325
2026041304004433,BARUN,35,25,970,370.0,358900.0,Kohinoor Investment & Securities Pvt. Ltd.,Sweta Securities Private Limited,2026-04-13 11:45:11.406965
2026041304004489,BARUN,21,25,10,370.0,3700.0,Midas Stock Broking Company Private Limited,Sweta Securities Private Limited,2026-04-13 11:45:31.685809
2026041304004660,BARUN,50,25,20,369.5,7390.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Sweta Securities Private Limited,2026-04-13 11:47:19.800100
2026041304004858,BARUN,36,72,100,370.9,37090.0,Secured Securities Ltd.,Hatemalo Financial Services Private Limited,2026-04-13 11:49:00.121395
2026041304004859,BARUN,36,11,10,371.0,3710.0,Secured Securities Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-13 11:49:00.121584
2026041304004860,BARUN,36,57,400,371.0,148400.0,Secured Securities Ltd.,Aryatara Investment & Securities,2026-04-13 11:49:00.121653
2026041304004861,BARUN,36,58,13,371.0,4823.0,Secured Securities Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:49:00.121716
2026041304004984,BARUN,59,57,300,371.9,111570.0,Deevyaa Securities & Stock House Pvt. Ltd,Aryatara Investment & Securities,2026-04-13 11:49:40.864469
2026041304005036,BARUN,62,5,47,372.0,17484.0,Capital Max Securities Ltd,Market Securities & Exchange (PVT) Ltd.,2026-04-13 11:50:12.009177
2026041304005037,BARUN,62,58,65,372.0,24180.0,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:50:12.009345
2026041304005038,BARUN,62,42,125,372.0,46500.0,Capital Max Securities Ltd,Sani Securities Company Ltd.,2026-04-13 11:50:12.009416
