contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041303000020,BFC,58,34,30,468.0,14040.0,Naasa Securities Co. Ltd.,Vision Securities Pvt. Ltd,2026-04-13 11:02:18.493912
2026041303000223,BFC,59,34,10,468.0,4680.0,Deevyaa Securities & Stock House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-13 11:15:24.280268
2026041303000224,BFC,59,58,90,468.0,42120.0,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:15:24.280406
2026041303000311,BFC,54,58,10,468.0,4680.0,Sewa Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:18:24.545438
2026041303000312,BFC,54,48,390,469.0,182910.0,Sewa Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:18:24.545570
2026041303000397,BFC,16,48,10,469.0,4690.0,Primo Securities (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-13 11:23:05.491386
2026041303000398,BFC,16,58,59,469.0,27671.0,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:23:05.491505
2026041303000399,BFC,16,94,131,470.0,61570.0,Primo Securities (PVT) Ltd.,K.B.L. Securities Limited ,2026-04-13 11:23:05.491595
2026041303000506,BFC,35,49,20,470.0,9400.0,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:27:10.755769
2026041303000539,BFC,63,64,55,467.1,25690.5,Himalayan Brokerage Company Limited,SUN SECURITIES PVT LTD,2026-04-13 11:28:33.295242
2026041303000540,BFC,45,64,500,466.1,233050.0,Imperial Securities Company Pvt. Ltd.,SUN SECURITIES PVT LTD,2026-04-13 11:28:33.295366
2026041303000541,BFC,57,64,200,466.0,93200.0,Aryatara Investment & Securities,SUN SECURITIES PVT LTD,2026-04-13 11:28:33.295468
2026041303000542,BFC,54,64,232,465.5,107996.0,Sewa Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,2026-04-13 11:28:33.295551
2026041303000779,BFC,63,38,105,465.7,48898.5,Himalayan Brokerage Company Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132152
2026041303000780,BFC,54,38,198,465.5,92169.0,Sewa Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132228
2026041303000781,BFC,45,38,200,465.0,93000.0,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132264
2026041303000782,BFC,42,38,20,465.0,9300.0,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132297
2026041303000783,BFC,50,38,10,465.0,4650.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132324
2026041303000784,BFC,48,38,37,465.0,17205.0,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-13 11:40:58.132355
2026041303001193,BFC,17,64,500,466.0,233000.0,ABC Securities Private Limited,SUN SECURITIES PVT LTD,2026-04-13 11:56:40.733223
2026041303001227,BFC,58,36,50,468.0,23400.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-13 11:58:04.329308
2026041303001461,BFC,42,58,10,466.0,4660.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 12:08:53.771301
2026041303001467,BFC,42,58,11,466.0,5126.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 12:09:05.596628
2026041303001475,BFC,42,58,15,466.0,6990.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 12:09:29.936463
2026041303001712,BFC,58,64,17,467.9,7954.3,Naasa Securities Co. Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:18:27.256157
2026041303001837,BFC,16,64,65,467.9,30413.5,Primo Securities (PVT) Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:21:50.421902
2026041303001878,BFC,41,64,100,467.9,46790.0,Linch Stock Market Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:23:28.069867
2026041303001905,BFC,42,58,10,466.5,4665.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 12:24:12.526034
2026041303001920,BFC,42,58,220,466.5,102630.0,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-13 12:24:45.542505
2026041303001961,BFC,57,58,780,466.5,363870.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-13 12:26:06.123806
2026041303002049,BFC,58,64,10,467.9,4679.0,Naasa Securities Co. Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:28:37.372568
2026041303002075,BFC,7,64,41,467.9,19183.9,J.F. Securites (PVT) Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:29:38.349921
2026041303002103,BFC,58,36,10,468.0,4680.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-13 12:30:57.971140
2026041303002222,BFC,6,36,200,467.0,93400.0,Agrawal Securities (PVT) Ltd.,Secured Securities Ltd.,2026-04-13 12:35:27.992586
2026041303002368,BFC,58,64,120,467.9,56148.0,Naasa Securities Co. Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:40:06.415128
2026041303002390,BFC,5,64,113,467.9,52872.7,Market Securities & Exchange (PVT) Ltd.,SUN SECURITIES PVT LTD,2026-04-13 12:41:00.076006
2026041303002391,BFC,5,36,387,468.0,181116.0,Market Securities & Exchange (PVT) Ltd.,Secured Securities Ltd.,2026-04-13 12:41:00.076121
2026041303002460,BFC,22,36,53,468.0,24804.0,Siprabi Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-13 12:43:03.183839
2026041303002559,BFC,22,36,32,468.0,14976.0,Siprabi Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-13 12:46:12.817755
2026041303002560,BFC,5,36,200,468.0,93600.0,Market Securities & Exchange (PVT) Ltd.,Secured Securities Ltd.,2026-04-13 12:46:12.817874
2026041303002585,BFC,5,36,300,467.2,140160.0,Market Securities & Exchange (PVT) Ltd.,Secured Securities Ltd.,2026-04-13 12:46:46.044795
2026041303002593,BFC,48,36,40,467.2,18688.0,Trishakti Securities Public Limited,Secured Securities Ltd.,2026-04-13 12:47:26.094748
2026041303002641,BFC,58,36,50,467.1,23355.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-13 12:49:04.341917
2026041303002760,BFC,6,21,50,467.0,23350.0,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 12:53:28.625297
2026041303002858,BFC,6,21,250,467.0,116750.0,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 12:55:39.336618
2026041303002859,BFC,58,21,150,467.0,70050.0,Naasa Securities Co. Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 12:55:39.336735
2026041303002906,BFC,41,21,100,467.0,46700.0,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 12:57:21.008668
2026041303003190,BFC,42,36,100,467.1,46710.0,Sani Securities Company Ltd.,Secured Securities Ltd.,2026-04-13 13:08:54.386922
2026041303003325,BFC,58,36,140,467.1,65394.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-13 13:13:12.049421
2026041303003334,BFC,42,42,50,467.0,23350.0,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-13 13:13:43.029685
2026041303003335,BFC,42,81,414,467.0,193338.0,Sani Securities Company Ltd.,Aakashbhairab Securities Ltd.,2026-04-13 13:13:44.167866
2026041303003336,BFC,25,81,37,467.0,17279.0,Sweta Securities Private Limited,Aakashbhairab Securities Ltd.,2026-04-13 13:13:44.168087
2026041303003343,BFC,58,81,40,467.0,18680.0,Naasa Securities Co. Ltd.,Aakashbhairab Securities Ltd.,2026-04-13 13:14:06.075291
2026041303003384,BFC,58,36,10,467.1,4671.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-13 13:15:40.064576
