contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041301000259,CZBIL,57,34,10,211.0,2110.0,2026-04-13,186083363,348,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-13 11:00:59.705926,Citizens Bank International Limited
2026041301001249,CZBIL,59,58,50,209.0,10450.0,2026-04-13,186086164,348,Deevyaa Securities & Stock House Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:03:25.053241,Citizens Bank International Limited
2026041301001250,CZBIL,58,58,370,209.0,77330.0,2026-04-13,186086165,348,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:03:25.053363,Citizens Bank International Limited
2026041301001780,CZBIL,70,83,1915,210.0,402150.0,2026-04-13,186087845,348,Infinity Securities Limited,Sanima Securities Limited,2026-04-13 11:04:51.251760,Citizens Bank International Limited
2026041301002091,CZBIL,70,4,85,210.0,17850.0,2026-04-13,186088876,348,Infinity Securities Limited,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:05:39.608956,Citizens Bank International Limited
2026041301002092,CZBIL,58,4,24,209.0,5016.0,2026-04-13,186088877,348,Naasa Securities Co. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:05:39.609065,Citizens Bank International Limited
2026041301005374,CZBIL,45,16,22,209.3,4604.6,2026-04-13,186098194,348,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:12:32.039378,Citizens Bank International Limited
2026041301005375,CZBIL,45,16,100,209.2,20920.0,2026-04-13,186098196,348,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:12:32.039545,Citizens Bank International Limited
2026041301005376,CZBIL,45,16,300,209.1,62730.0,2026-04-13,186098198,348,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:12:32.039642,Citizens Bank International Limited
2026041301005377,CZBIL,34,16,66,209.1,13800.6,2026-04-13,186098199,348,Vision Securities Pvt. Ltd,Primo Securities (PVT) Ltd.,2026-04-13 11:12:32.039733,Citizens Bank International Limited
2026041301005519,CZBIL,42,22,200,210.0,42000.0,2026-04-13,186098654,348,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:12:56.467900,Citizens Bank International Limited
2026041301005588,CZBIL,58,94,606,209.0,126654.0,2026-04-13,186098894,348,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:13:09.681955,Citizens Bank International Limited
2026041301005589,CZBIL,45,94,200,209.0,41800.0,2026-04-13,186098896,348,Imperial Securities Company Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:13:09.681995,Citizens Bank International Limited
2026041301005590,CZBIL,43,94,194,209.0,40546.0,2026-04-13,186098897,348,South Asian Bulls Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:13:09.682030,Citizens Bank International Limited
2026041301006000,CZBIL,42,94,100,209.1,20910.0,2026-04-13,186100288,348,Sani Securities Company Ltd.,K.B.L. Securities Limited ,2026-04-13 11:14:41.518782,Citizens Bank International Limited
2026041301006001,CZBIL,45,94,100,209.1,20910.0,2026-04-13,186100290,348,Imperial Securities Company Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:14:41.518923,Citizens Bank International Limited
2026041301006002,CZBIL,43,94,306,209.0,63954.0,2026-04-13,186100292,348,South Asian Bulls Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:14:41.519051,Citizens Bank International Limited
2026041301006003,CZBIL,51,94,10,209.0,2090.0,2026-04-13,186100294,348,Oxford Securities Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:14:41.519132,Citizens Bank International Limited
2026041301006004,CZBIL,57,94,60,209.0,12540.0,2026-04-13,186100296,348,Aryatara Investment & Securities,K.B.L. Securities Limited ,2026-04-13 11:14:41.519203,Citizens Bank International Limited
2026041301006005,CZBIL,49,94,424,209.0,88616.0,2026-04-13,186100297,348,Online Securities Pvt. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:14:41.519273,Citizens Bank International Limited
2026041301006017,CZBIL,42,22,100,210.0,21000.0,2026-04-13,186100338,348,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:14:43.862953,Citizens Bank International Limited
2026041301006816,CZBIL,91,22,20,210.0,4200.0,2026-04-13,186103542,348,Citizens Share Broker Limited,Siprabi Securities Pvt. Ltd.,2026-04-13 11:17:42.037636,Citizens Bank International Limited
2026041301006969,CZBIL,79,22,50,210.0,10500.0,2026-04-13,186104178,348,pahiinvestment,Siprabi Securities Pvt. Ltd.,2026-04-13 11:18:14.299328,Citizens Bank International Limited
2026041301007805,CZBIL,62,22,630,210.0,132300.0,2026-04-13,186107535,348,Capital Max Securities Ltd,Siprabi Securities Pvt. Ltd.,2026-04-13 11:21:44.093430,Citizens Bank International Limited
2026041301007806,CZBIL,62,94,1500,210.0,315000.0,2026-04-13,186107537,348,Capital Max Securities Ltd,K.B.L. Securities Limited ,2026-04-13 11:21:44.093598,Citizens Bank International Limited
2026041301007807,CZBIL,62,58,1000,210.0,210000.0,2026-04-13,186107539,348,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:21:44.093695,Citizens Bank International Limited
2026041301007808,CZBIL,62,45,13,210.0,2730.0,2026-04-13,186107541,348,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:21:44.093789,Citizens Bank International Limited
2026041301008153,CZBIL,62,58,45,210.0,9450.0,2026-04-13,186108887,348,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:23:10.774193,Citizens Bank International Limited
2026041301008306,CZBIL,62,18,5000,210.0,1050000.0,2026-04-13,186109621,348,Capital Max Securities Ltd,Sagarmatha Securities Private Limited,2026-04-13 11:24:02.289917,Citizens Bank International Limited
2026041301009397,CZBIL,44,67,15,211.0,3165.0,2026-04-13,186114392,348,Dynamic Money Managers Securities Pvt. Ltd.,Property Wiard Limited,2026-04-13 11:28:59.079697,Citizens Bank International Limited
2026041301010787,CZBIL,49,81,100,210.1,21010.0,2026-04-13,186119798,348,Online Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-13 11:35:28.918055,Citizens Bank International Limited
2026041301010912,CZBIL,62,48,60,210.0,12600.0,2026-04-13,186120573,348,Capital Max Securities Ltd,Trishakti Securities Public Limited,2026-04-13 11:36:23.144779,Citizens Bank International Limited
2026041301011044,CZBIL,62,58,24,210.0,5040.0,2026-04-13,186121031,348,Capital Max Securities Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:36:59.165758,Citizens Bank International Limited
2026041301011047,CZBIL,22,81,802,210.1,168500.2,2026-04-13,186121088,348,Siprabi Securities Pvt. Ltd.,Aakashbhairab Securities Ltd.,2026-04-13 11:37:00.682352,Citizens Bank International Limited
