contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041301001436,NMB,42,19,10,252.0,2520.0,Sani Securities Company Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:03:50.331714
2026041301001462,NMB,58,65,10,254.0,2540.0,Naasa Securities Co. Ltd.,Sharepro Securities Private Limited,2026-04-13 11:03:56.541348
2026041301006979,NMB,100,58,10,250.0,2500.0,Sunrise Securities Limited,Naasa Securities Co. Ltd.,2026-04-13 11:18:17.743687
2026041301007848,NMB,76,19,10,252.0,2520.0,Machhapuchchhre Securities Limited,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:21:46.810302
2026041301007916,NMB,43,25,231,249.1,57542.1,South Asian Bulls Pvt. Ltd.,Sweta Securities Private Limited,2026-04-13 11:22:13.149164
2026041301008032,NMB,76,13,10,252.0,2520.0,Machhapuchchhre Securities Limited,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:22:40.714398
2026041301008960,NMB,49,1,19,249.2,4734.8,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-13 11:26:55.630315
2026041301009060,NMB,49,58,10,249.2,2492.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:27:24.651660
2026041301010088,NMB,49,58,10,249.2,2492.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:32:24.840873
2026041301010214,NMB,34,58,20,250.0,5000.0,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-04-13 11:33:11.453156
2026041301010833,NMB,33,58,261,250.0,65250.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:35:45.281488
2026041301010834,NMB,33,34,35,250.0,8750.0,Dakshinkali Investment & Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-13 11:35:45.281635
2026041301010856,NMB,76,13,10,252.0,2520.0,Machhapuchchhre Securities Limited,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:35:55.269075
2026041301011410,NMB,11,34,50,249.5,12475.0,Malla & Malla Stock Broking Company Pvt. Limited,Vision Securities Pvt. Ltd,2026-04-13 11:38:51.771431
2026041301012436,NMB,29,13,10,252.0,2520.0,Trisul Securities & Invt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:43:51.456355
2026041301012748,NMB,32,13,170,252.0,42840.0,Premier Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:45:41.937970
2026041301013032,NMB,76,34,10,253.0,2530.0,Machhapuchchhre Securities Limited,Vision Securities Pvt. Ltd,2026-04-13 11:47:12.405280
2026041301013229,NMB,32,16,30,252.0,7560.0,Premier Securities Company Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:48:07.294810
2026041301013542,NMB,17,8,40,251.0,10040.0,ABC Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-13 11:49:33.203265
2026041301013543,NMB,8,8,72,251.0,18072.0,Brilliant Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-13 11:49:33.203416
2026041301013649,NMB,76,34,10,253.0,2530.0,Machhapuchchhre Securities Limited,Vision Securities Pvt. Ltd,2026-04-13 11:49:56.032864
2026041301013841,NMB,62,34,30,253.0,7590.0,Capital Max Securities Ltd,Vision Securities Pvt. Ltd,2026-04-13 11:50:46.116227
2026041301014461,NMB,13,34,100,253.0,25300.0,Thrive Brokerage House Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-13 11:54:09.022875
2026041301014703,NMB,8,50,10,252.1,2521.0,Brilliant Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:55:27.479786
2026041301015321,NMB,8,48,30,252.1,7563.0,Brilliant Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:59:00.183846
2026041301015322,NMB,38,48,10,252.1,2521.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2026-04-13 11:59:00.183957
2026041301015323,NMB,17,48,40,252.0,10080.0,ABC Securities Private Limited,Trishakti Securities Public Limited,2026-04-13 11:59:00.184081
2026041301015324,NMB,17,48,35,251.0,8785.0,ABC Securities Private Limited,Trishakti Securities Public Limited,2026-04-13 11:59:00.184173
