contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041305000309,NRN,26,57,12,1615.0,19380.0,Asian Securities Private Ltd.,Aryatara Investment & Securities,2026-04-13 11:03:26.133896
2026041305000310,NRN,26,58,10,1615.0,16150.0,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:03:26.133978
2026041305000345,NRN,44,14,10,1614.0,16140.0,Dynamic Money Managers Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-13 11:03:57.539711
2026041305000367,NRN,26,14,55,1614.0,88770.0,Asian Securities Private Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-13 11:04:09.426192
2026041305000445,NRN,26,67,45,1614.0,72630.0,Asian Securities Private Ltd.,Property Wiard Limited,2026-04-13 11:04:43.577355
2026041305000596,NRN,44,6,10,1617.7,16177.0,Dynamic Money Managers Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-13 11:05:59.820047
2026041305000674,NRN,49,100,200,1617.6,323520.0,Online Securities Pvt. Ltd.,Sunrise Securities Limited,2026-04-13 11:06:59.563576
2026041305000699,NRN,26,39,10,1613.0,16130.0,Asian Securities Private Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:07:16.340078
2026041305000700,NRN,26,39,10,1612.1,16121.0,Asian Securities Private Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:07:16.340233
2026041305000713,NRN,49,39,180,1612.0,290160.0,Online Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:07:28.822868
2026041305000815,NRN,92,14,100,1609.0,160900.0,Roadshow securities limited,Nepal Stock House (PVT) Ltd.,2026-04-13 11:08:29.042562
2026041305000819,NRN,47,39,1,1586.0,1586.0,Neev Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:08:32.200349
2026041305000871,NRN,67,100,20,1611.9,32238.0,Property Wiard Limited,Sunrise Securities Limited,2026-04-13 11:09:11.539805
2026041305000872,NRN,72,100,170,1608.1,273377.0,Hatemalo Financial Services Private Limited,Sunrise Securities Limited,2026-04-13 11:09:11.540024
2026041305000919,NRN,33,39,1,1579.8,1579.8,Dakshinkali Investment & Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:09:36.222474
2026041305000932,NRN,4,8,50,1608.2,80410.0,Opal Securities Investment (PVT) Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-13 11:09:46.276493
2026041305000957,NRN,72,41,15,1608.1,24121.5,Hatemalo Financial Services Private Limited,Linch Stock Market Ltd.,2026-04-13 11:09:57.554927
2026041305000966,NRN,71,8,80,1608.2,128656.0,SHUBHAKAMANA SECURITIES PVT. LTD,Brilliant Securities Pvt. Ltd.,2026-04-13 11:10:02.851118
2026041305000967,NRN,71,57,30,1610.0,48300.0,SHUBHAKAMANA SECURITIES PVT. LTD,Aryatara Investment & Securities,2026-04-13 11:10:02.851269
2026041305000968,NRN,71,78,30,1615.9,48477.0,SHUBHAKAMANA SECURITIES PVT. LTD,Garima Securities Limited,2026-04-13 11:10:02.851331
2026041305000969,NRN,71,64,70,1616.8,113176.0,SHUBHAKAMANA SECURITIES PVT. LTD,SUN SECURITIES PVT LTD,2026-04-13 11:10:02.851402
2026041305000970,NRN,71,54,30,1617.0,48510.0,SHUBHAKAMANA SECURITIES PVT. LTD,Sewa Securities Pvt. Ltd.,2026-04-13 11:10:02.851453
2026041305000971,NRN,71,6,10,1617.7,16177.0,SHUBHAKAMANA SECURITIES PVT. LTD,Agrawal Securities (PVT) Ltd.,2026-04-13 11:10:02.851504
2026041305000972,NRN,71,49,15,1617.8,24267.0,SHUBHAKAMANA SECURITIES PVT. LTD,Online Securities Pvt. Ltd.,2026-04-13 11:10:02.851552
2026041305000973,NRN,71,51,50,1618.0,80900.0,SHUBHAKAMANA SECURITIES PVT. LTD,Oxford Securities Pvt. Ltd.,2026-04-13 11:10:02.851599
2026041305000974,NRN,71,47,15,1620.0,24300.0,SHUBHAKAMANA SECURITIES PVT. LTD,Neev Securities Pvt. Ltd.,2026-04-13 11:10:02.851646
2026041305000975,NRN,71,64,10,1620.0,16200.0,SHUBHAKAMANA SECURITIES PVT. LTD,SUN SECURITIES PVT LTD,2026-04-13 11:10:02.851691
2026041305000976,NRN,71,42,15,1620.0,24300.0,SHUBHAKAMANA SECURITIES PVT. LTD,Sani Securities Company Ltd.,2026-04-13 11:10:02.851737
2026041305000977,NRN,71,67,178,1620.0,288360.0,SHUBHAKAMANA SECURITIES PVT. LTD,Property Wiard Limited,2026-04-13 11:10:02.851783
2026041305000978,NRN,71,6,200,1620.0,324000.0,SHUBHAKAMANA SECURITIES PVT. LTD,Agrawal Securities (PVT) Ltd.,2026-04-13 11:10:02.851830
2026041305000979,NRN,71,62,50,1620.0,81000.0,SHUBHAKAMANA SECURITIES PVT. LTD,Capital Max Securities Ltd,2026-04-13 11:10:02.851895
2026041305000980,NRN,71,49,200,1620.0,324000.0,SHUBHAKAMANA SECURITIES PVT. LTD,Online Securities Pvt. Ltd.,2026-04-13 11:10:02.851941
2026041305000981,NRN,71,6,17,1623.0,27591.0,SHUBHAKAMANA SECURITIES PVT. LTD,Agrawal Securities (PVT) Ltd.,2026-04-13 11:10:02.851986
2026041305000984,NRN,33,19,1,1600.0,1600.0,Dakshinkali Investment & Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:10:08.766924
2026041305001000,NRN,33,47,1,1600.0,1600.0,Dakshinkali Investment & Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-13 11:10:20.870095
2026041305001020,NRN,33,58,1,1600.0,1600.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:10:29.261770
2026041305001029,NRN,33,58,1,1600.0,1600.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:10:37.463514
2026041305001091,NRN,33,36,1,1600.0,1600.0,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-13 11:11:18.243770
2026041305001116,NRN,98,8,100,1622.0,162200.0,Trademow Securities Private Limited,Brilliant Securities Pvt. Ltd.,2026-04-13 11:11:32.576064
2026041305001127,NRN,77,14,30,1610.0,48300.0,Nabil Stock Dealer Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-13 11:11:40.806912
2026041305001277,NRN,33,58,1,1586.0,1586.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:13:06.190879
2026041305001324,NRN,33,49,1,1577.8,1577.8,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:13:46.869399
2026041305001418,NRN,26,45,30,1610.2,48306.0,Asian Securities Private Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.118879
2026041305001419,NRN,35,45,100,1610.2,161020.0,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119031
2026041305001420,NRN,1,45,10,1610.2,16102.0,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119100
2026041305001421,NRN,3,45,200,1610.1,322020.0,Arun Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119157
2026041305001422,NRN,72,45,200,1610.1,322020.0,Hatemalo Financial Services Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119212
2026041305001423,NRN,77,45,70,1610.0,112700.0,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119266
2026041305001424,NRN,74,45,100,1610.0,161000.0,KALASH STOCK MARKET PVT. LTD.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119329
2026041305001425,NRN,39,45,200,1610.0,322000.0,Sumeru Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119382
2026041305001426,NRN,58,45,29,1610.0,46690.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:14:36.119435
2026041305001509,NRN,67,48,200,1609.0,321800.0,Property Wiard Limited,Trishakti Securities Public Limited,2026-04-13 11:15:28.617767
2026041305001512,NRN,47,29,1,1586.0,1586.0,Neev Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-13 11:15:34.246860
2026041305001591,NRN,26,36,1,1600.0,1600.0,Asian Securities Private Ltd.,Secured Securities Ltd.,2026-04-13 11:16:07.382782
2026041305001640,NRN,26,1,1,1605.0,1605.0,Asian Securities Private Ltd.,Kumari Securities Private Limited,2026-04-13 11:16:23.727907
2026041305001658,NRN,26,40,1,1606.0,1606.0,Asian Securities Private Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:16:37.628494
2026041305001661,NRN,4,45,20,1619.9,32398.0,Opal Securities Investment (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:16:39.313464
2026041305001865,NRN,98,45,10,1618.9,16189.0,Trademow Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:18:20.792454
2026041305001904,NRN,14,48,50,1612.0,80600.0,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-13 11:18:47.630583
2026041305001905,NRN,99,48,25,1611.1,40277.5,Prabhu Stock Market Limited,Trishakti Securities Public Limited,2026-04-13 11:18:47.630742
2026041305001906,NRN,44,48,10,1611.0,16110.0,Dynamic Money Managers Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:18:47.630805
2026041305001907,NRN,97,48,180,1611.0,289980.0,R.B.B. Securities Company Ltd,Trishakti Securities Public Limited,2026-04-13 11:18:47.630864
2026041305001908,NRN,49,48,95,1610.0,152950.0,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:18:47.630946
2026041305001944,NRN,38,21,1,1579.8,1579.8,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Midas Stock Broking Company Private Limited,2026-04-13 11:19:14.705464
2026041305001985,NRN,35,4,100,1608.2,160820.0,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:19:33.913446
2026041305002004,NRN,49,4,100,1608.2,160820.0,Online Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-13 11:19:45.991953
2026041305002037,NRN,72,57,10,1608.1,16081.0,Hatemalo Financial Services Private Limited,Aryatara Investment & Securities,2026-04-13 11:20:06.795155
2026041305002054,NRN,33,49,1,1577.8,1577.8,Dakshinkali Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:20:16.903980
2026041305002056,NRN,26,37,1,1586.0,1586.0,Asian Securities Private Ltd.,Swarna Laxmi Securities Pvt. Ltd.,2026-04-13 11:20:18.157619
2026041305002061,NRN,72,58,10,1608.1,16081.0,Hatemalo Financial Services Private Limited,Naasa Securities Co. Ltd.,2026-04-13 11:20:22.953631
2026041305002067,NRN,72,48,95,1608.1,152769.5,Hatemalo Financial Services Private Limited,Trishakti Securities Public Limited,2026-04-13 11:20:24.557931
2026041305002160,NRN,58,94,307,1610.0,494270.0,Naasa Securities Co. Ltd.,K.B.L. Securities Limited ,2026-04-13 11:21:15.824060
2026041305002174,NRN,58,48,500,1610.0,805000.0,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:21:19.838511
2026041305002191,NRN,58,50,1193,1610.0,1920730.0,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:21:27.304463
2026041305002216,NRN,58,48,70,1609.0,112630.0,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:21:42.031728
2026041305002217,NRN,56,50,400,1610.0,644000.0,Sri Hari Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:21:42.759964
2026041305002319,NRN,49,58,5,1610.0,8050.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:22:36.284755
2026041305002325,NRN,58,48,65,1611.0,104715.0,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:22:42.947876
2026041305002359,NRN,58,48,100,1611.0,161100.0,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:23:07.000841
2026041305002513,NRN,58,22,231,1612.1,372395.1,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:24:40.088873
2026041305002545,NRN,58,45,31,1612.1,49975.1,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:25:03.582754
2026041305002587,NRN,38,1,1,1586.0,1586.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,2026-04-13 11:25:27.977384
2026041305002595,NRN,58,95,95,1612.1,153149.5,Naasa Securities Co. Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-13 11:25:31.041701
2026041305002673,NRN,38,50,60,1617.0,97020.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:26:04.281330
2026041305002778,NRN,14,57,100,1615.0,161500.0,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.284538
2026041305002779,NRN,58,57,143,1612.1,230530.3,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.284699
2026041305002780,NRN,49,57,180,1612.1,290178.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.284772
2026041305002781,NRN,72,57,300,1611.1,483330.0,Hatemalo Financial Services Private Limited,Aryatara Investment & Securities,2026-04-13 11:26:47.284840
2026041305002782,NRN,58,57,135,1611.0,217485.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.284907
2026041305002783,NRN,49,57,400,1610.0,644000.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.284985
2026041305002784,NRN,77,57,100,1610.0,161000.0,Nabil Stock Dealer Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.285172
2026041305002785,NRN,58,57,1642,1610.0,2643620.0,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-13 11:26:47.285381
2026041305002825,NRN,47,19,1,1579.8,1579.8,Neev Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-13 11:26:58.722310
