contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041305000951,NYADI,58,48,10,410.0,4100.0,2026-04-13,186094843,8026,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 11:09:50.796503,Nyadi Hydropower Limited
2026041305001106,NYADI,28,41,10,405.3,4053.0,2026-04-13,186096639,8026,Shree Krishna Securities Ltd.,Linch Stock Market Ltd.,2026-04-13 11:11:24.911603,Nyadi Hydropower Limited
2026041305001212,NYADI,34,50,10,406.0,4060.0,2026-04-13,186098183,8026,Vision Securities Pvt. Ltd,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-13 11:12:31.406524,Nyadi Hydropower Limited
2026041305001286,NYADI,28,6,10,405.3,4053.0,2026-04-13,186099011,8026,Shree Krishna Securities Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-13 11:13:14.584468,Nyadi Hydropower Limited
2026041305002047,NYADI,58,45,10,406.0,4060.0,2026-04-13,186106013,8026,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:20:08.967503,Nyadi Hydropower Limited
2026041305002655,NYADI,38,35,10,408.0,4080.0,2026-04-13,186111377,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-13 11:26:00.852761,Nyadi Hydropower Limited
2026041305002696,NYADI,38,48,10,408.0,4080.0,2026-04-13,186111669,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2026-04-13 11:26:13.866118,Nyadi Hydropower Limited
2026041305003221,NYADI,38,80,10,408.0,4080.0,2026-04-13,186115467,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Indira securities pvt. ltd,2026-04-13 11:30:15.611967,Nyadi Hydropower Limited
2026041305003258,NYADI,38,52,52,408.0,21216.0,2026-04-13,186115787,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sundhara Securities Limited,2026-04-13 11:30:37.479845,Nyadi Hydropower Limited
2026041305003398,NYADI,35,42,10,410.0,4100.0,2026-04-13,186116911,8026,Kohinoor Investment & Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-13 11:31:59.183458,Nyadi Hydropower Limited
2026041305003433,NYADI,35,47,10,410.0,4100.0,2026-04-13,186117079,8026,Kohinoor Investment & Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-13 11:32:09.543722,Nyadi Hydropower Limited
2026041305003451,NYADI,35,52,30,410.0,12300.0,2026-04-13,186117217,8026,Kohinoor Investment & Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-13 11:32:22.756809,Nyadi Hydropower Limited
2026041305003660,NYADI,38,58,10,408.0,4080.0,2026-04-13,186118783,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-13 11:34:11.746042,Nyadi Hydropower Limited
2026041305003740,NYADI,38,45,10,408.0,4080.0,2026-04-13,186119581,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 11:35:11.882732,Nyadi Hydropower Limited
2026041305003756,NYADI,38,36,10,408.0,4080.0,2026-04-13,186119807,8026,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Secured Securities Ltd.,2026-04-13 11:35:30.756294,Nyadi Hydropower Limited
2026041305003984,NYADI,34,77,10,411.5,4115.0,2026-04-13,186121916,8026,Vision Securities Pvt. Ltd,Nabil Stock Dealer Ltd.,2026-04-13 11:38:12.256587,Nyadi Hydropower Limited
2026041305004179,NYADI,34,1,10,412.0,4120.0,2026-04-13,186123660,8026,Vision Securities Pvt. Ltd,Kumari Securities Private Limited,2026-04-13 11:40:32.968512,Nyadi Hydropower Limited
2026041305004471,NYADI,35,62,10,412.0,4120.0,2026-04-13,186126589,8026,Kohinoor Investment & Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-04-13 11:43:52.891110,Nyadi Hydropower Limited
2026041305006460,NYADI,59,17,10,410.0,4100.0,2026-04-13,186144373,8026,Deevyaa Securities & Stock House Pvt. Ltd,ABC Securities Private Limited,2026-04-13 12:05:13.317030,Nyadi Hydropower Limited
