contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041304000099,SHEL,74,14,25,325.1,8127.5,KALASH STOCK MARKET PVT. LTD.,Nepal Stock House (PVT) Ltd.,2026-04-13 11:01:05.937492
2026041304000332,SHEL,90,49,50,328.0,16400.0,Sajilo Broker Limited,Online Securities Pvt. Ltd.,2026-04-13 11:04:04.779146
2026041304000333,SHEL,58,49,350,326.0,114100.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:04:04.779347
2026041304000334,SHEL,49,49,200,326.0,65200.0,Online Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-13 11:04:05.013962
2026041304000450,SHEL,19,49,500,326.2,163100.0,Nepal Investment And Securities Trading Private Limited,Online Securities Pvt. Ltd.,2026-04-13 11:05:25.031856
2026041304000451,SHEL,40,49,200,326.1,65220.0,Creative Securities Pvt Ltd,Online Securities Pvt. Ltd.,2026-04-13 11:05:25.031941
2026041304000501,SHEL,8,54,500,327.0,163500.0,Brilliant Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,2026-04-13 11:05:38.621183
2026041304000552,SHEL,46,54,300,326.2,97860.0,Kalika Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,2026-04-13 11:06:39.634555
2026041304000585,SHEL,49,54,104,327.0,34008.0,Online Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,2026-04-13 11:06:56.125231
2026041304000586,SHEL,49,33,50,327.0,16350.0,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-13 11:06:56.125375
2026041304000587,SHEL,49,66,246,327.9,80663.4,Online Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-13 11:06:56.125427
2026041304000764,SHEL,94,57,20,328.3,6566.0,K.B.L. Securities Limited ,Aryatara Investment & Securities,2026-04-13 11:08:55.375640
2026041304000916,SHEL,49,22,269,330.3,88850.7,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:09:53.618382
2026041304000917,SHEL,49,41,1031,330.3,340539.3,Online Securities Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-13 11:09:53.618607
2026041304000932,SHEL,94,41,21,328.3,6894.3,K.B.L. Securities Limited ,Linch Stock Market Ltd.,2026-04-13 11:10:11.183461
