contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041505000086,CHDC,59,45,10,2480.0,24800.0,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:01:48.988015
2026041505000227,CHDC,29,45,100,2475.0,247500.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:04:22.072506
2026041505000252,CHDC,29,59,100,2475.0,247500.0,Trisul Securities & Invt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:04:43.739158
2026041505000254,CHDC,29,45,10,2475.0,24750.0,Trisul Securities & Invt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:04:45.444934
2026041505000266,CHDC,29,59,100,2475.0,247500.0,Trisul Securities & Invt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:05:00.793171
2026041505000267,CHDC,29,32,50,2475.0,123750.0,Trisul Securities & Invt. Ltd.,Premier Securities Company Ltd.,2026-04-15 11:05:01.633562
2026041505000275,CHDC,29,58,30,2475.0,74250.0,Trisul Securities & Invt. Ltd.,Naasa Securities Co. Ltd.,2026-04-15 11:05:09.401977
2026041505000289,CHDC,29,74,400,2475.0,990000.0,Trisul Securities & Invt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-15 11:05:21.735014
2026041505000310,CHDC,29,32,10,2475.0,24750.0,Trisul Securities & Invt. Ltd.,Premier Securities Company Ltd.,2026-04-15 11:05:40.751041
2026041505000488,CHDC,34,40,4,2432.0,9728.0,Vision Securities Pvt. Ltd,Creative Securities Pvt Ltd,2026-04-15 11:08:03.177984
2026041505000961,CHDC,37,56,10,2469.9,24699.0,Swarna Laxmi Securities Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-15 11:14:33.697223
2026041505001051,CHDC,34,35,2,2426.0,4852.0,Vision Securities Pvt. Ltd,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-15 11:16:01.823587
2026041505001141,CHDC,34,56,1,2426.0,2426.0,Vision Securities Pvt. Ltd,Sri Hari Securities Pvt. Ltd.,2026-04-15 11:17:32.935725
2026041505001282,CHDC,32,14,12,2445.0,29340.0,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-15 11:19:07.499074
2026041505001374,CHDC,32,59,23,2445.0,56235.0,Premier Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:20:20.313615
2026041505001410,CHDC,32,16,200,2445.0,489000.0,Premier Securities Company Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:20:35.043718
2026041505001509,CHDC,32,42,12,2445.0,29340.0,Premier Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-15 11:21:01.808132
2026041505001549,CHDC,32,17,10,2440.0,24400.0,Premier Securities Company Ltd.,ABC Securities Private Limited,2026-04-15 11:21:29.538614
2026041505001592,CHDC,16,56,50,2440.0,122000.0,Primo Securities (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-15 11:22:02.859732
2026041505001593,CHDC,45,56,410,2440.0,1000400.0,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-15 11:22:02.859944
2026041505002379,CHDC,34,47,2,2421.0,4842.0,Vision Securities Pvt. Ltd,Neev Securities Pvt. Ltd.,2026-04-15 11:26:41.631032
2026041505002509,CHDC,6,93,10,2440.0,24400.0,Agrawal Securities (PVT) Ltd.,Beni Securities Pvt.Ltd.,2026-04-15 11:27:44.799748
2026041505002949,CHDC,36,16,20,2443.2,48864.0,Secured Securities Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:31:37.677111
2026041505002950,CHDC,83,16,100,2443.1,244310.0,Sanima Securities Limited,Primo Securities (PVT) Ltd.,2026-04-15 11:31:37.677346
2026041505002951,CHDC,83,16,80,2443.0,195440.0,Sanima Securities Limited,Primo Securities (PVT) Ltd.,2026-04-15 11:31:37.677473
2026041505003884,CHDC,83,16,100,2450.0,245000.0,Sanima Securities Limited,Primo Securities (PVT) Ltd.,2026-04-15 11:38:30.512753
2026041505004021,CHDC,58,16,99,2450.0,242550.0,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:39:43.379557
2026041505004468,CHDC,83,14,12,2450.0,29400.0,Sanima Securities Limited,Nepal Stock House (PVT) Ltd.,2026-04-15 11:43:42.248367
2026041505005428,CHDC,1,99,12,2460.0,29520.0,Kumari Securities Private Limited,Prabhu Stock Market Limited,2026-04-15 11:50:54.175679
2026041505005633,CHDC,45,51,12,2465.0,29580.0,Imperial Securities Company Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-15 11:52:06.119053
2026041505005634,CHDC,45,42,12,2465.0,29580.0,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:52:06.119186
2026041505005635,CHDC,45,59,300,2465.0,739500.0,Imperial Securities Company Pvt. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:52:06.119253
2026041505005636,CHDC,45,38,12,2465.0,29580.0,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-15 11:52:06.119302
2026041505005637,CHDC,45,34,10,2465.8,24658.0,Imperial Securities Company Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-15 11:52:06.119358
2026041505005638,CHDC,45,56,190,2465.9,468521.0,Imperial Securities Company Pvt. Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-15 11:52:06.119412
2026041505005639,CHDC,45,16,54,2466.0,133164.0,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:52:06.119459
2026041505005770,CHDC,45,16,46,2466.0,113436.0,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:53:08.611344
2026041505005771,CHDC,45,16,200,2466.0,493200.0,Imperial Securities Company Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:53:08.611570
2026041505006062,CHDC,1,60,10,2467.0,24670.0,Kumari Securities Private Limited,Nagarik Stock Dealer ,2026-04-15 11:54:52.507380
2026041505006351,CHDC,58,16,150,2469.0,370350.0,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:56:30.451183
2026041505006655,CHDC,3,16,15,2469.0,37035.0,Arun Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:58:06.135921
2026041505006773,CHDC,20,16,35,2469.0,86415.0,Sipla Securities Private Limited,Primo Securities (PVT) Ltd.,2026-04-15 11:58:45.041080
2026041505006774,CHDC,20,16,165,2469.0,407385.0,Sipla Securities Private Limited,Primo Securities (PVT) Ltd.,2026-04-15 11:58:45.041194
2026041505006846,CHDC,16,16,25,2469.0,61725.0,Primo Securities (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:59:03.540804
2026041505006863,CHDC,83,35,20,2463.0,49260.0,Sanima Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-15 11:59:08.584555
2026041505006864,CHDC,83,35,80,2463.0,197040.0,Sanima Securities Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-15 11:59:08.584688
2026041505007371,CHDC,83,26,10,2463.0,24630.0,Sanima Securities Limited,Asian Securities Private Ltd.,2026-04-15 12:03:07.912798
2026041505007372,CHDC,1,26,28,2460.0,68880.0,Kumari Securities Private Limited,Asian Securities Private Ltd.,2026-04-15 12:03:07.912958
2026041505007432,CHDC,45,14,400,2450.0,980000.0,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-15 12:03:31.534191
2026041505007651,CHDC,71,26,50,2460.0,123000.0,SHUBHAKAMANA SECURITIES PVT. LTD,Asian Securities Private Ltd.,2026-04-15 12:05:12.005169
2026041505008166,CHDC,26,38,10,2450.0,24500.0,Asian Securities Private Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-15 12:09:23.803707
2026041505008189,CHDC,34,39,2,2405.0,4810.0,Vision Securities Pvt. Ltd,Sumeru Securities Pvt. Ltd.,2026-04-15 12:09:36.251575
2026041505009495,CHDC,57,26,12,2460.0,29520.0,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-15 12:20:52.515571
2026041505009496,CHDC,57,16,10,2469.0,24690.0,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-15 12:20:52.515711
2026041505009497,CHDC,57,29,321,2469.0,792549.0,Aryatara Investment & Securities,Trisul Securities & Invt. Ltd.,2026-04-15 12:20:52.515786
2026041505009498,CHDC,57,56,12,2469.0,29628.0,Aryatara Investment & Securities,Sri Hari Securities Pvt. Ltd.,2026-04-15 12:20:52.515856
2026041505009499,CHDC,57,58,12,2470.0,29640.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-15 12:20:52.515914
2026041505009500,CHDC,57,26,100,2470.0,247000.0,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-15 12:20:52.515969
2026041505009501,CHDC,57,5,33,2470.0,81510.0,Aryatara Investment & Securities,Market Securities & Exchange (PVT) Ltd.,2026-04-15 12:20:52.516022
2026041505009530,CHDC,57,5,167,2470.0,412490.0,Aryatara Investment & Securities,Market Securities & Exchange (PVT) Ltd.,2026-04-15 12:21:10.426502
2026041505009531,CHDC,57,66,132,2470.0,326040.0,Aryatara Investment & Securities,Miyo Securities Pvt Ltd,2026-04-15 12:21:10.426648
2026041505009532,CHDC,57,16,200,2473.0,494600.0,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-15 12:21:10.426704
2026041505009554,CHDC,57,16,200,2473.0,494600.0,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-15 12:21:24.379147
2026041505009555,CHDC,57,32,50,2473.0,123650.0,Aryatara Investment & Securities,Premier Securities Company Ltd.,2026-04-15 12:21:24.379288
2026041505009556,CHDC,57,43,10,2475.0,24750.0,Aryatara Investment & Securities,South Asian Bulls Pvt. Ltd.,2026-04-15 12:21:24.379370
2026041505009557,CHDC,57,62,12,2475.0,29700.0,Aryatara Investment & Securities,Capital Max Securities Ltd,2026-04-15 12:21:24.379424
2026041505009558,CHDC,57,34,10,2475.9,24759.0,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-15 12:21:24.379479
2026041505009559,CHDC,57,16,200,2477.0,495400.0,Aryatara Investment & Securities,Primo Securities (PVT) Ltd.,2026-04-15 12:21:24.379531
2026041505009590,CHDC,57,32,18,2477.0,44586.0,Aryatara Investment & Securities,Premier Securities Company Ltd.,2026-04-15 12:21:44.689552
2026041505010350,CHDC,58,58,10,2455.0,24550.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-15 12:26:52.401209
2026041505010604,CHDC,34,42,1,2428.0,2428.0,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-15 12:28:46.651114
2026041505010606,CHDC,58,49,10,2455.0,24550.0,Naasa Securities Co. Ltd.,Online Securities Pvt. Ltd.,2026-04-15 12:28:49.085196
2026041505011219,CHDC,57,32,100,2453.0,245300.0,Aryatara Investment & Securities,Premier Securities Company Ltd.,2026-04-15 12:33:57.395966
2026041505011433,CHDC,34,34,1,2405.0,2405.0,Vision Securities Pvt. Ltd,Vision Securities Pvt. Ltd,2026-04-15 12:36:03.627885
2026041505011434,CHDC,38,26,20,2475.0,49500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,2026-04-15 12:36:05.045029
2026041505011476,CHDC,83,54,12,2460.0,29520.0,Sanima Securities Limited,Sewa Securities Pvt. Ltd.,2026-04-15 12:36:18.824233
2026041505011810,CHDC,83,42,12,2460.0,29520.0,Sanima Securities Limited,Sani Securities Company Ltd.,2026-04-15 12:38:18.971111
2026041505012122,CHDC,38,26,44,2475.0,108900.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Asian Securities Private Ltd.,2026-04-15 12:40:49.240772
2026041505012215,CHDC,64,26,17,2475.0,42075.0,SUN SECURITIES PVT LTD,Asian Securities Private Ltd.,2026-04-15 12:41:43.307951
2026041505012240,CHDC,64,26,16,2475.0,39600.0,SUN SECURITIES PVT LTD,Asian Securities Private Ltd.,2026-04-15 12:41:51.376004
2026041505012253,CHDC,64,32,14,2475.0,34650.0,SUN SECURITIES PVT LTD,Premier Securities Company Ltd.,2026-04-15 12:41:59.881034
2026041505012261,CHDC,64,32,13,2475.0,32175.0,SUN SECURITIES PVT LTD,Premier Securities Company Ltd.,2026-04-15 12:42:07.519671
