contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041504000075,LEC,56,45,10,250.0,2500.0,2026-04-15,186285375,2903,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:01:01.086335,Liberty Energy Company Limited
2026041504000096,LEC,49,26,10,254.7,2547.0,2026-04-15,186285616,2903,Online Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-15 11:01:23.443877,Liberty Energy Company Limited
2026041504000141,LEC,16,58,200,254.6,50920.0,2026-04-15,186286478,2903,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-15 11:02:08.444473,Liberty Energy Company Limited
2026041504000211,LEC,58,41,100,254.0,25400.0,2026-04-15,186287022,2903,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-04-15 11:02:38.035647,Liberty Energy Company Limited
2026041504000307,LEC,58,41,300,254.0,76200.0,2026-04-15,186287860,2903,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-04-15 11:03:24.739507,Liberty Energy Company Limited
2026041504000361,LEC,34,41,500,254.0,127000.0,2026-04-15,186288452,2903,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2026-04-15 11:03:54.844935,Liberty Energy Company Limited
2026041504000400,LEC,77,41,100,254.0,25400.0,2026-04-15,186288953,2903,Nabil Stock Dealer Ltd.,Linch Stock Market Ltd.,2026-04-15 11:04:24.606090,Liberty Energy Company Limited
2026041504000401,LEC,77,32,2000,254.0,508000.0,2026-04-15,186288955,2903,Nabil Stock Dealer Ltd.,Premier Securities Company Ltd.,2026-04-15 11:04:24.606309,Liberty Energy Company Limited
2026041504000402,LEC,77,58,284,254.0,72136.0,2026-04-15,186288957,2903,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,2026-04-15 11:04:24.606468,Liberty Energy Company Limited
2026041504000403,LEC,77,21,314,254.0,79756.0,2026-04-15,186288959,2903,Nabil Stock Dealer Ltd.,Midas Stock Broking Company Private Limited,2026-04-15 11:04:24.606599,Liberty Energy Company Limited
2026041504000404,LEC,77,58,350,254.6,89110.0,2026-04-15,186288961,2903,Nabil Stock Dealer Ltd.,Naasa Securities Co. Ltd.,2026-04-15 11:04:24.606732,Liberty Energy Company Limited
2026041504000405,LEC,77,26,1000,254.7,254700.0,2026-04-15,186288963,2903,Nabil Stock Dealer Ltd.,Asian Securities Private Ltd.,2026-04-15 11:04:24.606856,Liberty Energy Company Limited
2026041504000406,LEC,77,45,500,254.8,127400.0,2026-04-15,186288965,2903,Nabil Stock Dealer Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:04:24.606986,Liberty Energy Company Limited
2026041504000407,LEC,77,39,330,254.9,84117.0,2026-04-15,186288967,2903,Nabil Stock Dealer Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-15 11:04:24.607113,Liberty Energy Company Limited
2026041504000408,LEC,77,34,122,255.0,31110.0,2026-04-15,186288970,2903,Nabil Stock Dealer Ltd.,Vision Securities Pvt. Ltd,2026-04-15 11:04:24.607241,Liberty Energy Company Limited
