contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041503000051,MPFL,59,32,10,668.0,6680.0,Deevyaa Securities & Stock House Pvt. Ltd,Premier Securities Company Ltd.,2026-04-15 11:06:48.306045
2026041503000098,MPFL,58,36,100,678.9,67890.0,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-15 11:09:12.412903
2026041503000099,MPFL,58,99,50,679.0,33950.0,Naasa Securities Co. Ltd.,Prabhu Stock Market Limited,2026-04-15 11:09:12.412938
2026041503000100,MPFL,58,33,200,679.9,135980.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:09:12.412962
2026041503000101,MPFL,58,44,20,680.0,13600.0,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-15 11:09:12.412990
2026041503000102,MPFL,58,13,30,681.3,20439.0,Naasa Securities Co. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-15 11:09:12.413011
2026041503000103,MPFL,58,59,100,684.0,68400.0,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:09:12.413043
2026041503000104,MPFL,58,41,250,684.0,171000.0,Naasa Securities Co. Ltd.,Linch Stock Market Ltd.,2026-04-15 11:09:12.413068
2026041503000105,MPFL,58,45,149,684.0,101916.0,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-15 11:09:12.413090
2026041503000106,MPFL,58,40,200,684.0,136800.0,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,2026-04-15 11:09:12.413110
2026041503000107,MPFL,58,33,500,684.0,342000.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:09:12.413129
2026041503000108,MPFL,58,58,100,684.0,68400.0,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-15 11:09:12.413149
2026041503000109,MPFL,58,17,300,684.0,205200.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-15 11:09:12.413172
2026041503000110,MPFL,58,20,50,684.4,34220.0,Naasa Securities Co. Ltd.,Sipla Securities Private Limited,2026-04-15 11:09:12.413194
2026041503000111,MPFL,58,16,20,684.4,13688.0,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:09:12.413236
2026041503000112,MPFL,58,28,100,684.4,68440.0,Naasa Securities Co. Ltd.,Shree Krishna Securities Ltd.,2026-04-15 11:09:12.413268
2026041503000113,MPFL,58,16,50,684.4,34220.0,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:09:12.413287
2026041503000114,MPFL,58,22,100,684.4,68440.0,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-15 11:09:12.413306
2026041503000115,MPFL,58,39,200,684.4,136880.0,Naasa Securities Co. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-15 11:09:12.413329
2026041503000148,MPFL,58,59,45,690.0,31050.0,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:11:29.722853
2026041503000149,MPFL,58,50,10,693.0,6930.0,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-15 11:11:29.722892
2026041503000156,MPFL,58,50,10,693.0,6930.0,Naasa Securities Co. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-15 11:11:43.586386
2026041503000182,MPFL,58,59,50,685.0,34250.0,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-15 11:13:27.239251
2026041503000183,MPFL,58,17,950,688.0,653600.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-15 11:13:27.239325
2026041503000204,MPFL,58,44,20,687.9,13758.0,Naasa Securities Co. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-15 11:14:13.662778
2026041503000205,MPFL,58,17,10,688.0,6880.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-15 11:14:13.662811
2026041503000233,MPFL,71,21,500,684.0,342000.0,SHUBHAKAMANA SECURITIES PVT. LTD,Midas Stock Broking Company Private Limited,2026-04-15 11:15:03.376981
2026041503000256,MPFL,58,22,150,680.0,102000.0,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-15 11:15:51.641921
2026041503000372,MPFL,71,33,400,682.0,272800.0,SHUBHAKAMANA SECURITIES PVT. LTD,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:21:03.770516
2026041503000918,MPFL,58,33,250,680.0,170000.0,Naasa Securities Co. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:42:05.008854
2026041503000919,MPFL,58,38,20,680.0,13600.0,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-15 11:42:05.008988
2026041503000920,MPFL,58,3,200,680.0,136000.0,Naasa Securities Co. Ltd.,Arun Securities (PVT) Ltd.,2026-04-15 11:42:05.009053
2026041503000921,MPFL,58,64,100,680.0,68000.0,Naasa Securities Co. Ltd.,SUN SECURITIES PVT LTD,2026-04-15 11:42:05.009130
2026041503000922,MPFL,58,16,20,681.0,13620.0,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:42:05.009181
2026041503000923,MPFL,58,98,1400,681.0,953400.0,Naasa Securities Co. Ltd.,Trademow Securities Private Limited,2026-04-15 11:42:05.009232
2026041503001017,MPFL,32,57,20,681.9,13638.0,Premier Securities Company Ltd.,Aryatara Investment & Securities,2026-04-15 11:46:06.172909
2026041503001018,MPFL,32,75,20,682.0,13640.0,Premier Securities Company Ltd.,N.I.M.B. Stock Markets Limited,2026-04-15 11:46:06.173166
2026041503001130,MPFL,92,8,50,683.0,34150.0,Roadshow securities limited,Brilliant Securities Pvt. Ltd.,2026-04-15 11:49:52.088867
2026041503001131,MPFL,92,22,30,684.0,20520.0,Roadshow securities limited,Siprabi Securities Pvt. Ltd.,2026-04-15 11:49:52.088906
2026041503001132,MPFL,92,33,100,684.0,68400.0,Roadshow securities limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:49:52.088933
2026041503001133,MPFL,92,42,380,684.0,259920.0,Roadshow securities limited,Sani Securities Company Ltd.,2026-04-15 11:49:52.088953
2026041503001134,MPFL,92,33,100,686.0,68600.0,Roadshow securities limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:49:52.088983
2026041503001135,MPFL,92,17,400,686.0,274400.0,Roadshow securities limited,ABC Securities Private Limited,2026-04-15 11:49:52.089003
2026041503001136,MPFL,92,72,155,686.8,106454.0,Roadshow securities limited,Hatemalo Financial Services Private Limited,2026-04-15 11:49:52.089035
2026041503001137,MPFL,92,21,400,687.0,274800.0,Roadshow securities limited,Midas Stock Broking Company Private Limited,2026-04-15 11:49:52.089062
2026041503001138,MPFL,92,74,791,687.0,543417.0,Roadshow securities limited,KALASH STOCK MARKET PVT. LTD.,2026-04-15 11:49:52.089084
2026041503001139,MPFL,92,42,100,687.9,68790.0,Roadshow securities limited,Sani Securities Company Ltd.,2026-04-15 11:49:52.089104
2026041503001140,MPFL,92,8,100,688.0,68800.0,Roadshow securities limited,Brilliant Securities Pvt. Ltd.,2026-04-15 11:49:52.089124
2026041503001141,MPFL,92,72,50,688.0,34400.0,Roadshow securities limited,Hatemalo Financial Services Private Limited,2026-04-15 11:49:52.089144
2026041503001142,MPFL,92,32,10,689.9,6899.0,Roadshow securities limited,Premier Securities Company Ltd.,2026-04-15 11:49:52.089168
2026041503001143,MPFL,92,67,500,689.9,344950.0,Roadshow securities limited,Property Wiard Limited,2026-04-15 11:49:52.089197
2026041503001144,MPFL,92,48,1834,690.0,1265460.0,Roadshow securities limited,Trishakti Securities Public Limited,2026-04-15 11:49:52.089219
2026041503001364,MPFL,51,5,200,689.9,137980.0,Oxford Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-15 11:54:38.251752
2026041503001365,MPFL,51,48,216,690.0,149040.0,Oxford Securities Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-15 11:54:38.251882
2026041503001366,MPFL,51,91,200,690.0,138000.0,Oxford Securities Pvt. Ltd.,Citizens Share Broker Limited,2026-04-15 11:54:38.251943
2026041503001367,MPFL,51,16,50,690.0,34500.0,Oxford Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-15 11:54:38.252000
2026041503001368,MPFL,51,57,100,690.0,69000.0,Oxford Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-15 11:54:38.252059
2026041503001369,MPFL,51,21,100,690.0,69000.0,Oxford Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-15 11:54:38.252114
2026041503001370,MPFL,51,42,300,690.0,207000.0,Oxford Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:54:38.252165
2026041503001371,MPFL,51,7,100,690.0,69000.0,Oxford Securities Pvt. Ltd.,J.F. Securites (PVT) Ltd.,2026-04-15 11:54:38.252217
2026041503001372,MPFL,51,33,200,690.0,138000.0,Oxford Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 11:54:38.252271
2026041503001382,MPFL,51,44,10,690.0,6900.0,Oxford Securities Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-15 11:55:01.898294
2026041503001388,MPFL,51,26,24,690.0,16560.0,Oxford Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-15 11:55:12.733533
2026041503001901,MPFL,35,43,20,683.0,13660.0,Kohinoor Investment & Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-15 12:09:37.552480
2026041503001908,MPFL,42,38,1000,684.0,684000.0,Sani Securities Company Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-15 12:10:15.417742
