contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041503000226,PROFL,38,42,20,452.1,9042.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sani Securities Company Ltd.,2026-04-15 11:14:51.131206
2026041503000227,PROFL,39,42,500,452.0,226000.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:14:51.131320
2026041503000262,PROFL,39,42,100,452.0,45200.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:16:06.893549
2026041503000273,PROFL,39,42,80,452.0,36160.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:16:37.446004
2026041503000332,PROFL,34,42,155,452.1,70075.5,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-04-15 11:18:26.171132
2026041503000333,PROFL,39,42,120,452.0,54240.0,Sumeru Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-15 11:18:26.171251
2026041503000334,PROFL,7,42,25,452.0,11300.0,J.F. Securites (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-15 11:18:26.171326
2026041503001275,PROFL,41,29,10,461.0,4610.0,Linch Stock Market Ltd.,Trisul Securities & Invt. Ltd.,2026-04-15 11:53:10.734690
2026041503001294,PROFL,22,6,100,463.9,46390.0,Siprabi Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-15 11:53:34.414441
2026041503001324,PROFL,41,6,11,463.9,5102.9,Linch Stock Market Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-15 11:54:01.681486
2026041503001351,PROFL,49,6,50,463.9,23195.0,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-15 11:54:24.579864
2026041503001378,PROFL,22,6,20,463.9,9278.0,Siprabi Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-15 11:54:56.274600
2026041503001426,PROFL,51,49,35,464.0,16240.0,Oxford Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-15 11:56:07.162553
2026041503001427,PROFL,51,11,200,464.0,92800.0,Oxford Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-15 11:56:07.162623
2026041503001524,PROFL,58,29,10,472.9,4729.0,Naasa Securities Co. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-15 11:58:32.721419
2026041503001935,PROFL,42,6,9,463.9,4175.1,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-15 12:11:18.317766
2026041503001977,PROFL,51,11,50,464.0,23200.0,Oxford Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-15 12:12:26.687469
2026041503001995,PROFL,48,44,20,465.0,9300.0,Trishakti Securities Public Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-15 12:13:01.300906
2026041503001999,PROFL,51,14,60,464.0,27840.0,Oxford Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-15 12:13:07.043761
2026041503002036,PROFL,51,33,500,464.0,232000.0,Oxford Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-15 12:14:08.693592
