contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041604000243,API,26,58,1000,350.0,350000.0,2026-04-16,186533406,697,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:02:15.978950,Api Power Company Ltd.
2026041604000251,API,4,58,280,350.0,98000.0,2026-04-16,186533468,697,Opal Securities Investment (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:02:19.327063,Api Power Company Ltd.
2026041604000267,API,74,58,500,350.0,175000.0,2026-04-16,186533650,697,KALASH STOCK MARKET PVT. LTD.,Naasa Securities Co. Ltd.,2026-04-16 11:02:30.585728,Api Power Company Ltd.
2026041604000296,API,48,58,200,350.0,70000.0,2026-04-16,186533878,697,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-16 11:02:44.538336,Api Power Company Ltd.
2026041604000319,API,52,58,20,350.0,7000.0,2026-04-16,186534193,697,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-16 11:02:59.396181,Api Power Company Ltd.
2026041604000320,API,52,58,10,350.0,3500.0,2026-04-16,186534195,697,Sundhara Securities Limited,Naasa Securities Co. Ltd.,2026-04-16 11:02:59.396253,Api Power Company Ltd.
2026041604000430,API,58,58,54,350.2,18910.8,2026-04-16,186535329,697,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:04:09.360148,Api Power Company Ltd.
2026041604000522,API,34,63,100,350.4,35040.0,2026-04-16,186536474,697,Vision Securities Pvt. Ltd,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818397,Api Power Company Ltd.
2026041604000523,API,58,63,96,350.2,33619.2,2026-04-16,186536476,697,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818522,Api Power Company Ltd.
2026041604000524,API,48,63,500,350.1,175050.0,2026-04-16,186536478,697,Trishakti Securities Public Limited,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818571,Api Power Company Ltd.
2026041604000525,API,52,63,170,350.0,59500.0,2026-04-16,186536480,697,Sundhara Securities Limited,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818632,Api Power Company Ltd.
2026041604000526,API,46,63,100,350.0,35000.0,2026-04-16,186536482,697,Kalika Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818673,Api Power Company Ltd.
2026041604000527,API,57,63,200,350.0,70000.0,2026-04-16,186536484,697,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818715,Api Power Company Ltd.
2026041604000528,API,45,63,30,350.0,10500.0,2026-04-16,186536486,697,Imperial Securities Company Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818755,Api Power Company Ltd.
2026041604000529,API,58,63,70,350.0,24500.0,2026-04-16,186536488,697,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,2026-04-16 11:05:13.818798,Api Power Company Ltd.
2026041604000575,API,35,63,1434,350.0,501900.0,2026-04-16,186537284,697,Kohinoor Investment & Securities Pvt. Ltd.,Himalayan Brokerage Company Limited,2026-04-16 11:05:58.249340,Api Power Company Ltd.
2026041604000582,API,4,28,475,353.9,168102.5,2026-04-16,186537408,697,Opal Securities Investment (PVT) Ltd.,Shree Krishna Securities Ltd.,2026-04-16 11:06:06.050684,Api Power Company Ltd.
2026041604000689,API,45,32,30,350.1,10503.0,2026-04-16,186538438,697,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,2026-04-16 11:07:03.838147,Api Power Company Ltd.
2026041604000690,API,91,32,32,350.0,11200.0,2026-04-16,186538439,697,Citizens Share Broker Limited,Premier Securities Company Ltd.,2026-04-16 11:07:03.838292,Api Power Company Ltd.
2026041604000711,API,88,88,1000,351.0,351000.0,2026-04-16,186538630,697,Blue Chip Securities Ltd,Blue Chip Securities Ltd,2026-04-16 11:07:13.452612,Api Power Company Ltd.
2026041604000790,API,45,45,40,351.0,14040.0,2026-04-16,186539612,697,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-16 11:08:01.759358,Api Power Company Ltd.
2026041604000871,API,69,58,85,352.5,29962.5,2026-04-16,186540261,697,INDEX SECURITIES LIMITED,Naasa Securities Co. Ltd.,2026-04-16 11:08:37.231750,Api Power Company Ltd.
2026041604000872,API,69,5,100,353.0,35300.0,2026-04-16,186540263,697,INDEX SECURITIES LIMITED,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:08:37.232033,Api Power Company Ltd.
2026041604000873,API,69,38,657,353.0,231921.0,2026-04-16,186540265,697,INDEX SECURITIES LIMITED,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-16 11:08:37.232229,Api Power Company Ltd.
2026041604000874,API,69,38,1000,353.0,353000.0,2026-04-16,186540267,697,INDEX SECURITIES LIMITED,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-16 11:08:37.232453,Api Power Company Ltd.
2026041604000875,API,69,98,300,353.7,106110.0,2026-04-16,186540269,697,INDEX SECURITIES LIMITED,Trademow Securities Private Limited,2026-04-16 11:08:37.232643,Api Power Company Ltd.
2026041604000876,API,69,47,100,353.8,35380.0,2026-04-16,186540271,697,INDEX SECURITIES LIMITED,Neev Securities Pvt. Ltd.,2026-04-16 11:08:37.232824,Api Power Company Ltd.
2026041604000877,API,69,42,200,353.8,70760.0,2026-04-16,186540273,697,INDEX SECURITIES LIMITED,Sani Securities Company Ltd.,2026-04-16 11:08:37.233020,Api Power Company Ltd.
2026041604000878,API,69,28,525,353.9,185797.5,2026-04-16,186540275,697,INDEX SECURITIES LIMITED,Shree Krishna Securities Ltd.,2026-04-16 11:08:37.233230,Api Power Company Ltd.
2026041604000879,API,69,28,856,353.9,302938.4,2026-04-16,186540277,697,INDEX SECURITIES LIMITED,Shree Krishna Securities Ltd.,2026-04-16 11:08:37.233424,Api Power Company Ltd.
2026041604000880,API,69,22,830,353.9,293737.0,2026-04-16,186540279,697,INDEX SECURITIES LIMITED,Siprabi Securities Pvt. Ltd.,2026-04-16 11:08:37.233602,Api Power Company Ltd.
2026041604000881,API,69,74,347,354.0,122838.0,2026-04-16,186540282,697,INDEX SECURITIES LIMITED,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:08:37.233772,Api Power Company Ltd.
2026041604000917,API,96,32,100,353.9,35390.0,2026-04-16,186540595,697,Himalayan Securities Limited,Premier Securities Company Ltd.,2026-04-16 11:08:56.108382,Api Power Company Ltd.
2026041604000918,API,96,47,2000,353.9,707800.0,2026-04-16,186540597,697,Himalayan Securities Limited,Neev Securities Pvt. Ltd.,2026-04-16 11:08:56.108522,Api Power Company Ltd.
2026041604000919,API,96,74,453,354.0,160362.0,2026-04-16,186540599,697,Himalayan Securities Limited,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:08:56.108581,Api Power Company Ltd.
2026041604000920,API,96,28,630,354.0,223020.0,2026-04-16,186540601,697,Himalayan Securities Limited,Shree Krishna Securities Ltd.,2026-04-16 11:08:56.108641,Api Power Company Ltd.
2026041604000921,API,96,36,220,354.5,77990.0,2026-04-16,186540603,697,Himalayan Securities Limited,Secured Securities Ltd.,2026-04-16 11:08:56.108696,Api Power Company Ltd.
2026041604000922,API,96,47,100,354.9,35490.0,2026-04-16,186540605,697,Himalayan Securities Limited,Neev Securities Pvt. Ltd.,2026-04-16 11:08:56.108752,Api Power Company Ltd.
2026041604000923,API,96,49,20,355.0,7100.0,2026-04-16,186540607,697,Himalayan Securities Limited,Online Securities Pvt. Ltd.,2026-04-16 11:08:56.108807,Api Power Company Ltd.
2026041604000924,API,96,47,100,355.0,35500.0,2026-04-16,186540609,697,Himalayan Securities Limited,Neev Securities Pvt. Ltd.,2026-04-16 11:08:56.108872,Api Power Company Ltd.
2026041604000925,API,96,41,1977,355.0,701835.0,2026-04-16,186540612,697,Himalayan Securities Limited,Linch Stock Market Ltd.,2026-04-16 11:08:56.108931,Api Power Company Ltd.
2026041604000999,API,69,35,100,354.9,35490.0,2026-04-16,186541471,697,INDEX SECURITIES LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-16 11:09:29.639849,Api Power Company Ltd.
2026041604001000,API,69,45,50,354.9,17745.0,2026-04-16,186541473,697,INDEX SECURITIES LIMITED,Imperial Securities Company Pvt. Ltd.,2026-04-16 11:09:29.640015,Api Power Company Ltd.
2026041604001001,API,69,41,23,355.0,8165.0,2026-04-16,186541475,697,INDEX SECURITIES LIMITED,Linch Stock Market Ltd.,2026-04-16 11:09:29.640111,Api Power Company Ltd.
2026041604001002,API,69,39,500,355.0,177500.0,2026-04-16,186541477,697,INDEX SECURITIES LIMITED,Sumeru Securities Pvt. Ltd.,2026-04-16 11:09:29.640185,Api Power Company Ltd.
