contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041604000714,DHPL,38,58,30,313.2,9396.0,2026-04-16,186538669,2754,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:07:14.777036,Dibyashwori Hydropower Ltd.
2026041604003427,DHPL,25,57,11,313.9,3452.9,2026-04-16,186563763,2754,Sweta Securities Private Limited,Aryatara Investment & Securities,2026-04-16 11:30:42.765596,Dibyashwori Hydropower Ltd.
2026041604003911,DHPL,58,58,15,315.0,4725.0,2026-04-16,186567883,2754,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:33:53.677726,Dibyashwori Hydropower Ltd.
2026041604003912,DHPL,58,39,105,315.0,33075.0,2026-04-16,186567886,2754,Naasa Securities Co. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-16 11:33:53.677796,Dibyashwori Hydropower Ltd.
2026041604004572,DHPL,38,59,20,313.9,6278.0,2026-04-16,186572238,2754,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:38:05.538149,Dibyashwori Hydropower Ltd.
2026041604004573,DHPL,42,59,580,313.2,181656.0,2026-04-16,186572239,2754,Sani Securities Company Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:38:05.538219,Dibyashwori Hydropower Ltd.
2026041604004584,DHPL,36,39,50,315.0,15750.0,2026-04-16,186572420,2754,Secured Securities Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-16 11:38:18.511074,Dibyashwori Hydropower Ltd.
2026041604004742,DHPL,42,10,420,313.2,131544.0,2026-04-16,186574256,2754,Sani Securities Company Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-16 11:40:09.888446,Dibyashwori Hydropower Ltd.
2026041604004743,DHPL,38,10,100,311.0,31100.0,2026-04-16,186574258,2754,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-16 11:40:09.888517,Dibyashwori Hydropower Ltd.
2026041604004744,DHPL,25,10,22,310.9,6839.8,2026-04-16,186574260,2754,Sweta Securities Private Limited,Pragyan Securities (PVT) Ltd.,2026-04-16 11:40:09.888550,Dibyashwori Hydropower Ltd.
