contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041604000007,KKHC,33,54,300,289.0,86700.0,Dakshinkali Investment & Securities Pvt. Ltd.,Sewa Securities Pvt. Ltd.,2026-04-16 10:46:00.050102
2026041604000266,KKHC,42,87,10,284.1,2841.0,Sani Securities Company Ltd.,S.P.S.A. Securities Limited,2026-04-16 11:02:30.332126
2026041604000325,KKHC,42,1,925,284.1,262792.5,Sani Securities Company Ltd.,Kumari Securities Private Limited,2026-04-16 11:03:02.770994
2026041604000519,KKHC,11,59,100,284.3,28430.0,Malla & Malla Stock Broking Company Pvt. Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:05:07.459640
2026041604000594,KKHC,58,59,30,285.1,8553.0,Naasa Securities Co. Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:06:13.983388
2026041604000595,KKHC,26,59,70,285.0,19950.0,Asian Securities Private Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:06:13.983464
2026041604000600,KKHC,26,4,230,285.0,65550.0,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-16 11:06:15.699937
2026041604000614,KKHC,26,4,200,285.0,57000.0,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-16 11:06:28.322672
2026041604000649,KKHC,34,4,50,285.0,14250.0,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,2026-04-16 11:06:49.263450
2026041604000673,KKHC,26,4,20,285.0,5700.0,Asian Securities Private Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-16 11:06:53.408698
2026041604000951,KKHC,26,41,80,285.0,22800.0,Asian Securities Private Ltd.,Linch Stock Market Ltd.,2026-04-16 11:09:05.503662
2026041604001033,KKHC,25,35,100,287.0,28700.0,Sweta Securities Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-16 11:09:33.798308
2026041604001170,KKHC,26,5,170,285.0,48450.0,Asian Securities Private Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:10:32.252026
2026041604001511,KKHC,26,42,350,285.0,99750.0,Asian Securities Private Ltd.,Sani Securities Company Ltd.,2026-04-16 11:13:26.323148
2026041604001760,KKHC,25,49,10,285.2,2852.0,Sweta Securities Private Limited,Online Securities Pvt. Ltd.,2026-04-16 11:15:42.295171
