contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041603000143,RLFL,49,22,190,458.0,87020.0,2026-04-16,186538715,587,Online Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 11:07:17.199470,Reliance Finance Ltd.
2026041603000220,RLFL,36,57,1000,458.0,458000.0,2026-04-16,186543329,587,Secured Securities Ltd.,Aryatara Investment & Securities,2026-04-16 11:10:44.543325,Reliance Finance Ltd.
2026041603000275,RLFL,57,22,20,460.0,9200.0,2026-04-16,186546684,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 11:13:19.708066,Reliance Finance Ltd.
2026041603000276,RLFL,7,22,20,460.0,9200.0,2026-04-16,186546685,587,J.F. Securites (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 11:13:19.708113,Reliance Finance Ltd.
2026041603000357,RLFL,57,22,13,460.7,5989.1,2026-04-16,186549250,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 11:15:35.337860,Reliance Finance Ltd.
2026041603000358,RLFL,57,22,11,460.0,5060.0,2026-04-16,186549251,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 11:15:35.337915,Reliance Finance Ltd.
2026041603000406,RLFL,57,22,11,460.5,5065.5,2026-04-16,186551069,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 11:17:21.733721,Reliance Finance Ltd.
2026041603000752,RLFL,14,48,10,455.3,4553.0,2026-04-16,186562336,587,Nepal Stock House (PVT) Ltd.,Trishakti Securities Public Limited,2026-04-16 11:29:17.694169,Reliance Finance Ltd.
2026041603000753,RLFL,13,48,25,455.2,11380.0,2026-04-16,186562337,587,Thrive Brokerage House Pvt. Ltd,Trishakti Securities Public Limited,2026-04-16 11:29:17.694234,Reliance Finance Ltd.
2026041603000821,RLFL,51,57,30,460.5,13815.0,2026-04-16,186564588,587,Oxford Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-16 11:31:20.674108,Reliance Finance Ltd.
2026041603001086,RLFL,58,57,20,460.3,9206.0,2026-04-16,186573218,587,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-16 11:39:07.088948,Reliance Finance Ltd.
2026041603001375,RLFL,35,35,20,455.6,9112.0,2026-04-16,186579264,587,Kohinoor Investment & Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-16 11:44:40.915083,Reliance Finance Ltd.
2026041603001376,RLFL,45,35,265,455.5,120707.5,2026-04-16,186579265,587,Imperial Securities Company Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-16 11:44:40.915237,Reliance Finance Ltd.
2026041603001780,RLFL,45,46,16,457.0,7312.0,2026-04-16,186590091,587,Imperial Securities Company Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-16 11:56:35.503688,Reliance Finance Ltd.
2026041603001781,RLFL,45,29,520,460.0,239200.0,2026-04-16,186590093,587,Imperial Securities Company Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-16 11:56:35.503845,Reliance Finance Ltd.
2026041603001782,RLFL,45,4,199,460.0,91540.0,2026-04-16,186590096,587,Imperial Securities Company Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-16 11:56:35.503963,Reliance Finance Ltd.
2026041603001901,RLFL,57,22,55,457.0,25135.0,2026-04-16,186593881,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 12:00:59.676072,Reliance Finance Ltd.
2026041603002029,RLFL,14,58,50,456.3,22815.0,2026-04-16,186596412,587,Nepal Stock House (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-16 12:04:30.416469,Reliance Finance Ltd.
2026041603002030,RLFL,42,58,47,456.2,21441.4,2026-04-16,186596413,587,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-16 12:04:30.416541,Reliance Finance Ltd.
2026041603002255,RLFL,45,22,100,456.3,45630.0,2026-04-16,186602610,587,Imperial Securities Company Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:12:02.521282,Reliance Finance Ltd.
2026041603002256,RLFL,46,22,50,456.3,22815.0,2026-04-16,186602612,587,Kalika Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:12:02.521450,Reliance Finance Ltd.
2026041603002257,RLFL,42,22,100,456.3,45630.0,2026-04-16,186602614,587,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:12:02.521553,Reliance Finance Ltd.
2026041603002258,RLFL,42,22,193,456.2,88046.6,2026-04-16,186602616,587,Sani Securities Company Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:12:02.521655,Reliance Finance Ltd.
2026041603002259,RLFL,74,22,600,456.0,273600.0,2026-04-16,186602618,587,KALASH STOCK MARKET PVT. LTD.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:12:02.521757,Reliance Finance Ltd.
2026041603002356,RLFL,58,22,100,458.9,45890.0,2026-04-16,186604796,587,Naasa Securities Co. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-16 12:15:11.418306,Reliance Finance Ltd.
2026041603002407,RLFL,59,22,600,455.5,273300.0,2026-04-16,186605892,587,Deevyaa Securities & Stock House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-16 12:16:58.434297,Reliance Finance Ltd.
2026041603002408,RLFL,59,22,600,455.3,273180.0,2026-04-16,186605894,587,Deevyaa Securities & Stock House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-16 12:16:58.434419,Reliance Finance Ltd.
2026041603002409,RLFL,13,22,20,455.2,9104.0,2026-04-16,186605895,587,Thrive Brokerage House Pvt. Ltd,Siprabi Securities Pvt. Ltd.,2026-04-16 12:16:58.434457,Reliance Finance Ltd.
2026041603002794,RLFL,58,1,50,455.0,22750.0,2026-04-16,186613481,587,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,2026-04-16 12:26:37.177466,Reliance Finance Ltd.
2026041603002822,RLFL,58,43,150,455.0,68250.0,2026-04-16,186613966,587,Naasa Securities Co. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-16 12:27:17.895192,Reliance Finance Ltd.
2026041603002823,RLFL,17,43,50,455.0,22750.0,2026-04-16,186613967,587,ABC Securities Private Limited,South Asian Bulls Pvt. Ltd.,2026-04-16 12:27:17.895324,Reliance Finance Ltd.
2026041603002913,RLFL,58,74,12,454.0,5448.0,2026-04-16,186617194,587,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-16 12:31:55.122436,Reliance Finance Ltd.
2026041603002985,RLFL,57,74,103,454.0,46762.0,2026-04-16,186619177,587,Aryatara Investment & Securities,KALASH STOCK MARKET PVT. LTD.,2026-04-16 12:34:53.466634,Reliance Finance Ltd.
2026041603002986,RLFL,57,42,10,455.0,4550.0,2026-04-16,186619180,587,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-16 12:34:53.466708,Reliance Finance Ltd.
2026041603002994,RLFL,45,42,100,455.0,45500.0,2026-04-16,186619278,587,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-16 12:35:04.768321,Reliance Finance Ltd.
2026041603003414,RLFL,36,42,125,455.0,56875.0,2026-04-16,186630808,587,Secured Securities Ltd.,Sani Securities Company Ltd.,2026-04-16 12:52:42.771588,Reliance Finance Ltd.
2026041603003454,RLFL,49,42,100,455.0,45500.0,2026-04-16,186631792,587,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-16 12:54:02.332481,Reliance Finance Ltd.
2026041603003572,RLFL,45,42,165,455.0,75075.0,2026-04-16,186635215,587,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-16 12:59:49.247461,Reliance Finance Ltd.
2026041603003573,RLFL,45,44,12,455.0,5460.0,2026-04-16,186635217,587,Imperial Securities Company Pvt. Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-16 12:59:49.247626,Reliance Finance Ltd.
2026041603003743,RLFL,57,22,10,457.0,4570.0,2026-04-16,186639403,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 13:06:23.161129,Reliance Finance Ltd.
2026041603004106,RLFL,45,57,73,454.0,33142.0,2026-04-16,186647188,587,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,2026-04-16 13:13:36.266244,Reliance Finance Ltd.
2026041603004107,RLFL,87,57,47,454.0,21338.0,2026-04-16,186647189,587,S.P.S.A. Securities Limited,Aryatara Investment & Securities,2026-04-16 13:13:36.266316,Reliance Finance Ltd.
2026041603004132,RLFL,46,13,100,453.3,45330.0,2026-04-16,186647742,587,Kalika Securities Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:14:01.986559,Reliance Finance Ltd.
2026041603004133,RLFL,45,13,50,453.2,22660.0,2026-04-16,186647744,587,Imperial Securities Company Pvt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:14:01.986691,Reliance Finance Ltd.
2026041603004134,RLFL,42,13,100,453.0,45300.0,2026-04-16,186647746,587,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:14:01.986729,Reliance Finance Ltd.
2026041603004135,RLFL,42,13,50,453.0,22650.0,2026-04-16,186647748,587,Sani Securities Company Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:14:01.986763,Reliance Finance Ltd.
2026041603004136,RLFL,16,13,500,453.0,226500.0,2026-04-16,186647749,587,Primo Securities (PVT) Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:14:01.986798,Reliance Finance Ltd.
2026041603004142,RLFL,16,36,500,453.0,226500.0,2026-04-16,186648041,587,Primo Securities (PVT) Ltd.,Secured Securities Ltd.,2026-04-16 13:14:19.845819,Reliance Finance Ltd.
2026041603004178,RLFL,42,57,10,453.0,4530.0,2026-04-16,186649200,587,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-16 13:15:17.311055,Reliance Finance Ltd.
2026041603004193,RLFL,29,13,27,452.0,12204.0,2026-04-16,186649721,587,Trisul Securities & Invt. Ltd.,Thrive Brokerage House Pvt. Ltd,2026-04-16 13:15:41.267362,Reliance Finance Ltd.
2026041603004201,RLFL,87,57,10,453.0,4530.0,2026-04-16,186649851,587,S.P.S.A. Securities Limited,Aryatara Investment & Securities,2026-04-16 13:15:48.165204,Reliance Finance Ltd.
2026041603004229,RLFL,87,41,13,453.0,5889.0,2026-04-16,186650728,587,S.P.S.A. Securities Limited,Linch Stock Market Ltd.,2026-04-16 13:16:36.497698,Reliance Finance Ltd.
2026041603004230,RLFL,29,41,87,452.0,39324.0,2026-04-16,186650729,587,Trisul Securities & Invt. Ltd.,Linch Stock Market Ltd.,2026-04-16 13:16:36.497804,Reliance Finance Ltd.
2026041603004293,RLFL,29,1,86,452.0,38872.0,2026-04-16,186651573,587,Trisul Securities & Invt. Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756510,Reliance Finance Ltd.
2026041603004294,RLFL,22,1,50,452.0,22600.0,2026-04-16,186651575,587,Siprabi Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756617,Reliance Finance Ltd.
2026041603004295,RLFL,58,1,200,452.0,90400.0,2026-04-16,186651577,587,Naasa Securities Co. Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756655,Reliance Finance Ltd.
2026041603004296,RLFL,14,1,50,451.4,22570.0,2026-04-16,186651579,587,Nepal Stock House (PVT) Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756706,Reliance Finance Ltd.
2026041603004297,RLFL,14,1,200,451.3,90260.0,2026-04-16,186651581,587,Nepal Stock House (PVT) Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756744,Reliance Finance Ltd.
2026041603004298,RLFL,49,1,150,451.1,67665.0,2026-04-16,186651583,587,Online Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756778,Reliance Finance Ltd.
2026041603004299,RLFL,66,1,500,451.1,225550.0,2026-04-16,186651585,587,Miyo Securities Pvt Ltd,Kumari Securities Private Limited,2026-04-16 13:17:19.756813,Reliance Finance Ltd.
2026041603004300,RLFL,14,1,100,450.1,45010.0,2026-04-16,186651535,587,Nepal Stock House (PVT) Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756845,Reliance Finance Ltd.
2026041603004301,RLFL,57,1,100,450.0,45000.0,2026-04-16,186651537,587,Aryatara Investment & Securities,Kumari Securities Private Limited,2026-04-16 13:17:19.756877,Reliance Finance Ltd.
2026041603004302,RLFL,17,1,50,450.0,22500.0,2026-04-16,186651539,587,ABC Securities Private Limited,Kumari Securities Private Limited,2026-04-16 13:17:19.756909,Reliance Finance Ltd.
2026041603004303,RLFL,32,1,200,450.0,90000.0,2026-04-16,186651541,587,Premier Securities Company Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756943,Reliance Finance Ltd.
2026041603004304,RLFL,42,1,30,450.0,13500.0,2026-04-16,186651543,587,Sani Securities Company Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:19.756975,Reliance Finance Ltd.
2026041603004347,RLFL,22,1,1284,450.0,577800.0,2026-04-16,186651942,587,Siprabi Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-16 13:17:40.150263,Reliance Finance Ltd.
2026041603004623,RLFL,57,48,100,450.0,45000.0,2026-04-16,186655229,587,Aryatara Investment & Securities,Trishakti Securities Public Limited,2026-04-16 13:19:55.541754,Reliance Finance Ltd.
2026041603004891,RLFL,58,57,11,451.0,4961.0,2026-04-16,186660681,587,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-16 13:24:34.230641,Reliance Finance Ltd.
2026041603004908,RLFL,58,36,100,451.0,45100.0,2026-04-16,186661098,587,Naasa Securities Co. Ltd.,Secured Securities Ltd.,2026-04-16 13:25:02.187075,Reliance Finance Ltd.
2026041603004918,RLFL,59,36,200,451.0,90200.0,2026-04-16,186661486,587,Deevyaa Securities & Stock House Pvt. Ltd,Secured Securities Ltd.,2026-04-16 13:25:24.684235,Reliance Finance Ltd.
2026041603005690,RLFL,14,17,100,451.0,45100.0,2026-04-16,186677331,587,Nepal Stock House (PVT) Ltd.,ABC Securities Private Limited,2026-04-16 13:41:01.594202,Reliance Finance Ltd.
2026041603005691,RLFL,14,49,100,451.0,45100.0,2026-04-16,186677334,587,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-16 13:41:01.594285,Reliance Finance Ltd.
2026041603005912,RLFL,14,49,100,451.0,45100.0,2026-04-16,186681548,587,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-16 13:46:32.542865,Reliance Finance Ltd.
2026041603006547,RLFL,38,57,56,451.0,25256.0,2026-04-16,186695847,587,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-16 14:07:45.920814,Reliance Finance Ltd.
2026041603006737,RLFL,38,57,44,451.0,19844.0,2026-04-16,186700682,587,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-16 14:15:13.013259,Reliance Finance Ltd.
2026041603006757,RLFL,42,57,10,451.0,4510.0,2026-04-16,186701113,587,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-16 14:15:47.606754,Reliance Finance Ltd.
2026041603006787,RLFL,42,57,86,451.0,38786.0,2026-04-16,186701405,587,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-16 14:16:15.123353,Reliance Finance Ltd.
2026041603006797,RLFL,25,57,10,451.0,4510.0,2026-04-16,186701529,587,Sweta Securities Private Limited,Aryatara Investment & Securities,2026-04-16 14:16:26.361121,Reliance Finance Ltd.
2026041603006806,RLFL,25,48,25,451.0,11275.0,2026-04-16,186701838,587,Sweta Securities Private Limited,Trishakti Securities Public Limited,2026-04-16 14:17:01.099410,Reliance Finance Ltd.
2026041603006807,RLFL,42,48,10,451.0,4510.0,2026-04-16,186701840,587,Sani Securities Company Ltd.,Trishakti Securities Public Limited,2026-04-16 14:17:01.099602,Reliance Finance Ltd.
2026041603006808,RLFL,59,48,11,451.0,4961.0,2026-04-16,186701841,587,Deevyaa Securities & Stock House Pvt. Ltd,Trishakti Securities Public Limited,2026-04-16 14:17:01.099709,Reliance Finance Ltd.
2026041603006843,RLFL,14,95,500,452.0,226000.0,2026-04-16,186703038,587,Nepal Stock House (PVT) Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-16 14:19:06.575710,Reliance Finance Ltd.
2026041603006869,RLFL,59,45,189,452.0,85428.0,2026-04-16,186703584,587,Deevyaa Securities & Stock House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-16 14:20:19.711565,Reliance Finance Ltd.
2026041603006870,RLFL,58,45,500,451.0,225500.0,2026-04-16,186703586,587,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-16 14:20:19.711654,Reliance Finance Ltd.
2026041603006871,RLFL,52,45,100,450.6,45060.0,2026-04-16,186703588,587,Sundhara Securities Limited,Imperial Securities Company Pvt. Ltd.,2026-04-16 14:20:19.711701,Reliance Finance Ltd.
2026041603006872,RLFL,49,45,100,450.5,45050.0,2026-04-16,186703590,587,Online Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-16 14:20:19.711761,Reliance Finance Ltd.
2026041603006873,RLFL,18,45,111,450.5,50005.5,2026-04-16,186703591,587,Sagarmatha Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-16 14:20:19.711812,Reliance Finance Ltd.
2026041603007046,RLFL,57,22,10,457.8,4578.0,2026-04-16,186706134,587,Aryatara Investment & Securities,Siprabi Securities Pvt. Ltd.,2026-04-16 14:24:09.248000,Reliance Finance Ltd.
2026041603008537,RLFL,34,57,40,454.5,18180.0,2026-04-16,186742456,587,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-16 14:56:15.376266,Reliance Finance Ltd.
2026041603008579,RLFL,57,42,100,452.0,45200.0,2026-04-16,186743003,587,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-16 14:56:35.348553,Reliance Finance Ltd.
2026041603009015,RLFL,41,49,200,451.4,90280.0,2026-04-16,186749389,587,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-04-16 14:59:05.964338,Reliance Finance Ltd.
2026041603009182,RLFL,57,6,10,452.0,4520.0,2026-04-16,186751852,587,Aryatara Investment & Securities,Agrawal Securities (PVT) Ltd.,2026-04-16 14:59:41.001002,Reliance Finance Ltd.
2026041603009215,RLFL,46,57,100,451.5,45150.0,2026-04-16,186753826,587,Kalika Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-16 14:59:53.122469,Reliance Finance Ltd.
2026041603009216,RLFL,41,57,10,451.4,4514.0,2026-04-16,186753830,587,Linch Stock Market Ltd.,Aryatara Investment & Securities,2026-04-16 14:59:53.122510,Reliance Finance Ltd.
2026041603009217,RLFL,42,57,90,451.4,40626.0,2026-04-16,186753832,587,Sani Securities Company Ltd.,Aryatara Investment & Securities,2026-04-16 14:59:53.122535,Reliance Finance Ltd.
2026041603009249,RLFL,14,6,490,452.0,221480.0,2026-04-16,186753811,587,Nepal Stock House (PVT) Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-16 14:59:56.311339,Reliance Finance Ltd.
