contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041603000028,SHINE,44,57,500,420.0,210000.0,2026-04-16,186532241,473,Dynamic Money Managers Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-16 11:01:14.048719,Shine Resunga Development Bank Ltd.
2026041603000032,SHINE,44,8,500,420.0,210000.0,2026-04-16,186533005,473,Dynamic Money Managers Securities Pvt. Ltd.,Brilliant Securities Pvt. Ltd.,2026-04-16 11:01:49.234939,Shine Resunga Development Bank Ltd.
2026041603000163,SHINE,51,17,36,414.0,14904.0,2026-04-16,186539813,473,Oxford Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-16 11:08:10.771649,Shine Resunga Development Bank Ltd.
2026041603000191,SHINE,51,40,164,414.0,67896.0,2026-04-16,186541980,473,Oxford Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-16 11:09:50.242461,Shine Resunga Development Bank Ltd.
2026041603000256,SHINE,44,40,69,414.0,28566.0,2026-04-16,186545897,473,Dynamic Money Managers Securities Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-16 11:12:37.404330,Shine Resunga Development Bank Ltd.
2026041603000257,SHINE,44,19,1931,417.0,805227.0,2026-04-16,186545900,473,Dynamic Money Managers Securities Pvt. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-16 11:12:37.404391,Shine Resunga Development Bank Ltd.
2026041603000296,SHINE,44,34,500,414.0,207000.0,2026-04-16,186547758,473,Dynamic Money Managers Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-16 11:14:14.058849,Shine Resunga Development Bank Ltd.
2026041603000299,SHINE,33,5,100,413.5,41350.0,2026-04-16,186547808,473,Dakshinkali Investment & Securities Pvt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:14:16.099200,Shine Resunga Development Bank Ltd.
2026041603000300,SHINE,74,5,100,413.5,41350.0,2026-04-16,186547810,473,KALASH STOCK MARKET PVT. LTD.,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:14:16.099263,Shine Resunga Development Bank Ltd.
2026041603000301,SHINE,57,5,12,413.5,4962.0,2026-04-16,186547811,473,Aryatara Investment & Securities,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:14:16.099302,Shine Resunga Development Bank Ltd.
2026041603000532,SHINE,65,19,69,417.0,28773.0,2026-04-16,186555621,473,Sharepro Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-16 11:22:08.182973,Shine Resunga Development Bank Ltd.
2026041603000533,SHINE,65,64,81,419.0,33939.0,2026-04-16,186555624,473,Sharepro Securities Private Limited,SUN SECURITIES PVT LTD,2026-04-16 11:22:08.183180,Shine Resunga Development Bank Ltd.
2026041603000544,SHINE,4,42,154,414.0,63756.0,2026-04-16,186556105,473,Opal Securities Investment (PVT) Ltd.,Sani Securities Company Ltd.,2026-04-16 11:22:40.725070,Shine Resunga Development Bank Ltd.
2026041603000828,SHINE,44,1,530,415.0,219950.0,2026-04-16,186564851,473,Dynamic Money Managers Securities Pvt. Ltd.,Kumari Securities Private Limited,2026-04-16 11:31:35.948537,Shine Resunga Development Bank Ltd.
2026041603000956,SHINE,44,36,300,415.0,124500.0,2026-04-16,186568657,473,Dynamic Money Managers Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-16 11:34:38.718445,Shine Resunga Development Bank Ltd.
2026041603001012,SHINE,44,51,17,415.0,7055.0,2026-04-16,186570939,473,Dynamic Money Managers Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-16 11:36:44.361901,Shine Resunga Development Bank Ltd.
2026041603001038,SHINE,44,64,54,415.0,22410.0,2026-04-16,186572037,473,Dynamic Money Managers Securities Pvt. Ltd.,SUN SECURITIES PVT LTD,2026-04-16 11:37:59.297504,Shine Resunga Development Bank Ltd.
