contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041604000015,UPCL,4,85,10,393.0,3930.0,Opal Securities Investment (PVT) Ltd.,Capital Hub P. Ltd,2026-04-16 10:46:00.067479
2026041604000318,UPCL,33,51,500,393.0,196500.0,Dakshinkali Investment & Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2026-04-16 11:02:56.193359
2026041604001090,UPCL,58,74,50,392.0,19600.0,Naasa Securities Co. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:09:58.861177
2026041604001091,UPCL,29,74,100,388.1,38810.0,Trisul Securities & Invt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:09:58.861371
2026041604001092,UPCL,36,74,200,388.0,77600.0,Secured Securities Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:09:58.861484
2026041604001093,UPCL,48,74,1000,388.0,388000.0,Trishakti Securities Public Limited,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:09:58.861588
2026041604001231,UPCL,7,59,345,387.0,133515.0,J.F. Securites (PVT) Ltd.,Deevyaa Securities & Stock House Pvt. Ltd,2026-04-16 11:11:04.506127
2026041604001251,UPCL,7,74,150,387.0,58050.0,J.F. Securites (PVT) Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-16 11:11:14.911886
2026041604001294,UPCL,71,41,30,387.1,11613.0,SHUBHAKAMANA SECURITIES PVT. LTD,Linch Stock Market Ltd.,2026-04-16 11:11:29.720703
2026041604001295,UPCL,49,21,10,388.0,3880.0,Online Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-16 11:11:30.510992
2026041604001337,UPCL,49,58,10,388.0,3880.0,Online Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-16 11:11:48.251990
2026041604001962,UPCL,67,58,10,395.0,3950.0,Property Wiard Limited,Naasa Securities Co. Ltd.,2026-04-16 11:17:39.728614
2026041604002147,UPCL,54,41,118,392.0,46256.0,Sewa Securities Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-16 11:19:15.795900
2026041604002154,UPCL,75,58,130,395.0,51350.0,N.I.M.B. Stock Markets Limited,Naasa Securities Co. Ltd.,2026-04-16 11:19:29.115938
2026041604002219,UPCL,54,52,18,392.0,7056.0,Sewa Securities Pvt. Ltd.,Sundhara Securities Limited,2026-04-16 11:20:14.588378
2026041604002220,UPCL,49,57,50,394.9,19745.0,Online Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-16 11:20:15.026427
2026041604002245,UPCL,54,91,58,392.0,22736.0,Sewa Securities Pvt. Ltd.,Citizens Share Broker Limited,2026-04-16 11:20:34.163972
2026041604002285,UPCL,54,17,10,392.0,3920.0,Sewa Securities Pvt. Ltd.,ABC Securities Private Limited,2026-04-16 11:20:57.095059
2026041604002298,UPCL,54,45,296,392.0,116032.0,Sewa Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-16 11:21:06.539188
2026041604002514,UPCL,46,35,15,394.0,5910.0,Kalika Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-16 11:22:36.465380
2026041604002757,UPCL,60,5,360,394.0,141840.0,Nagarik Stock Dealer ,Market Securities & Exchange (PVT) Ltd.,2026-04-16 11:24:40.356462
