contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041704000003,BPCL,49,34,10,683.0,6830.0,Online Securities Pvt. Ltd.,Vision Securities Pvt. Ltd,2026-04-17 10:46:00.018183
2026041704000004,BPCL,49,11,10,683.0,6830.0,Online Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-04-17 10:46:00.018213
2026041704000535,BPCL,50,17,100,692.2,69220.0,Cristal Kanchanjanga Securites Pvt. Ltd.,ABC Securities Private Limited,2026-04-17 11:06:36.172664
2026041704000536,BPCL,38,17,50,692.1,34605.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,ABC Securities Private Limited,2026-04-17 11:06:36.172761
2026041704000537,BPCL,34,17,110,692.0,76120.0,Vision Securities Pvt. Ltd,ABC Securities Private Limited,2026-04-17 11:06:36.172800
2026041704001076,BPCL,22,66,300,705.8,211740.0,Siprabi Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-17 11:13:38.355679
2026041704001184,BPCL,34,66,10,705.8,7058.0,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,2026-04-17 11:14:57.167492
2026041704001279,BPCL,50,66,50,705.8,35290.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-17 11:15:51.431111
2026041704001300,BPCL,65,66,670,705.8,472886.0,Sharepro Securities Private Limited,Miyo Securities Pvt Ltd,2026-04-17 11:15:58.994780
2026041704001322,BPCL,65,39,50,705.8,35290.0,Sharepro Securities Private Limited,Sumeru Securities Pvt. Ltd.,2026-04-17 11:16:08.755848
2026041704001323,BPCL,38,39,100,705.0,70500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-17 11:16:08.756078
2026041704001324,BPCL,67,39,20,702.4,14048.0,Property Wiard Limited,Sumeru Securities Pvt. Ltd.,2026-04-17 11:16:08.756243
2026041704001325,BPCL,56,39,30,702.3,21069.0,Sri Hari Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-17 11:16:08.756448
2026041704001399,BPCL,65,81,1000,709.8,709800.0,Sharepro Securities Private Limited,Aakashbhairab Securities Ltd.,2026-04-17 11:16:23.449024
2026041704001877,BPCL,21,96,100,703.0,70300.0,Midas Stock Broking Company Private Limited,Himalayan Securities Limited,2026-04-17 11:20:23.297946
2026041704001878,BPCL,56,96,470,700.1,329047.0,Sri Hari Securities Pvt. Ltd.,Himalayan Securities Limited,2026-04-17 11:20:23.298055
2026041704001879,BPCL,71,96,400,700.1,280040.0,SHUBHAKAMANA SECURITIES PVT. LTD,Himalayan Securities Limited,2026-04-17 11:20:23.298105
2026041704001880,BPCL,6,96,30,700.0,21000.0,Agrawal Securities (PVT) Ltd.,Himalayan Securities Limited,2026-04-17 11:20:23.298158
2026041704001881,BPCL,59,96,35,700.0,24500.0,Deevyaa Securities & Stock House Pvt. Ltd,Himalayan Securities Limited,2026-04-17 11:20:23.298206
2026041704001882,BPCL,34,96,500,700.0,350000.0,Vision Securities Pvt. Ltd,Himalayan Securities Limited,2026-04-17 11:20:23.298265
2026041704001883,BPCL,38,96,465,700.0,325500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Himalayan Securities Limited,2026-04-17 11:20:23.298317
2026041704002248,BPCL,38,16,35,700.0,24500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Primo Securities (PVT) Ltd.,2026-04-17 11:24:15.797291
2026041704002460,BPCL,38,49,100,697.0,69700.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Online Securities Pvt. Ltd.,2026-04-17 11:26:25.552021
2026041704002785,BPCL,7,58,20,696.5,13930.0,J.F. Securites (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:31:00.708138
2026041704002842,BPCL,8,36,30,696.2,20886.0,Brilliant Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-17 11:31:39.472182
2026041704002843,BPCL,51,36,20,696.0,13920.0,Oxford Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-17 11:31:39.472271
2026041704002900,BPCL,39,58,200,696.0,139200.0,Sumeru Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:32:21.810075
2026041704002901,BPCL,38,58,10,696.0,6960.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:32:21.810339
2026041704002938,BPCL,42,58,11,696.5,7661.5,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:32:51.217162
2026041704003077,BPCL,38,95,10,696.0,6960.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-17 11:34:47.008510
2026041704003086,BPCL,65,95,54,695.0,37530.0,Sharepro Securities Private Limited,Magnet Securities and Investment Company Private Limited,2026-04-17 11:34:53.383197
2026041704003103,BPCL,49,95,500,693.2,346600.0,Online Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-17 11:35:04.835540
2026041704003120,BPCL,58,95,300,693.1,207930.0,Naasa Securities Co. Ltd.,Magnet Securities and Investment Company Private Limited,2026-04-17 11:35:14.163604
2026041704003311,BPCL,22,29,200,693.0,138600.0,Siprabi Securities Pvt. Ltd.,Trisul Securities & Invt. Ltd.,2026-04-17 11:36:59.052031
2026041704003317,BPCL,91,95,300,693.0,207900.0,Citizens Share Broker Limited,Magnet Securities and Investment Company Private Limited,2026-04-17 11:37:16.075106
2026041704003318,BPCL,19,95,50,693.0,34650.0,Nepal Investment And Securities Trading Private Limited,Magnet Securities and Investment Company Private Limited,2026-04-17 11:37:16.075386
2026041704003340,BPCL,34,95,100,692.1,69210.0,Vision Securities Pvt. Ltd,Magnet Securities and Investment Company Private Limited,2026-04-17 11:37:25.906188
2026041704003365,BPCL,34,95,686,692.0,474712.0,Vision Securities Pvt. Ltd,Magnet Securities and Investment Company Private Limited,2026-04-17 11:37:51.248272
2026041704003430,BPCL,34,29,150,692.0,103800.0,Vision Securities Pvt. Ltd,Trisul Securities & Invt. Ltd.,2026-04-17 11:38:41.926542
2026041704003809,BPCL,56,66,1000,692.1,692100.0,Sri Hari Securities Pvt. Ltd.,Miyo Securities Pvt Ltd,2026-04-17 11:44:52.937727
2026041704003810,BPCL,34,66,54,692.0,37368.0,Vision Securities Pvt. Ltd,Miyo Securities Pvt Ltd,2026-04-17 11:44:52.937991
2026041704003811,BPCL,32,66,10,692.0,6920.0,Premier Securities Company Ltd.,Miyo Securities Pvt Ltd,2026-04-17 11:44:52.938157
2026041704003812,BPCL,58,66,216,692.0,149472.0,Naasa Securities Co. Ltd.,Miyo Securities Pvt Ltd,2026-04-17 11:44:52.938399
2026041704003873,BPCL,49,89,10,692.5,6925.0,Online Securities Pvt. Ltd.,Global IME Securities Limited,2026-04-17 11:46:07.880660
2026041704003932,BPCL,49,16,15,692.5,10387.5,Online Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-17 11:47:29.861149
2026041704004414,BPCL,49,6,44,692.5,30470.0,Online Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-17 11:52:56.914483
2026041704004415,BPCL,88,6,10,692.5,6925.0,Blue Chip Securities Ltd,Agrawal Securities (PVT) Ltd.,2026-04-17 11:52:56.914637
2026041704004416,BPCL,56,6,146,692.2,101061.2,Sri Hari Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-17 11:52:56.914697
2026041704005115,BPCL,50,50,60,692.5,41550.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-17 11:59:43.757973
2026041704005256,BPCL,50,46,40,692.5,27700.0,Cristal Kanchanjanga Securites Pvt. Ltd.,Kalika Securities Pvt. Ltd.,2026-04-17 12:00:35.204694
2026041704005257,BPCL,101,46,160,692.4,110784.0,APPLE SECURITIES PRIVATE LIMITED,Kalika Securities Pvt. Ltd.,2026-04-17 12:00:35.204826
2026041704005526,BPCL,41,48,40,693.0,27720.0,Linch Stock Market Ltd.,Trishakti Securities Public Limited,2026-04-17 12:02:37.425512
2026041704005912,BPCL,91,48,460,693.0,318780.0,Citizens Share Broker Limited,Trishakti Securities Public Limited,2026-04-17 12:05:43.216667
2026041704006333,BPCL,57,58,20,693.0,13860.0,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-17 12:09:47.241382
2026041704006804,BPCL,57,34,19,693.0,13167.0,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-17 12:12:50.772526
2026041704007474,BPCL,57,33,50,693.4,34670.0,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 12:18:56.132110
2026041704007475,BPCL,57,33,36,693.0,24948.0,Aryatara Investment & Securities,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 12:18:56.132337
2026041704007476,BPCL,49,33,20,693.0,13860.0,Online Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 12:18:56.132433
2026041704007477,BPCL,56,33,194,693.0,134442.0,Sri Hari Securities Pvt. Ltd.,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 12:18:56.132501
2026041704007643,BPCL,56,74,10,693.0,6930.0,Sri Hari Securities Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-17 12:20:22.761502
2026041704007736,BPCL,56,67,296,693.0,205128.0,Sri Hari Securities Pvt. Ltd.,Property Wiard Limited,2026-04-17 12:21:30.735705
2026041704007737,BPCL,63,67,300,693.0,207900.0,Himalayan Brokerage Company Limited,Property Wiard Limited,2026-04-17 12:21:30.735893
2026041704007738,BPCL,58,67,85,693.0,58905.0,Naasa Securities Co. Ltd.,Property Wiard Limited,2026-04-17 12:21:30.735973
2026041704007739,BPCL,52,67,319,693.0,221067.0,Sundhara Securities Limited,Property Wiard Limited,2026-04-17 12:21:30.736035
2026041704007806,BPCL,52,67,500,693.0,346500.0,Sundhara Securities Limited,Property Wiard Limited,2026-04-17 12:22:29.519462
2026041704008236,BPCL,33,58,50,696.5,34825.0,Dakshinkali Investment & Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 12:27:52.283054
2026041704008564,BPCL,52,74,100,693.0,69300.0,Sundhara Securities Limited,KALASH STOCK MARKET PVT. LTD.,2026-04-17 12:32:32.325287
