contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026041703000001,CFCL,34,41,10,534.3,5343.0,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2026-04-17 10:46:00.010106
2026041703000037,CFCL,36,41,50,530.0,26500.0,Secured Securities Ltd.,Linch Stock Market Ltd.,2026-04-17 11:02:32.134646
2026041703000096,CFCL,38,40,500,524.0,262000.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Creative Securities Pvt Ltd,2026-04-17 11:07:47.795826
2026041703001382,CFCL,32,42,100,516.0,51600.0,Premier Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-17 11:56:34.696238
2026041703001396,CFCL,58,42,76,515.0,39140.0,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-04-17 11:56:45.729654
2026041703001471,CFCL,36,42,100,515.0,51500.0,Secured Securities Ltd.,Sani Securities Company Ltd.,2026-04-17 11:57:55.838294
2026041703001640,CFCL,45,42,10,515.0,5150.0,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-17 12:02:11.630663
2026041703002072,CFCL,42,42,14,515.0,7210.0,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-17 12:12:28.775605
2026041703002446,CFCL,34,17,200,515.0,103000.0,Vision Securities Pvt. Ltd,ABC Securities Private Limited,2026-04-17 12:22:03.135502
2026041703002447,CFCL,14,17,50,514.0,25700.0,Nepal Stock House (PVT) Ltd.,ABC Securities Private Limited,2026-04-17 12:22:03.135573
2026041703002448,CFCL,45,17,20,514.0,10280.0,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,2026-04-17 12:22:03.135610
2026041703002449,CFCL,58,17,50,513.6,25680.0,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-17 12:22:03.135671
2026041703002450,CFCL,45,17,180,513.6,92448.0,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,2026-04-17 12:22:03.135709
2026041703002457,CFCL,45,17,20,513.6,10272.0,Imperial Securities Company Pvt. Ltd.,ABC Securities Private Limited,2026-04-17 12:22:17.314495
2026041703002458,CFCL,58,17,23,513.6,11812.8,Naasa Securities Co. Ltd.,ABC Securities Private Limited,2026-04-17 12:22:17.314577
2026041703002459,CFCL,42,17,50,512.0,25600.0,Sani Securities Company Ltd.,ABC Securities Private Limited,2026-04-17 12:22:17.314626
2026041703003287,CFCL,42,26,11,514.0,5654.0,Sani Securities Company Ltd.,Asian Securities Private Ltd.,2026-04-17 12:48:42.760077
2026041703003305,CFCL,52,26,89,513.0,45657.0,Sundhara Securities Limited,Asian Securities Private Ltd.,2026-04-17 12:49:15.255426
2026041703003509,CFCL,25,14,40,515.0,20600.0,Sweta Securities Private Limited,Nepal Stock House (PVT) Ltd.,2026-04-17 12:54:27.772971
