contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041701000002,HBL,87,33,10,210.0,2100.0,2026-04-17,186754750,134,S.P.S.A. Securities Limited,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 10:46:00.035894,Himalayan Bank Limited
2026041701000003,HBL,87,34,5,210.0,1050.0,2026-04-17,186754758,134,S.P.S.A. Securities Limited,Vision Securities Pvt. Ltd,2026-04-17 10:46:00.035939,Himalayan Bank Limited
2026041701000004,HBL,14,34,5,210.0,1050.0,2026-04-17,186754759,134,Nepal Stock House (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-17 10:46:00.035981,Himalayan Bank Limited
2026041701000166,HBL,14,25,10,211.0,2110.0,2026-04-17,186755495,134,Nepal Stock House (PVT) Ltd.,Sweta Securities Private Limited,2026-04-17 11:01:09.702114,Himalayan Bank Limited
2026041701000277,HBL,14,49,10,211.0,2110.0,2026-04-17,186755877,134,Nepal Stock House (PVT) Ltd.,Online Securities Pvt. Ltd.,2026-04-17 11:01:42.609313,Himalayan Bank Limited
2026041701000285,HBL,14,17,10,211.0,2110.0,2026-04-17,186755899,134,Nepal Stock House (PVT) Ltd.,ABC Securities Private Limited,2026-04-17 11:01:45.238105,Himalayan Bank Limited
2026041701000558,HBL,14,35,10,211.0,2110.0,2026-04-17,186756791,134,Nepal Stock House (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-17 11:02:44.454797,Himalayan Bank Limited
2026041701000603,HBL,14,16,10,211.0,2110.0,2026-04-17,186756923,134,Nepal Stock House (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-04-17 11:02:49.866849,Himalayan Bank Limited
2026041701000699,HBL,14,56,10,211.0,2110.0,2026-04-17,186757215,134,Nepal Stock House (PVT) Ltd.,Sri Hari Securities Pvt. Ltd.,2026-04-17 11:03:12.565749,Himalayan Bank Limited
2026041701000848,HBL,50,42,10,211.1,2111.0,2026-04-17,186757687,134,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-17 11:03:52.359471,Himalayan Bank Limited
2026041701000977,HBL,50,58,10,211.1,2111.0,2026-04-17,186758069,134,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:04:20.484357,Himalayan Bank Limited
2026041701001087,HBL,50,58,10,211.1,2111.0,2026-04-17,186758385,134,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:04:53.640287,Himalayan Bank Limited
2026041701001137,HBL,84,25,10,212.0,2120.0,2026-04-17,186758567,134,MILKY WAY SHARE BROKER COMPANY LTD ,Sweta Securities Private Limited,2026-04-17 11:05:13.968145,Himalayan Bank Limited
2026041701001155,HBL,84,33,174,212.0,36888.0,2026-04-17,186758637,134,MILKY WAY SHARE BROKER COMPANY LTD ,Dakshinkali Investment & Securities Pvt. Ltd.,2026-04-17 11:05:22.241262,Himalayan Bank Limited
2026041701001298,HBL,84,6,10,212.0,2120.0,2026-04-17,186759121,134,MILKY WAY SHARE BROKER COMPANY LTD ,Agrawal Securities (PVT) Ltd.,2026-04-17 11:06:05.217264,Himalayan Bank Limited
2026041701001490,HBL,84,38,10,212.0,2120.0,2026-04-17,186759857,134,MILKY WAY SHARE BROKER COMPANY LTD ,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-17 11:07:05.420919,Himalayan Bank Limited
2026041701001868,HBL,22,47,10,212.1,2121.0,2026-04-17,186761137,134,Siprabi Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-17 11:08:42.705651,Himalayan Bank Limited
2026041701001886,HBL,22,10,310,212.1,65751.0,2026-04-17,186761193,134,Siprabi Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,2026-04-17 11:08:49.718411,Himalayan Bank Limited
2026041701001921,HBL,22,21,10,212.1,2121.0,2026-04-17,186761285,134,Siprabi Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-17 11:08:55.309399,Himalayan Bank Limited
2026041701001952,HBL,34,45,10,213.0,2130.0,2026-04-17,186761419,134,Vision Securities Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:09:08.281451,Himalayan Bank Limited
2026041701001953,HBL,34,14,10,213.0,2130.0,2026-04-17,186761421,134,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2026-04-17 11:09:08.281641,Himalayan Bank Limited
2026041701001954,HBL,34,57,10,213.0,2130.0,2026-04-17,186761424,134,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-17 11:09:08.281761,Himalayan Bank Limited
2026041701001960,HBL,22,4,10,212.1,2121.0,2026-04-17,186761437,134,Siprabi Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-04-17 11:09:10.375166,Himalayan Bank Limited
2026041701001994,HBL,22,28,10,212.1,2121.0,2026-04-17,186761573,134,Siprabi Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2026-04-17 11:09:18.039759,Himalayan Bank Limited
2026041701001998,HBL,22,45,10,212.1,2121.0,2026-04-17,186761603,134,Siprabi Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:09:21.724501,Himalayan Bank Limited
2026041701002092,HBL,67,43,10,212.2,2122.0,2026-04-17,186761949,134,Property Wiard Limited,South Asian Bulls Pvt. Ltd.,2026-04-17 11:09:54.573854,Himalayan Bank Limited
2026041701002096,HBL,67,56,10,212.2,2122.0,2026-04-17,186761957,134,Property Wiard Limited,Sri Hari Securities Pvt. Ltd.,2026-04-17 11:09:55.377332,Himalayan Bank Limited
2026041701002114,HBL,67,49,10,212.2,2122.0,2026-04-17,186762031,134,Property Wiard Limited,Online Securities Pvt. Ltd.,2026-04-17 11:10:01.524774,Himalayan Bank Limited
2026041701002255,HBL,67,45,10,212.2,2122.0,2026-04-17,186762479,134,Property Wiard Limited,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:10:33.905089,Himalayan Bank Limited
