contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041703000049,SADBL,68,1,50,432.0,21600.0,2026-04-17,186757341,472,Elite Stock House Limited,Kumari Securities Private Limited,2026-04-17 11:03:24.631552,Shangrila Development Bank Ltd.
2026041703000050,SADBL,68,68,1000,435.0,435000.0,2026-04-17,186757344,472,Elite Stock House Limited,Elite Stock House Limited,2026-04-17 11:03:24.631651,Shangrila Development Bank Ltd.
2026041703000085,SADBL,62,62,30,433.0,12990.0,2026-04-17,186759468,472,Capital Max Securities Ltd,Capital Max Securities Ltd,2026-04-17 11:06:29.920978,Shangrila Development Bank Ltd.
2026041703000111,SADBL,34,57,13,432.0,5616.0,2026-04-17,186761274,472,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-17 11:08:54.005505,Shangrila Development Bank Ltd.
2026041703000598,SADBL,42,42,10,428.0,4280.0,2026-04-17,186778964,472,Sani Securities Company Ltd.,Sani Securities Company Ltd.,2026-04-17 11:28:39.264905,Shangrila Development Bank Ltd.
2026041703000622,SADBL,41,21,9,426.0,3834.0,2026-04-17,186779685,472,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,2026-04-17 11:29:27.299148,Shangrila Development Bank Ltd.
2026041703000628,SADBL,33,36,37,426.4,15776.8,2026-04-17,186780197,472,Dakshinkali Investment & Securities Pvt. Ltd.,Secured Securities Ltd.,2026-04-17 11:30:01.404788,Shangrila Development Bank Ltd.
2026041703000723,SADBL,33,53,52,426.2,22162.4,2026-04-17,186782815,472,Dakshinkali Investment & Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-17 11:32:48.731979,Shangrila Development Bank Ltd.
2026041703000753,SADBL,33,53,11,426.1,4687.1,2026-04-17,186784424,472,Dakshinkali Investment & Securities Pvt. Ltd.,Investment Management Nepal Pvt. Ltd.,2026-04-17 11:34:32.073190,Shangrila Development Bank Ltd.
2026041703000754,SADBL,74,53,100,426.0,42600.0,2026-04-17,186784426,472,KALASH STOCK MARKET PVT. LTD.,Investment Management Nepal Pvt. Ltd.,2026-04-17 11:34:32.073226,Shangrila Development Bank Ltd.
2026041703000755,SADBL,25,53,139,426.0,59214.0,2026-04-17,186784427,472,Sweta Securities Private Limited,Investment Management Nepal Pvt. Ltd.,2026-04-17 11:34:32.073247,Shangrila Development Bank Ltd.
2026041703000885,SADBL,25,42,25,426.0,10650.0,2026-04-17,186788257,472,Sweta Securities Private Limited,Sani Securities Company Ltd.,2026-04-17 11:39:14.398532,Shangrila Development Bank Ltd.
2026041703001026,SADBL,21,53,110,430.0,47300.0,2026-04-17,186792817,472,Midas Stock Broking Company Private Limited,Investment Management Nepal Pvt. Ltd.,2026-04-17 11:44:53.046081,Shangrila Development Bank Ltd.
2026041703001027,SADBL,21,49,200,430.0,86000.0,2026-04-17,186792819,472,Midas Stock Broking Company Private Limited,Online Securities Pvt. Ltd.,2026-04-17 11:44:53.046207,Shangrila Development Bank Ltd.
2026041703001028,SADBL,21,100,100,430.0,43000.0,2026-04-17,186792821,472,Midas Stock Broking Company Private Limited,Sunrise Securities Limited,2026-04-17 11:44:53.046256,Shangrila Development Bank Ltd.
2026041703001079,SADBL,21,26,1088,427.0,464576.0,2026-04-17,186794127,472,Midas Stock Broking Company Private Limited,Asian Securities Private Ltd.,2026-04-17 11:46:44.962113,Shangrila Development Bank Ltd.
