contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041701000683,SBI,14,57,50,410.0,20500.0,2026-04-17,186757174,135,Nepal Stock House (PVT) Ltd.,Aryatara Investment & Securities,2026-04-17 11:03:09.106123,Nepal SBI Bank Limited
2026041701002129,SBI,3,45,10,402.2,4022.0,2026-04-17,186762103,135,Arun Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:10:07.724558,Nepal SBI Bank Limited
2026041701003785,SBI,11,44,59,408.9,24125.1,2026-04-17,186768392,135,Malla & Malla Stock Broking Company Pvt. Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-04-17 11:17:55.745655,Nepal SBI Bank Limited
2026041701003923,SBI,1,45,10,403.6,4036.0,2026-04-17,186768979,135,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:18:24.284365,Nepal SBI Bank Limited
2026041701004352,SBI,1,63,280,403.6,113008.0,2026-04-17,186770559,135,Kumari Securities Private Limited,Himalayan Brokerage Company Limited,2026-04-17 11:19:41.151187,Nepal SBI Bank Limited
2026041701004930,SBI,1,19,210,403.6,84756.0,2026-04-17,186772864,135,Kumari Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-17 11:22:26.428388,Nepal SBI Bank Limited
2026041701004931,SBI,36,19,377,403.5,152119.5,2026-04-17,186772865,135,Secured Securities Ltd.,Nepal Investment And Securities Trading Private Limited,2026-04-17 11:22:26.428558,Nepal SBI Bank Limited
2026041701011890,SBI,1,63,500,404.1,202050.0,2026-04-17,186798336,135,Kumari Securities Private Limited,Himalayan Brokerage Company Limited,2026-04-17 11:52:29.995071,Nepal SBI Bank Limited
2026041701012969,SBI,52,5,198,404.0,79992.0,2026-04-17,186803392,135,Sundhara Securities Limited,Market Securities & Exchange (PVT) Ltd.,2026-04-17 11:59:05.063327,Nepal SBI Bank Limited
2026041701012970,SBI,58,5,60,404.0,24240.0,2026-04-17,186803394,135,Naasa Securities Co. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-17 11:59:05.063451,Nepal SBI Bank Limited
2026041701012971,SBI,29,5,100,404.0,40400.0,2026-04-17,186803396,135,Trisul Securities & Invt. Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-17 11:59:05.063506,Nepal SBI Bank Limited
2026041701012972,SBI,17,5,27,403.6,10897.2,2026-04-17,186803397,135,ABC Securities Private Limited,Market Securities & Exchange (PVT) Ltd.,2026-04-17 11:59:05.063586,Nepal SBI Bank Limited
2026041701013013,SBI,58,63,150,404.1,60615.0,2026-04-17,186803582,135,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,2026-04-17 11:59:18.232580,Nepal SBI Bank Limited
2026041701013176,SBI,17,41,19,403.6,7668.4,2026-04-17,186804375,135,ABC Securities Private Limited,Linch Stock Market Ltd.,2026-04-17 12:00:14.585956,Nepal SBI Bank Limited
2026041701013212,SBI,34,63,81,404.1,32732.1,2026-04-17,186804572,135,Vision Securities Pvt. Ltd,Himalayan Brokerage Company Limited,2026-04-17 12:00:27.023631,Nepal SBI Bank Limited
2026041701013781,SBI,17,45,100,403.6,40360.0,2026-04-17,186807473,135,ABC Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-17 12:03:39.929090,Nepal SBI Bank Limited
2026041701014076,SBI,17,53,142,403.6,57311.2,2026-04-17,186809103,135,ABC Securities Private Limited,Investment Management Nepal Pvt. Ltd.,2026-04-17 12:05:27.261613,Nepal SBI Bank Limited
2026041701014730,SBI,1,58,50,403.8,20190.0,2026-04-17,186812237,135,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-04-17 12:09:20.097887,Nepal SBI Bank Limited
2026041701016312,SBI,57,63,10,404.1,4041.0,2026-04-17,186819846,135,Aryatara Investment & Securities,Himalayan Brokerage Company Limited,2026-04-17 12:18:03.458838,Nepal SBI Bank Limited
2026041701016682,SBI,17,63,259,404.1,104661.9,2026-04-17,186821350,135,ABC Securities Private Limited,Himalayan Brokerage Company Limited,2026-04-17 12:19:26.673902,Nepal SBI Bank Limited
2026041701018164,SBI,17,49,500,404.0,202000.0,2026-04-17,186827666,135,ABC Securities Private Limited,Online Securities Pvt. Ltd.,2026-04-17 12:28:07.066732,Nepal SBI Bank Limited
2026041701018177,SBI,47,50,1,396.1,396.1,2026-04-17,186827735,135,Neev Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-17 12:28:15.892006,Nepal SBI Bank Limited
2026041701018375,SBI,1,45,35,403.8,14133.0,2026-04-17,186828540,135,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-17 12:29:25.280649,Nepal SBI Bank Limited
2026041701018376,SBI,65,45,84,403.7,33910.8,2026-04-17,186828541,135,Sharepro Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-17 12:29:25.280810,Nepal SBI Bank Limited
2026041701018716,SBI,58,16,30,404.0,12120.0,2026-04-17,186829807,135,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-17 12:31:06.620346,Nepal SBI Bank Limited
2026041701019945,SBI,67,71,4,400.0,1600.0,2026-04-17,186834735,135,Property Wiard Limited,SHUBHAKAMANA SECURITIES PVT. LTD,2026-04-17 12:37:30.789404,Nepal SBI Bank Limited
