contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041704000043,UPPER,43,72,2000,216.9,433800.0,2026-04-17,186755091,2792,South Asian Bulls Pvt. Ltd.,Hatemalo Financial Services Private Limited,2026-04-17 11:00:23.315922,Upper Tamakoshi Hydropower Ltd
2026041704000056,UPPER,57,42,500,217.0,108500.0,2026-04-17,186755156,2792,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-04-17 11:00:35.064265,Upper Tamakoshi Hydropower Ltd
2026041704000086,UPPER,1,32,200,218.8,43760.0,2026-04-17,186755386,2792,Kumari Securities Private Limited,Premier Securities Company Ltd.,2026-04-17 11:00:58.940705,Upper Tamakoshi Hydropower Ltd
2026041704000115,UPPER,4,32,30,218.8,6564.0,2026-04-17,186755478,2792,Opal Securities Investment (PVT) Ltd.,Premier Securities Company Ltd.,2026-04-17 11:01:06.131371,Upper Tamakoshi Hydropower Ltd
2026041704000154,UPPER,32,46,50,216.1,10805.0,2026-04-17,186755937,2792,Premier Securities Company Ltd.,Kalika Securities Pvt. Ltd.,2026-04-17 11:01:48.106034,Upper Tamakoshi Hydropower Ltd
2026041704000175,UPPER,32,58,450,216.1,97245.0,2026-04-17,186756248,2792,Premier Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:02:10.152069,Upper Tamakoshi Hydropower Ltd
2026041704000176,UPPER,51,58,50,216.0,10800.0,2026-04-17,186756250,2792,Oxford Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:02:10.152163,Upper Tamakoshi Hydropower Ltd
2026041704000177,UPPER,50,58,500,216.0,108000.0,2026-04-17,186756252,2792,Cristal Kanchanjanga Securites Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:02:10.152237,Upper Tamakoshi Hydropower Ltd
2026041704000178,UPPER,21,58,2500,216.0,540000.0,2026-04-17,186756253,2792,Midas Stock Broking Company Private Limited,Naasa Securities Co. Ltd.,2026-04-17 11:02:10.152340,Upper Tamakoshi Hydropower Ltd
2026041704000219,UPPER,51,50,100,215.3,21530.0,2026-04-17,186756641,2792,Oxford Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-17 11:02:36.156404,Upper Tamakoshi Hydropower Ltd
2026041704000252,UPPER,58,35,230,216.0,49680.0,2026-04-17,186756762,2792,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-17 11:02:43.210833,Upper Tamakoshi Hydropower Ltd
2026041704000264,UPPER,14,46,30,215.4,6462.0,2026-04-17,186757127,2792,Nepal Stock House (PVT) Ltd.,Kalika Securities Pvt. Ltd.,2026-04-17 11:03:06.188126,Upper Tamakoshi Hydropower Ltd
2026041704000291,UPPER,58,35,50,216.0,10800.0,2026-04-17,186757360,2792,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-17 11:03:25.607516,Upper Tamakoshi Hydropower Ltd
2026041704000365,UPPER,45,58,100,215.5,21550.0,2026-04-17,186758217,2792,Imperial Securities Company Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:04:36.411459,Upper Tamakoshi Hydropower Ltd
